gene_id,gene_symbol,classification_v7,mapping_method
ENSG00000005108,THSD7A,regulation-driven,name+coord
ENSG00000005700,IBTK,neutral,name
ENSG00000006530,AGK,gene-driven,coord
ENSG00000006831,ADIPOR2,neutral,name
ENSG00000008323,PLEKHG6,neutral,name
ENSG00000010278,CD9,gene-driven,coord
ENSG00000010803,SCMH1,neutral,coord
ENSG00000018408,WWTR1,gene-driven,coord
ENSG00000035403,VCL,regulation-driven,coord
ENSG00000058804,NDC1,neutral,coord
ENSG00000067221,STOML1,gene-driven,coord
ENSG00000069482,GAL,neutral,coord
ENSG00000069667,RORA,gene-driven,coord
ENSG00000070269,TMEM260,neutral,coord
ENSG00000076053,RBM7,gene-driven,coord
ENSG00000076641,PAG1,regulation-driven,coord
ENSG00000078124,ACER3,neutral,coord
ENSG00000078900,TP73,gene-driven,name
ENSG00000080166,DCT,neutral,coord
ENSG00000080819,CPOX,neutral,coord
ENSG00000081181,ARG2,neutral,coord
ENSG00000081760,AACS,neutral,coord
ENSG00000083123,BCKDHB,neutral,coord
ENSG00000085733,CTTN,neutral,coord
ENSG00000088280,ASAP3,dual-driven,coord
ENSG00000088808,PPP1R13B,neutral,coord
ENSG00000090470,PDCD7,neutral,name
ENSG00000097096,SYDE2,neutral,name
ENSG00000104324,CPQ,gene-driven,coord
ENSG00000105819,PMPCB,gene-driven,name
ENSG00000105976,MET,neutral,name
ENSG00000106123,EPHB6,gene-driven,coord
ENSG00000106460,TMEM106B,gene-driven,coord
ENSG00000107821,KAZALD1,neutral,coord
ENSG00000108018,SORCS1,neutral,name
ENSG00000108061,SHOC2,regulation-driven,coord
ENSG00000109511,ANXA10,neutral,name
ENSG00000109684,CLNK,neutral,coord
ENSG00000109738,GLRB,neutral,coord
ENSG00000110172,CHORDC1,gene-driven,name
ENSG00000111186,WNT5B,gene-driven,name+coord
ENSG00000111875,ASF1A,neutral,name
ENSG00000111885,MAN1A1,neutral,coord
ENSG00000112319,EYA4,neutral,coord
ENSG00000112425,EPM2A,neutral,coord
ENSG00000113805,CNTN3,neutral,coord
ENSG00000114113,RBP2,neutral,coord
ENSG00000114251,WNT5A,neutral,name+coord
ENSG00000114279,FGF12,gene-driven,name
ENSG00000114416,FXR1,neutral,name
ENSG00000114650,SCAP,neutral,name+coord
ENSG00000115353,TACR1,gene-driven,name+coord
ENSG00000115380,EFEMP1,regulation-driven,name
ENSG00000115596,WNT6,neutral,name
ENSG00000115840,SLC25A12,neutral,name
ENSG00000116117,PARD3B,regulation-driven,name+coord
ENSG00000116525,TRIM62,neutral,name
ENSG00000117069,ST6GALNAC5,gene-driven (relaxed),name
ENSG00000117569,PTBP2,neutral,coord
ENSG00000117598,PLPPR5,neutral,coord
ENSG00000118402,ELOVL4,neutral,name
ENSG00000118507,AKAP7,neutral,coord
ENSG00000119421,NDUFA8,neutral,coord
ENSG00000133121,STARD13,regulation-driven,name
ENSG00000134686,PHC2,neutral,coord
ENSG00000134996,OSTF1,neutral,coord
ENSG00000135355,GJA10,neutral,name
ENSG00000135900,MRPL44,neutral,coord
ENSG00000135925,WNT10A,neutral,name
ENSG00000136720,HS6ST1,neutral,coord
ENSG00000136881,BAAT,gene-driven,name
ENSG00000136897,MRPL50,neutral,coord
ENSG00000137251,TINAG,gene-driven,name+coord
ENSG00000137473,TTC29,neutral,name
ENSG00000138615,CILP,neutral,name
ENSG00000138653,NDST4,neutral,coord
ENSG00000138814,PPP3CA,neutral,coord
ENSG00000139505,MTMR6,neutral,coord
ENSG00000139910,NOVA1,gene-driven,coord
ENSG00000142619,PADI3,neutral,name
ENSG00000143171,RXRG,regulation-driven,coord
ENSG00000143376,SNX27,gene-driven (relaxed),coord
ENSG00000143546,S100A8,neutral,name
ENSG00000144191,CNGA3,regulation-driven,name+coord
ENSG00000144229,THSD7B,neutral,name
ENSG00000144233,AMMECR1L,neutral,name
ENSG00000144451,SPAG16,neutral,name+coord
ENSG00000144452,ABCA12,regulation-driven,coord
ENSG00000144619,CNTN4,dual-driven,name+coord
ENSG00000145029,NICN1,neutral,coord
ENSG00000145041,DCAF1,regulation-driven,coord
ENSG00000145386,CCNA2,neutral,coord
ENSG00000145723,GIN1,neutral,coord
ENSG00000145863,GABRA6,neutral,coord
ENSG00000146373,RNF217,gene-driven,coord
ENSG00000146376,ARHGAP18,neutral,coord
ENSG00000147655,RSPO2,gene-driven,coord
ENSG00000147905,ZCCHC7,neutral,name+coord
ENSG00000147912,FBXO10,neutral,coord
ENSG00000148123,PLPPR1,neutral,coord
ENSG00000149476,TKFC,gene-driven,coord
ENSG00000149485,FADS1,neutral,name
ENSG00000149516,MS4A3,neutral,coord
ENSG00000150361,KLHL1,regulation-driven,coord
ENSG00000150540,HNMT,neutral,coord
ENSG00000150551,LYPD1,neutral,name
ENSG00000150630,VEGFC,neutral,name
ENSG00000150760,,neutral,coord
ENSG00000151967,SCHIP1,neutral,name
ENSG00000152049,KCNE4,neutral,name
ENSG00000152154,TMEM178A,neutral,coord
ENSG00000152266,PTH,neutral,name
ENSG00000152822,GRM1,regulation-driven,name+coord
ENSG00000153064,BANK1,neutral,name
ENSG00000153989,NUS1,neutral,name
ENSG00000154678,PDE1C,neutral,name+coord
ENSG00000154928,EPHB1,regulation-driven,name
ENSG00000155897,ADCY8,regulation-driven,coord
ENSG00000157734,SNX22,neutral,coord
ENSG00000158109,TPRG1L,neutral,coord
ENSG00000158220,ESYT3,neutral,coord
ENSG00000158623,COPG2,regulation-driven,name
ENSG00000159339,PADI4,neutral,name
ENSG00000160293,,regulation-driven,coord
ENSG00000163590,,neutral,coord
ENSG00000164039,,neutral,coord
ENSG00000164458,,neutral,coord
ENSG00000164715,,neutral,coord
ENSG00000164758,,neutral,coord
ENSG00000164919,,neutral,coord
ENSG00000165417,,neutral,coord
ENSG00000165678,,neutral,coord
ENSG00000168772,,gene-driven,coord
ENSG00000169564,,neutral,coord
ENSG00000169918,,regulation-driven,coord
ENSG00000170584,,neutral,coord
ENSG00000171723,GPHN,gene-driven,coord
ENSG00000173093,CCDC63,neutral,coord
ENSG00000173406,DAB1,regulation-driven,name
ENSG00000174332,GLIS1,regulation-driven,name
ENSG00000174473,GALNTL6,regulation-driven,name
ENSG00000174640,SLCO2A1,neutral,coord
ENSG00000175084,DES,neutral,coord
ENSG00000175161,CADM2,regulation-driven,coord
ENSG00000176697,BDNF,neutral,name+coord
ENSG00000176884,GRIN1,regulation-driven,coord
ENSG00000179051,RCC2,neutral,coord
ENSG00000179397,CATSPERE,neutral,coord
ENSG00000179476,C14orf28,neutral,name
ENSG00000182168,UNC5C,neutral,name
ENSG00000182348,ZNF804B,neutral,name+coord
ENSG00000182771,GRID1,gene-driven,name+coord
ENSG00000183166,CALN1,gene-driven,name
ENSG00000183715,OPCML,regulation-driven,coord
ENSG00000183775,KCTD16,neutral,name
ENSG00000183840,GPR39,neutral,name
ENSG00000184349,,regulation-driven,coord
ENSG00000184384,MAML2,neutral,coord
ENSG00000185652,NTF3,neutral,name+coord
ENSG00000185774,KCNIP4,neutral,name+coord
ENSG00000185942,NKAIN3,neutral,name
ENSG00000186350,RXRA,neutral,name
ENSG00000186591,UBE2H,neutral,coord
ENSG00000188089,PLA2G4E,neutral,coord
ENSG00000188783,PRELP,neutral,name
ENSG00000189433,GJB4,neutral,coord
ENSG00000196189,SEMA4A,neutral,coord
ENSG00000196220,,regulation-driven,coord
ENSG00000196376,SLC35F1,neutral,coord
ENSG00000196482,ESRRG,regulation-driven,name
ENSG00000196865,NHLRC2,neutral,coord
ENSG00000197557,IFT70A,neutral,coord
ENSG00000198478,SH3BGRL2,neutral,name
ENSG00000198589,LRBA,gene-driven,name
ENSG00000198785,GRIN3A,neutral,name
ENSG00000203780,FANK1,neutral,name
ENSG00000204979,MS4A13,neutral,name
ENSG00000233276,GPX1,neutral,name
ENSG00000236287,ZBED5,neutral,coord
ENSG00000242028,HYPK,gene-driven,coord
ENSG00000254772,EEF1G,neutral,name
ENSG00000256043,CTSO,neutral,name
ENSG00000259956,RBM15B,neutral,name
