classification,trait,is_control,class,in_S5_36_family,in_unified_48_family,n_trait_universe,n_class,k_overlap,OR,CI_lo,CI_hi,p_two_sided,q_bh_S5_36,q_bh_unified_48,p_one_sided,q_bh_48_one_sided_P04c,sig_S5_36,sig_unified_48
full,Schizophrenia,False,regulation_driven,True,True,257,293,36,2.8269098720002823,1.9447782101252276,4.109167504451868,7.471921478826338e-07,6.724729330943704e-06,8.966305774591606e-06,6.382436077509161e-07,7.658923293010992e-06,True,True
full,Schizophrenia,False,gene_driven_strict,True,True,257,1214,61,0.962015682248615,0.7162974812859169,1.2920248878033629,0.881444117729709,1.0,1.0,0.6261281942977646,0.8348375923970194,False,False
full,Schizophrenia,False,gene_driven_all,True,True,257,1266,64,0.9697136896192011,0.7254531369454776,1.2962169324874766,0.8832034189394736,1.0,1.0,0.6068709945077326,0.8348375923970194,False,False
full,Schizophrenia,False,dual_driven,False,True,257,11,1,1.838671875,0.23446083307446172,14.419100280354053,0.4424304770574768,,0.7322987206468582,0.4424304770574768,0.7865430703244032,False,False
full,ASD,False,regulation_driven,True,True,116,293,16,2.6460649819494586,1.5396771621075227,4.54748570740327,0.001127750252316382,0.0045110010092655,0.006014668012354038,0.001127750252316382,0.006014668012354038,True,True
full,ASD,False,gene_driven_strict,True,True,116,1214,29,1.0331926863572434,0.6752413884141166,1.580897062085035,0.9129040878386724,1.0,1.0,0.47650511019672936,0.7994980127788192,False,False
full,ASD,False,gene_driven_all,True,True,116,1266,29,0.9757477768795473,0.6377892834477649,1.4927872712733574,1.0,1.0,1.0,0.5811019378972169,0.8348375923970194,False,False
full,ASD,False,dual_driven,False,True,116,11,1,4.215652173913043,0.5351746307898981,33.207335006121944,0.22882277801462078,,0.574190572763605,0.22882277801462078,0.6044111292248474,False,False
full,Educational attainment,False,regulation_driven,True,True,822,293,103,2.987233731059219,2.3203186248586016,3.845836200414837,1.015419275358604e-15,3.655509391290974e-14,4.874012521721299e-14,8.683759842761343e-16,4.168204724525445e-14,True,True
full,Educational attainment,False,gene_driven_strict,True,True,822,1214,194,0.9485575121768453,0.7956218856939975,1.1308906530673055,0.5938476874313723,1.0,0.9310069727521488,0.7357036572513678,0.8613115987333085,False,False
full,Educational attainment,False,gene_driven_all,True,True,822,1266,206,0.9754839500122519,0.8209379298370708,1.1591240971413765,0.7927653408747366,1.0,1.0,0.6261034422454649,0.8348375923970194,False,False
full,Educational attainment,False,dual_driven,False,True,822,11,4,2.8955640936081033,0.8456907150634445,9.914134412086481,0.09295661164478572,,0.31870838278212243,0.09295661164478572,0.3718264465791428,False,False
full,Intelligence,False,regulation_driven,True,True,180,293,19,1.9467742666727117,1.1916477979681508,3.1804112354683918,0.013979211388510954,0.0457501463623994,0.06100019514986599,0.009004042743582581,0.04321940516919639,True,False
full,Intelligence,False,gene_driven_strict,True,True,180,1214,42,0.9405698174803383,0.6617296632223614,1.3369078503251566,0.7911611733843004,1.0,1.0,0.6621296830974062,0.8582223957669768,False,False
full,Intelligence,False,gene_driven_all,True,True,180,1266,43,0.9164552882405954,0.6466500151991895,1.2988328703362653,0.6637372495328142,1.0,0.9839403067450668,0.7151853298058141,0.8582223957669768,False,False
full,Intelligence,False,dual_driven,False,True,180,11,1,2.672625698324022,0.3402712374825145,20.991865713331187,0.33360125704462795,,0.6962113190496583,0.33360125704462795,0.7140655402874257,False,False
full,Major depression,False,regulation_driven,True,True,154,293,25,3.2916811292375328,2.1079755050680773,5.140080912006877,2.573991445558128e-06,1.5443948673348768e-05,2.0591931564465023e-05,2.573991445558128e-06,2.0591931564465023e-05,True,True
full,Major depression,False,gene_driven_strict,True,True,154,1214,24,0.5631544925662573,0.36256679622593413,0.8747160131561814,0.00976875084252949,0.0351675030331061,0.04689000404414155,0.9974758174502576,1.0,True,True
full,Major depression,False,gene_driven_all,True,True,154,1266,28,0.6429725363489499,0.42476524799967724,0.9732756727295069,0.03830954314058875,0.1149286294217662,0.153238172562355,0.988236247170996,1.0,False,False
full,Major depression,False,dual_driven,False,True,154,11,1,3.143790849673203,0.3999051953308372,24.71440986985056,0.29270566608535914,,0.6386305441862382,0.29270566608535914,0.7024935986048619,False,False
full,Bipolar disorder,False,regulation_driven,True,True,115,293,22,4.004920049200492,2.4767886736338403,6.4758793397402625,6.108719796068543e-07,6.724729330943704e-06,8.966305774591606e-06,6.108719796068543e-07,7.658923293010992e-06,True,True
full,Bipolar disorder,False,gene_driven_strict,True,True,115,1214,22,0.7277368838854009,0.45517817825537155,1.163502552334809,0.22634782004318207,0.543234768103637,0.574190572763605,0.9285949266865752,1.0,False,False
full,Bipolar disorder,False,gene_driven_all,True,True,115,1266,23,0.7272727272727273,0.4584504005502385,1.1537248504961213,0.19420384115287204,0.499381305821671,0.574190572763605,0.9317886976225285,1.0,False,False
full,Bipolar disorder,False,dual_driven,False,True,115,11,1,4.253508771929824,0.5399421962173825,33.507914364966446,0.2270729947139114,,0.574190572763605,0.2270729947139114,0.6044111292248474,False,False
full,Neuroticism,False,regulation_driven,True,True,122,293,21,3.5010192195690157,2.153999938143472,5.690406651708653,6.550659537947252e-06,2.9477967920762636e-05,3.930395722768351e-05,6.550659537947252e-06,3.930395722768351e-05,True,True
full,Neuroticism,False,gene_driven_strict,True,True,122,1214,28,0.9207419898819561,0.6007322246595862,1.4112208021006085,0.7499696247228425,1.0,1.0,0.6815976959184957,0.8582223957669768,False,False
full,Neuroticism,False,gene_driven_all,True,True,122,1266,29,0.9112838031658278,0.5976584243862553,1.3894862617642596,0.7523732135918808,1.0,1.0,0.7001983723233348,0.8582223957669768,False,False
full,Neuroticism,False,dual_driven,False,True,122,11,1,4.001652892561983,0.5082113376027746,31.508989838919852,0.2392460719848354,,0.574190572763605,0.2392460719848354,0.6044111292248474,False,False
full,Cognitive performance,False,regulation_driven,True,True,149,293,24,3.251866171003717,2.06564157428786,5.119297425916708,4.7443283753684345e-06,2.4399403073323377e-05,3.2532537431097834e-05,4.7443283753684345e-06,3.2532537431097834e-05,True,True
full,Cognitive performance,False,gene_driven_strict,True,True,149,1214,37,1.0239106687704818,0.7020236120800722,1.4933871732827648,0.9228754668523727,1.0,1.0,0.4834667813792192,0.7994980127788192,False,False
full,Cognitive performance,False,gene_driven_all,True,True,149,1266,38,1.0027731314376265,0.6898625491403932,1.4576149326937649,1.0,1.0,1.0,0.5264107486879537,0.7994980127788192,False,False
full,Cognitive performance,False,dual_driven,False,True,149,11,0,1.400174494692453,0.08212169383088243,23.872968568142348,1.0,,1.0,1.0,1.0,False,False
