variant,class,trait,is_control,n_class,K_trait,k_obs,null_overlap_median,OR_obs_haldane,p_fisher_one_sided,p_emp_lengthmatched,q_bh_perm
full,regulation_driven,Schizophrenia,False,293,257,36,29.0,2.8544697451182364,6.382436077509161e-07,0.06393606393606394,0.6137862137862138
full,regulation_driven,ASD,False,293,116,16,12.0,2.71058222401506,0.001127750252316382,0.15084915084915085,0.7091090727454363
full,regulation_driven,Educational attainment,False,293,822,103,89.0,2.992153343583963,8.683759842761343e-16,0.01998001998001998,0.4795204795204795
full,regulation_driven,Intelligence,False,293,180,19,17.0,1.9884112402510616,0.009004042743582581,0.3106893106893107,0.7091090727454363
full,regulation_driven,Major depression,False,293,154,25,18.0,3.3386898470697353,2.573991445558128e-06,0.059940059940059943,0.6137862137862138
full,regulation_driven,Bipolar disorder,False,293,115,22,14.0,4.06697787100777,6.108719796068543e-07,0.016983016983016984,0.4795204795204795
full,regulation_driven,Neuroticism,False,293,122,21,15.0,3.5605640168120396,6.550659537947252e-06,0.06393606393606394,0.6137862137862138
full,regulation_driven,Cognitive performance,False,293,149,24,20.0,3.3006157189424123,4.7443283753684345e-06,0.17582417582417584,0.7091090727454363
full,regulation_driven,Height,True,293,2191,183,180.0,2.2104573661486193,5.154673847080334e-11,0.3676323676323676,0.7091090727454363
full,regulation_driven,LDL cholesterol,True,293,256,22,18.0,1.5717584139287777,0.04555838777243093,0.2097902097902098,0.7091090727454363
full,regulation_driven,Crohn disease,True,293,95,3,7.0,0.5977857375447737,0.9255024857570309,0.989010989010989,1.0
full,regulation_driven,Type 2 diabetes,True,293,561,60,56.0,2.1598608884267967,1.724951008630618e-06,0.26673326673326675,0.7091090727454363
full,gene_driven_strict,Schizophrenia,False,1214,257,61,60.0,0.9671494323615151,0.6261281942977646,0.4755244755244755,0.7091090727454363
full,gene_driven_strict,ASD,False,1214,116,29,28.0,1.0447020545881787,0.47650511019672936,0.39760239760239763,0.7091090727454363
full,gene_driven_strict,Educational attainment,False,1214,822,194,194.0,0.9499317296924581,0.7357036572513678,0.5254745254745254,0.7206507777936348
full,gene_driven_strict,Intelligence,False,1214,180,42,43.0,0.9480575462039981,0.6621296830974062,0.6273726273726273,0.7528471528471528
full,gene_driven_strict,Major depression,False,1214,154,24,36.0,0.572522572537055,0.9974758174502576,0.994005994005994,1.0
full,gene_driven_strict,Bipolar disorder,False,1214,115,22,27.0,0.7400867722732317,0.9285949266865752,0.8881118881118881,1.0
full,gene_driven_strict,Neuroticism,False,1214,122,28,29.0,0.9319594110997398,0.6815976959184957,0.5884115884115884,0.7475601321755168
full,gene_driven_strict,Cognitive performance,False,1214,149,37,34.0,1.032837933474876,0.4834667813792192,0.3386613386613387,0.7091090727454363
full,gene_driven_strict,Height,True,1214,2191,534,529.0,0.9968012163888899,0.5329986751858794,0.3876123876123876,0.7091090727454363
full,gene_driven_strict,LDL cholesterol,True,1214,256,66,63.0,1.0852372774256505,0.32278199202629027,0.3196803196803197,0.7091090727454363
full,gene_driven_strict,Crohn disease,True,1214,95,27,23.0,1.2483288513253938,0.21004049386793827,0.1798201798201798,0.7091090727454363
full,gene_driven_strict,Type 2 diabetes,True,1214,561,141,134.0,1.0471282274799834,0.3522776189223056,0.24675324675324675,0.7091090727454363
full,gene_driven_all,Schizophrenia,False,1266,257,64,63.0,0.9744975744975745,0.6068709945077326,0.4805194805194805,0.7091090727454363
full,gene_driven_all,ASD,False,1266,116,29,28.0,0.9866366522366522,0.5811019378972169,0.4875124875124875,0.7091090727454363
full,gene_driven_all,Educational attainment,False,1266,822,206,204.0,0.976755826434225,0.6261034422454649,0.4325674325674326,0.7091090727454363
full,gene_driven_all,Intelligence,False,1266,180,43,45.0,0.9234922168146524,0.7151853298058141,0.6473526473526473,0.757876270071392
full,gene_driven_all,Major depression,False,1266,154,28,38.0,0.6516952005884972,0.988236247170996,0.98001998001998,1.0
full,gene_driven_all,Bipolar disorder,False,1266,115,23,28.0,0.7388713200534672,0.9317886976225285,0.906093906093906,1.0
full,gene_driven_all,Neuroticism,False,1266,122,29,30.0,0.9217933344136553,0.7001983723233348,0.6053946053946054,0.7475601321755168
full,gene_driven_all,Cognitive performance,False,1266,149,38,36.0,1.0111404954454282,0.5264107486879537,0.3866133866133866,0.7091090727454363
full,gene_driven_all,Height,True,1266,2191,557,552.0,0.997288902024722,0.5300872379588286,0.38461538461538464,0.7091090727454363
full,gene_driven_all,LDL cholesterol,True,1266,256,71,65.0,1.136022212677595,0.21444481107395136,0.23176823176823177,0.7091090727454363
full,gene_driven_all,Crohn disease,True,1266,95,29,24.0,1.3057340320498214,0.15220209302651788,0.15584415584415584,0.7091090727454363
full,gene_driven_all,Type 2 diabetes,True,1266,561,146,140.0,1.0363642026321627,0.387792754946075,0.26673326673326675,0.7091090727454363
full,dual_driven,Schizophrenia,False,11,257,1,1.0,2.621832358674464,0.4424304770574768,0.6073926073926074,0.7475601321755168
full,dual_driven,ASD,False,11,116,1,0.0,5.996907854050711,0.22882277801462078,0.3206793206793207,0.7091090727454363
full,dual_driven,Educational attainment,False,11,822,4,3.0,3.0388515577275506,0.09295661164478572,0.2947052947052947,0.7091090727454363
full,dual_driven,Intelligence,False,11,180,1,0.0,3.8077994428969357,0.33360125704462795,0.4095904095904096,0.7091090727454363
full,dual_driven,Major depression,False,11,154,1,0.0,4.476966030711959,0.29270566608535914,0.48151848151848153,0.7091090727454363
full,dual_driven,Bipolar disorder,False,11,115,1,0.0,6.050530255770431,0.2270729947139114,0.3436563436563437,0.7091090727454363
full,dual_driven,Neuroticism,False,11,122,1,0.0,5.693709582598472,0.2392460719848354,0.4385614385614386,0.7091090727454363
full,dual_driven,Cognitive performance,False,11,149,0,0.0,1.400174494692453,1.0,1.0,1.0
full,dual_driven,Height,True,11,2191,7,6.0,2.1206225680933852,0.15732580487551223,0.44555444555444557,0.7091090727454363
full,dual_driven,LDL cholesterol,True,11,256,1,1.0,2.63265306122449,0.44112746776230627,0.5084915084915085,0.7178703649291884
full,dual_driven,Crohn disease,True,11,95,0,0.0,2.2164807648531757,1.0,1.0,1.0
full,dual_driven,Type 2 diabetes,True,11,561,2,2.0,2.0716335073608954,0.35703277014371293,0.6003996003996004,0.7475601321755168
LOO-brain,regulation_driven,Schizophrenia,False,613,257,50,50.0,1.7943126543440844,0.0005196052093761332,0.5204795204795205,0.9209613915496269
LOO-brain,regulation_driven,ASD,False,613,116,21,21.0,1.6211323922504253,0.04328409889772824,0.5834165834165834,0.9209613915496269
LOO-brain,regulation_driven,Educational attainment,False,613,822,189,159.0,2.6273567584502127,2.2751227776155685e-21,0.000999000999000999,0.04795204795204795
LOO-brain,regulation_driven,Intelligence,False,613,180,33,30.0,1.6489087431933314,0.0113114187065665,0.3026973026973027,0.8963344347959732
LOO-brain,regulation_driven,Major depression,False,613,154,38,31.0,2.437913663431314,1.3863086950774733e-05,0.10989010989010989,0.8963344347959732
LOO-brain,regulation_driven,Bipolar disorder,False,613,115,32,24.0,2.8637737422832754,4.65685576279646e-06,0.03296703296703297,0.7912087912087913
LOO-brain,regulation_driven,Neuroticism,False,613,122,33,26.0,2.7548732310327737,6.4767374274730074e-06,0.08291708291708291,0.8963344347959732
