trait,is_control,logistic_OR_adj,logistic_p_adj,logistic_q,perm_OR_obs,perm_null_overlap_med,perm_k_obs,perm_p,perm_q
Schizophrenia,False,1.2715164578632334,0.2603075915146062,0.624738219635055,2.8544697451182364,29.0,36,0.06393606393606394,0.6137862137862138
ASD,False,1.0999546905526487,0.7609480106496184,0.830263848214199,2.71058222401506,12.0,16,0.15084915084915085,0.7091090727454363
Educational attainment,False,1.2194993969722654,0.1788626809383143,0.624738219635055,2.992153343583963,89.0,103,0.01998001998001998,0.4795204795204795
Intelligence,False,1.0216804986897332,0.9386294141326488,0.9386294141326488,1.9884112402510616,17.0,19,0.3106893106893107,0.7091090727454363
Major depression,False,1.2341339560967606,0.4149879610677596,0.7114079332590164,3.3386898470697353,18.0,25,0.059940059940059943,0.6137862137862138
Bipolar disorder,False,1.6406804631507457,0.0746459124565093,0.447875474739056,4.06697787100777,14.0,22,0.016983016983016984,0.4795204795204795
Neuroticism,False,1.412791189385729,0.2103979276647686,0.624738219635055,3.5605640168120396,15.0,21,0.06393606393606394,0.6137862137862138
Cognitive performance,False,1.0822030789511512,0.761075194196349,0.830263848214199,3.3006157189424123,20.0,24,0.17582417582417584,0.7091090727454363
Height,True,1.0625476137762946,0.6560046475115051,0.830263848214199,2.2104573661486193,180.0,183,0.3676323676323676,0.7091090727454363
LDL cholesterol,True,1.267213540003674,0.3377773190891608,0.6755546381783217,1.5717584139287777,18.0,22,0.2097902097902098,0.7091090727454363
Crohn disease,True,0.3310084575979141,0.0679871859667035,0.447875474739056,0.5977857375447737,7.0,3,0.989010989010989,1.0
Type 2 diabetes,True,1.0729259045415431,0.6732536039006489,0.830263848214199,2.1598608884267967,56.0,60,0.26673326673326675,0.7091090727454363
