gene_id,gene_symbol,cls_loo_brain_tau,rds_loo_brain_tau
ENSG00000000460,FIRRM,neutral,0.15946545454545455
ENSG00000000971,CFH,neutral,0.045509545454545455
ENSG00000001084,GCLC,regulation-driven,0.42301772727272724
ENSG00000001167,NFYA,neutral,0.4431222727272727
ENSG00000001561,ENPP4,neutral,0.142925
ENSG00000002745,WNT16,neutral,0.21237727272727272
ENSG00000002822,MAD1L1,neutral,0.7931972727272727
ENSG00000003056,M6PR,gene-driven,0.19583636363636364
ENSG00000003400,CASP10,neutral,0.04834227272727273
ENSG00000003436,TFPI,gene-driven,0.0837081818181818
ENSG00000003987,MTMR7,gene-driven,0.3510072727272727
ENSG00000003989,SLC7A2,regulation-driven,0.3127168181818181
ENSG00000004059,ARF5,neutral,0.3353804545454545
ENSG00000004142,POLDIP2,neutral,0.3708372727272727
ENSG00000004455,AK2,neutral,0.36809590909090906
ENSG00000004700,RECQL,gene-driven,0.27058909090909095
ENSG00000004799,PDK4,neutral,0.2913331818181818
ENSG00000004846,ABCB5,neutral,0.16988318181818182
ENSG00000004866,ST7,regulation-driven,0.43699954545454545
ENSG00000004948,CALCR,gene-driven (relaxed),0.22197227272727274
ENSG00000005001,PRSS22,gene-driven,0.06433454545454545
ENSG00000005108,THSD7A,regulation-driven,0.34351363636363635
ENSG00000005156,LIG3,neutral,0.30686863636363637
ENSG00000005238,ATOSB,gene-driven,0.09586227272727273
ENSG00000005249,PRKAR2B,neutral,0.3871954545454545
ENSG00000005448,WDR54,neutral,0.1421940909090909
ENSG00000005469,CROT,neutral,0.2733304545454545
ENSG00000005486,RHBDD2,gene-driven,0.09668454545454545
ENSG00000005700,IBTK,regulation-driven,0.29581090909090907
ENSG00000005812,FBXL3,neutral,0.4182659090909091
ENSG00000005981,ASB4,neutral,0.3022990909090909
ENSG00000006042,TMEM98,gene-driven,0.40830500000000003
ENSG00000006128,TAC1,neutral,0.23385227272727271
ENSG00000006194,ZNF263,neutral,0.05930818181818182
ENSG00000006377,DLX6,gene-driven,0.24984454545454543
ENSG00000006432,MAP3K9,regulation-driven,0.31317409090909093
ENSG00000006453,BAIAP2L1,neutral,0.2506672727272727
ENSG00000006530,AGK,gene-driven,0.24253409090909092
ENSG00000006555,TTC22,neutral,0.16586227272727275
ENSG00000006715,VPS41,dual-driven,0.9607963636363636
ENSG00000006831,ADIPOR2,neutral,0.38436227272727275
ENSG00000007171,NOS2,gene-driven,0.27524954545454544
ENSG00000007216,SLC13A2,gene-driven,0.22745545454545454
ENSG00000007341,ST7L,gene-driven,0.370015
ENSG00000007402,CACNA2D2,neutral,0.3412290909090909
ENSG00000007866,TEAD3,gene-driven,0.3994409090909091
ENSG00000007908,SELE,neutral,0.0692690909090909
ENSG00000007944,MYLIP,gene-driven,0.3748581818181818
ENSG00000007968,E2F2,neutral,0.2130168181818182
ENSG00000008018,PSMB1,neutral,0.38454499999999997
ENSG00000008083,JARID2,regulation-driven,0.4327045454545454
ENSG00000008118,CAMK1G,regulation-driven,0.8057168181818182
ENSG00000008197,TFAP2D,neutral,0.44979363636363634
ENSG00000008256,CYTH3,neutral,0.4262163636363636
ENSG00000008323,PLEKHG6,neutral,0.09641045454545455
ENSG00000008394,MGST1,neutral,0.20022318181818183
ENSG00000008405,CRY1,neutral,0.4065686363636363
ENSG00000008516,MMP25,gene-driven,0.07155409090909091
ENSG00000008952,SEC62,neutral,0.42009363636363634
ENSG00000009709,PAX7,neutral,0.4341668181818182
ENSG00000009724,MASP2,gene-driven,0.12336863636363636
ENSG00000009765,IYD,gene-driven,0.284205
ENSG00000009780,FAM76A,gene-driven,0.42338363636363635
ENSG00000009790,TRAF3IP3,gene-driven,0.09284636363636363
ENSG00000009844,VTA1,gene-driven,0.3641663636363636
ENSG00000009954,BAZ1B,regulation-driven,0.32569363636363635
ENSG00000010017,RANBP9,neutral,0.37915363636363636
ENSG00000010072,SPRTN,neutral,0.15398272727272727
ENSG00000010165,METTL13,neutral,0.24536681818181819
ENSG00000010244,ZNF207,gene-driven,0.4273127272727273
ENSG00000010256,UQCRC1,neutral,0.2528604545454545
ENSG00000010278,CD9,gene-driven,0.2956281818181818
ENSG00000010295,IFFO1,neutral,0.29188136363636363
ENSG00000010322,NISCH,neutral,0.21064090909090907
ENSG00000010539,ZNF200,gene-driven,0.053642727272727266
ENSG00000010704,HFE,neutral,0.053734090909090905
ENSG00000010803,SCMH1,neutral,0.3422340909090909
ENSG00000011007,ELOA,neutral,0.16896954545454543
ENSG00000011021,CLCN6,gene-driven,0.4112290909090909
ENSG00000011083,SLC6A7,neutral,0.29334363636363636
ENSG00000011114,BTBD7,regulation-driven,0.3812554545454545
ENSG00000011376,LARS2,gene-driven,0.3129
ENSG00000011405,PIK3C2A,regulation-driven,0.32368318181818184
ENSG00000011465,DCN,regulation-driven,0.35329181818181815
ENSG00000012171,SEMA3B,gene-driven,0.12446545454545455
ENSG00000012232,EXTL3,gene-driven,0.41744363636363635
ENSG00000012660,ELOVL5,neutral,0.3898454545454545
ENSG00000012779,ALOX5,regulation-driven,0.4033704545454545
ENSG00000012822,CALCOCO1,gene-driven,0.13607136363636363
ENSG00000012963,UBR7,neutral,0.2524031818181818
ENSG00000013016,EHD3,regulation-driven,0.4420259090909091
ENSG00000013293,SLC7A14,neutral,0.3829
ENSG00000013297,CLDN11,neutral,0.319845
ENSG00000013374,NUB1,gene-driven,0.22389136363636364
ENSG00000013392,RWDD2A,neutral,0.0949481818181818
ENSG00000013441,CLK1,neutral,0.21118909090909088
ENSG00000013561,RNF14,neutral,0.2986436363636364
ENSG00000013583,HEBP1,gene-driven,0.2078990909090909
ENSG00000013810,TACC3,neutral,0.05729772727272727
ENSG00000014123,UFL1,neutral,0.31427045454545455
ENSG00000014138,POLA2,gene-driven,0.22709
ENSG00000014164,ZC3H3,gene-driven,0.0979640909090909
ENSG00000014257,ACP3,gene-driven,0.12327727272727272
ENSG00000014641,MDH1,gene-driven,0.4235663636363636
ENSG00000014824,SLC30A9,neutral,0.3698322727272727
ENSG00000014914,MTMR11,neutral,0.09988318181818182
ENSG00000014919,COX15,neutral,0.32139863636363636
ENSG00000015520,NPC1L1,neutral,0.15252045454545454
ENSG00000015592,STMN4,gene-driven,0.3425081818181818
ENSG00000016082,ISL1,gene-driven,0.4278613636363636
ENSG00000016391,CHDH,neutral,0.22983136363636364
ENSG00000016490,CLCA1,neutral,0.11377363636363637
ENSG00000016602,CLCA4,neutral,0.09129272727272726
ENSG00000016864,GLT8D1,neutral,0.2375990909090909
