classification,trait,is_control,class,n_trait_universe,n_class,k_overlap,OR,CI_lo,CI_hi,p_two_sided,q_bh_48,q_bh_36
LOO-brain-tau,Schizophrenia,False,regulation_driven,257,403,46,2.6625247255300226,1.9013853025588696,3.728354218641719,1.9702537451460217e-07,2.364304494175226e-06,1.7732283706314195e-06
LOO-brain-tau,Schizophrenia,False,gene_driven_strict,257,1207,55,0.8425940250275028,0.6208389825872268,1.1435568817753792,0.2957823383864703,0.5679020897020229,0.5324082090956466
LOO-brain-tau,Schizophrenia,False,gene_driven_all,257,1256,58,0.8561253680757712,0.6344052956604246,1.1553350056762421,0.33805351499782826,0.6240987969190676,0.5795203114248485
LOO-brain-tau,Schizophrenia,False,dual_driven,257,21,1,0.9173828125,0.12263186131458201,6.86274525762529,1.0,1.0,
LOO-brain-tau,ASD,False,regulation_driven,116,403,15,1.7109829539654997,0.9850016386702336,2.972038374182427,0.05860031289284606,0.23690427413718643,0.19383076974860708
LOO-brain-tau,ASD,False,gene_driven_strict,116,1207,28,0.9928676073714242,0.6456764218631822,1.5267493939500598,1.0,1.0,1.0
LOO-brain-tau,ASD,False,gene_driven_all,116,1256,29,0.9864167345829937,0.644745983350531,1.5091493384866466,1.0,1.0,1.0
LOO-brain-tau,ASD,False,dual_driven,116,21,1,2.103478260869565,0.2799046869065246,15.807598089375592,0.39137851920683053,0.6262056307309289,
LOO-brain-tau,Educational attainment,False,regulation_driven,822,403,133,2.775391065957104,2.2208877626337937,3.4683407683149263,1.5586692263142866e-17,5.35463022015149e-16,4.0159726651136175e-16
LOO-brain-tau,Educational attainment,False,gene_driven_strict,822,1207,187,0.904251968503937,0.7570155325139185,1.0801252912577606,0.28522568458808645,0.5679020897020229,0.5324082090956466
LOO-brain-tau,Educational attainment,False,gene_driven_all,822,1256,197,0.9205983002832862,0.7730421463172827,1.0963195661736045,0.37953790833604834,0.6262056307309289,0.5940593347868582
LOO-brain-tau,Educational attainment,False,dual_driven,822,21,6,2.027941176470588,0.7844904575402494,5.242314136133279,0.14149308945293282,0.42447926835879846,
