trait,is_control,class,K_universe,n_class,k_overlap,expected,OR,p,q_bh
Educational attainment,False,regulation_driven,822,613,189,101.3,2.625,2.2751227776155685e-21,7.280392888369819e-20
Bipolar disorder,False,regulation_driven,115,613,32,14.2,2.839,4.65685576279646e-06,5.181389941978406e-05
Cognitive performance,False,regulation_driven,149,613,38,18.4,2.53,6.036139006377781e-06,5.181389941978406e-05
Neuroticism,False,regulation_driven,122,613,33,15.0,2.731,6.4767374274730074e-06,5.181389941978406e-05
Major depression,False,regulation_driven,154,613,38,19.0,2.418,1.3863086950774733e-05,8.872375648495829e-05
Schizophrenia,False,regulation_driven,257,613,50,31.7,1.782,0.0005196052093761332,0.002771227783339377
Intelligence,False,regulation_driven,180,613,33,22.2,1.631,0.0113114187065665,0.051709342658589716
Educational attainment,False,dual_driven,822,24,8,4.0,2.541,0.03351565813964584,0.13406263255858336
ASD,False,regulation_driven,116,613,21,14.3,1.593,0.04328409889772824,0.15389901830303374
ASD,False,dual_driven,116,24,2,0.6,3.856,0.10676498497022127,0.3416479519047081
Major depression,False,dual_driven,154,24,2,0.7,2.87,0.1691757573179177,0.4921476576521242
Intelligence,False,dual_driven,180,24,2,0.9,2.437,0.2149298266540773,0.5731462044108728
Schizophrenia,False,dual_driven,257,24,2,1.2,1.674,0.3542093291784573,0.8718998872085103
Bipolar disorder,False,dual_driven,115,24,1,0.6,1.844,0.43034139151729955,0.8766175333081264
Cognitive performance,False,gene_driven,149,1099,34,32.9,1.044,0.44698695719290016,0.8766175333081264
Neuroticism,False,dual_driven,122,24,1,0.6,1.735,0.4497597004265508,0.8766175333081264
Cognitive performance,False,gene_driven_all,149,1140,35,34.1,1.034,0.46570306456994215,0.8766175333081264
Cognitive performance,False,dual_driven,149,24,1,0.7,1.411,0.5188834288374135,0.9224594290442906
Neuroticism,False,gene_driven_all,122,1140,27,28.0,0.955,0.618486663494915,0.9909173029231395
Neuroticism,False,gene_driven,122,1099,26,27.0,0.954,0.6193268754685669,0.9909173029231395
Schizophrenia,False,gene_driven_all,257,1140,55,58.9,0.911,0.7466478073963607,0.9909173029231395
Educational attainment,False,gene_driven_all,822,1140,181,188.4,0.94,0.7625224786454134,0.9909173029231395
Schizophrenia,False,gene_driven,257,1099,52,56.8,0.889,0.7914460382920909,0.9909173029231395
ASD,False,gene_driven,116,1099,22,25.6,0.822,0.8245916944123781,0.9909173029231395
Educational attainment,False,gene_driven,822,1099,171,181.6,0.913,0.8469728849957031,0.9909173029231395
ASD,False,gene_driven_all,116,1140,22,26.6,0.783,0.8736326526476695,0.9909173029231395
Bipolar disorder,False,gene_driven_all,115,1140,21,26.4,0.747,0.9084644668892545,0.9909173029231395
Bipolar disorder,False,gene_driven,115,1099,20,25.4,0.738,0.9135626455855967,0.9909173029231395
Intelligence,False,gene_driven,180,1099,32,39.8,0.755,0.9378391482976921,0.9909173029231395
Major depression,False,gene_driven_all,154,1140,27,35.3,0.708,0.9599709977895204,0.9909173029231395
Intelligence,False,gene_driven_all,180,1140,32,41.3,0.719,0.9639804750919391,0.9909173029231395
Major depression,False,gene_driven,154,1099,23,34.0,0.611,0.9909173029231395,0.9909173029231395
