trait,is_control,class,K_universe,n_class,k_overlap,expected,OR,p,q_bh
Educational attainment,False,regulation_driven,822,148,58,24.5,3.426,1.7601318660874937e-11,5.63242197147998e-10
Schizophrenia,False,regulation_driven,257,148,18,7.6,2.657,0.0005411089423392707,0.008657743077428332
Neuroticism,False,regulation_driven,122,148,11,3.6,3.411,0.0009163091340642841,0.009773964096685697
Cognitive performance,False,regulation_driven,149,148,12,4.4,3.02,0.0014627532076389252,0.011702025661111401
Major depression,False,regulation_driven,154,148,12,4.6,2.911,0.0019421070088960712,0.012429484856934856
Intelligence,False,regulation_driven,180,148,11,5.4,2.213,0.01764131928244762,0.09408703617305397
ASD,False,regulation_driven,116,148,8,3.5,2.496,0.021534193162927255,0.09844202588766746
Bipolar disorder,False,regulation_driven,115,148,6,3.4,1.829,0.12675333617261314,0.5070133446904526
Bipolar disorder,False,dual_driven,115,9,1,0.2,5.319,0.18998029423423196,0.5830718545729047
ASD,False,dual_driven,116,9,1,0.2,5.272,0.19148063943939606,0.5830718545729047
Neuroticism,False,dual_driven,122,9,1,0.2,5.004,0.20043095000943598,0.5830718545729047
Major depression,False,dual_driven,154,9,1,0.3,3.931,0.2466951364407425,0.6578536971753134
Schizophrenia,False,dual_driven,257,9,1,0.5,2.299,0.3798890501430835,0.9351115080445133
Educational attainment,False,dual_driven,822,9,2,1.5,1.444,0.4527291399744612,0.9925297360260437
Cognitive performance,False,gene_driven,149,1339,41,40.1,1.032,0.4655414123651931,0.9925297360260437
Cognitive performance,False,gene_driven_all,149,1405,42,42.1,0.997,0.5382561649012336,0.9925297360260437
ASD,False,gene_driven,116,1339,31,31.2,0.99,0.5551319565603227,0.9925297360260437
ASD,False,gene_driven_all,116,1405,32,32.8,0.967,0.5989229237317175,0.9925297360260437
Intelligence,False,gene_driven_all,180,1405,49,50.8,0.948,0.6500916335440889,0.9925297360260437
Educational attainment,False,gene_driven_all,822,1405,228,232.2,0.97,0.6532631923184223,0.9925297360260437
Neuroticism,False,gene_driven,122,1339,31,32.8,0.923,0.6815867541082479,0.9925297360260437
Intelligence,False,gene_driven,180,1339,46,48.5,0.929,0.6902804715832075,0.9925297360260437
Neuroticism,False,gene_driven_all,122,1405,32,34.5,0.901,0.7236296999133465,0.9925297360260437
Educational attainment,False,gene_driven,822,1339,213,221.3,0.94,0.7745642418137426,0.9925297360260437
Schizophrenia,False,gene_driven,257,1339,64,69.2,0.895,0.7932117841424999,0.9925297360260437
Schizophrenia,False,gene_driven_all,257,1405,67,72.6,0.891,0.8064304105211605,0.9925297360260437
Bipolar disorder,False,gene_driven,115,1339,26,31.0,0.789,0.8784753113117512,1.0
Bipolar disorder,False,gene_driven_all,115,1405,27,32.5,0.775,0.8968301968292738,1.0
Major depression,False,gene_driven_all,154,1405,34,43.5,0.713,0.9679608757384204,1.0
Major depression,False,gene_driven,154,1339,30,41.5,0.649,0.9883584837507049,1.0
Intelligence,False,dual_driven,180,9,0,0.3,0.0,1.0,1.0
Cognitive performance,False,dual_driven,149,9,0,0.3,0.0,1.0,1.0
