class,bucket,K_universe,n_class,k_overlap,pct_in_class,pct_universe,OR_greater,p_greater,p_two_sided,q_bh,q_bh_two_sided
dual_driven,Neuronal & synaptic,554,11,4,36.4,11.1,4.585,0.0265030859215531,0.0265030859215531,0.176687239477021,0.20109273059626248
dual_driven,Transport & secretion,952,11,3,27.3,19.1,1.586,0.3540080592535238,0.4503822339491178,0.7746284287026922,0.6212168744125762
dual_driven,Multicellular & organ homeostasis,645,11,1,9.1,13.0,0.671,0.7833377425920293,1.0,1.0,1.0
dual_driven,Metabolism & proteostasis,1863,11,3,27.3,37.5,0.626,0.8438002427198537,0.5525276979597747,1.0,0.6906596224497185
dual_driven,Development & morphogenesis,957,11,1,9.1,19.2,0.419,0.9049371813685532,0.7021509965790345,1.0,0.8276092394734014
dual_driven,"Transcription, RNA & chromatin",1070,11,1,9.1,21.5,0.364,0.9305733805312368,0.4752092364427554,1.0,0.6336123152570072
dual_driven,Immune & defense,634,11,0,0.0,12.7,0.0,1.0,0.3789074886270957,1.0,0.6062519818033532
dual_driven,"Cell cycle, DNA repair & apoptosis",898,11,0,0.0,18.1,0.0,1.0,0.2321710815281353,1.0,0.4478115522191665
dual_driven,Signal transduction,1246,11,0,0.0,25.1,0.0,1.0,0.0762591673068202,1.0,0.33892963247475644
dual_driven,Reproduction,46,11,0,0.0,0.9,0.0,1.0,1.0,1.0,1.0
gene_driven,Metabolism & proteostasis,1863,1214,472,38.9,37.5,1.083,0.126041167750916,0.2462963537205416,0.45833151909424,0.4478115522191665
gene_driven,"Transcription, RNA & chromatin",1070,1214,273,22.5,21.5,1.079,0.1808435224336503,0.3555427756642065,0.5521749084806483,0.5925712927736775
gene_driven,"Cell cycle, DNA repair & apoptosis",898,1214,229,18.9,18.1,1.074,0.2112649705761645,0.4148772351265316,0.5521749084806483,0.6077628928182335
gene_driven,Transport & secretion,952,1214,242,19.9,19.1,1.07,0.2208699633922593,0.4254340249727634,0.5521749084806483,0.6077628928182335
gene_driven,Signal transduction,1246,1214,309,25.5,25.1,1.029,0.3679485036337788,0.7034678535523912,0.7746284287026922,0.8276092394734014
gene_driven,Immune & defense,634,1214,157,12.9,12.7,1.022,0.4284556076913113,0.8430718393319554,0.8569112153826227,0.9368512899141677
gene_driven,Reproduction,46,1214,10,0.8,0.9,0.859,0.7176038307683863,0.8630151047827682,1.0,0.9368512899141677
gene_driven,Multicellular & organ homeostasis,645,1214,143,11.8,13.0,0.867,0.9297761896968828,0.1688606020382698,1.0,0.4478115522191665
gene_driven,Neuronal & synaptic,554,1214,119,9.8,11.1,0.831,0.9615860323324544,0.0931881472201743,1.0,0.3727525888806972
gene_driven,Development & morphogenesis,957,1214,209,17.2,19.2,0.837,0.9828198908757948,0.0402185461192525,1.0,0.20109273059626248
gene_driven_all,Metabolism & proteostasis,1863,1266,494,39.0,37.5,1.093,0.0970381641576546,0.1897134542798397,0.4472964438960392,0.4478115522191665
gene_driven_all,"Transcription, RNA & chromatin",1070,1266,289,22.8,21.5,1.109,0.1006416998766088,0.1912421552147309,0.4472964438960392,0.4478115522191665
gene_driven_all,Transport & secretion,952,1266,257,20.3,19.1,1.104,0.12041299907464,0.2302621426647434,0.45833151909424,0.4478115522191665
gene_driven_all,"Cell cycle, DNA repair & apoptosis",898,1266,240,19.0,18.1,1.084,0.1771446869704985,0.3307673482126599,0.5521749084806483,0.5752475621089738
gene_driven_all,Immune & defense,634,1266,170,13.4,12.7,1.084,0.2130338901085141,0.4068070296354353,0.5521749084806483,0.6077628928182335
gene_driven_all,Signal transduction,1246,1266,326,25.8,25.1,1.051,0.2643002272215093,0.5231201234375767,0.621882887580022,0.6749937076613893
gene_driven_all,Reproduction,46,1266,12,0.9,0.9,1.034,0.5171666652005514,0.8665874431706051,0.9850793622867646,0.9368512899141677
gene_driven_all,Multicellular & organ homeostasis,645,1266,152,12.0,13.0,0.89,0.8907628280504777,0.2452730258442877,1.0,0.4478115522191665
gene_driven_all,Neuronal & synaptic,554,1266,127,10.0,11.1,0.857,0.934445881438662,0.1623483066160552,1.0,0.4478115522191665
gene_driven_all,Development & morphogenesis,957,1266,224,17.7,19.2,0.872,0.952120586882552,0.10750165641306,1.0,0.3909151142293091
regulation_driven,Multicellular & organ homeostasis,645,293,65,22.2,13.0,2.016,4.748089692314351e-06,6.138118483124141e-06,0.0001899235876925,0.0002455247393249656
regulation_driven,Signal transduction,1246,293,105,35.8,25.1,1.733,1.4795059143832992e-05,2.740064216771e-05,0.0002959011828766,0.0005480128433542
regulation_driven,Neuronal & synaptic,554,293,55,18.8,11.1,1.937,4.703654432047917e-05,7.299327255336909e-05,0.000627153924273,0.0009732436340449211
regulation_driven,Development & morphogenesis,957,293,78,26.6,19.2,1.569,0.0009112343000288,0.0016608270956811,0.009112343000288,0.016608270956811
regulation_driven,Transport & secretion,952,293,70,23.9,19.1,1.352,0.0219610721523465,0.0384790986699514,0.175688577218772,0.20109273059626248
regulation_driven,Metabolism & proteostasis,1863,293,121,41.3,37.5,1.187,0.0909046838187161,0.171111673479021,0.4472964438960392,0.4478115522191665
regulation_driven,Reproduction,46,293,2,0.7,0.9,0.724,0.7637944077981123,1.0,1.0,1.0
regulation_driven,Immune & defense,634,293,30,10.2,12.7,0.77,0.9250480162754778,0.2061482181822413,1.0,0.4478115522191665
regulation_driven,"Cell cycle, DNA repair & apoptosis",898,293,43,14.7,18.1,0.77,0.9510717803929684,0.1365703791719131,1.0,0.4478115522191665
regulation_driven,"Transcription, RNA & chromatin",1070,293,49,16.7,21.5,0.72,0.9853377346938198,0.0401428109862826,1.0,0.20109273059626248
