gene_id,gene_symbol,classification,rds_doan,rds_tau,rds_nc,rds_brain,rds_or_gds_total,dominant_component,dominant_share
ENSG00000003989,SLC7A2,regulation-driven,0.0,0.13987725,0.17199425,0.198271,0.510143,rds_brain,0.389
ENSG00000004799,PDK4,regulation-driven,0.0,0.1598815,0.16023325,0.1993968,0.519511,rds_brain,0.384
ENSG00000004866,ST7,regulation-driven,0.0,0.06157025,0.24034975,0.0,0.30192,rds_nc,0.796
ENSG00000005108,THSD7A,regulation-driven,0.0,0.14832125,0.1889325,0.0,0.337254,rds_nc,0.56
ENSG00000006432,MAP3K9,regulation-driven,0.0,0.13917375,0.17224575,0.0,0.311419,rds_nc,0.553
ENSG00000008083,JARID2,regulation-driven,0.0,0.10861475,0.2379875,0.0,0.346602,rds_nc,0.687
ENSG00000008118,CAMK1G,regulation-driven,0.3,0.194612,0.14314425,0.0,0.637756,rds_doan,0.47
ENSG00000012779,ALOX5,regulation-driven,0.0,0.17330125,0.22185375,0.0,0.395155,rds_nc,0.561
ENSG00000015520,NPC1L1,regulation-driven,0.0,0.219441,0.08388625,0.0,0.303327,rds_tau,0.723
ENSG00000016602,CLCA4,regulation-driven,0.0,0.22813625,0.050211,0.19975880000000001,0.478106,rds_tau,0.477
ENSG00000018280,SLC11A1,regulation-driven,0.0,0.20024125,0.13987725,0.19782880000000003,0.537947,rds_tau,0.372
ENSG00000035403,VCL,regulation-driven,0.0,0.118868,0.24215925,0.0,0.361027,rds_nc,0.671
ENSG00000040487,SLC66A1,regulation-driven,0.3,0.04935675,0.121934,0.0,0.471291,rds_doan,0.637
ENSG00000040731,CDH10,regulation-driven,0.3,0.208283,0.19999,0.0,0.708273,rds_doan,0.424
ENSG00000041515,MYO16,regulation-driven,0.0,0.133846,0.133092,0.0,0.266938,rds_tau,0.501
ENSG00000044524,EPHA3,regulation-driven,0.0,0.13208675,0.24130475,0.0,0.373392,rds_nc,0.646
ENSG00000047936,ROS1,regulation-driven,0.0,0.235374,0.07081825,0.0,0.306192,rds_tau,0.769
ENSG00000051180,RAD51,regulation-driven,0.0,0.20858475,0.24618025,0.0,0.454765,rds_nc,0.541
ENSG00000053108,FSTL4,regulation-driven,0.0,0.14349625,0.1589265,0.0,0.302423,rds_nc,0.526
ENSG00000053918,KCNQ1,regulation-driven,0.0,0.18621825,0.143446,0.0,0.329664,rds_tau,0.565
ENSG00000055118,KCNH2,regulation-driven,0.0,0.15917775,0.14801975,0.0,0.307197,rds_tau,0.518
ENSG00000057468,MSH4,regulation-driven,0.0,0.1816445,0.16958175,0.0,0.351226,rds_tau,0.517
ENSG00000058056,USP13,regulation-driven,0.0,0.18802775,0.22321075,0.0,0.411238,rds_nc,0.543
ENSG00000058063,ATP11B,regulation-driven,0.0,0.06408325,0.2218035,0.0,0.285887,rds_nc,0.776
ENSG00000058668,ATP2B4,regulation-driven,0.0,0.13666075,0.19632075,0.0,0.332982,rds_nc,0.59
ENSG00000058866,DGKG,regulation-driven,0.0,0.13620825,0.1743065,0.0,0.310515,rds_nc,0.561
ENSG00000061676,NCKAP1,regulation-driven,0.0,0.06840575,0.24668275,0.0,0.315088,rds_nc,0.783
ENSG00000064393,HIPK2,regulation-driven,0.0,0.1266585,0.23773625,0.197306,0.561701,rds_nc,0.423
ENSG00000065675,PRKCQ,regulation-driven,0.0,0.19295325,0.21456575,0.0,0.407519,rds_nc,0.527
ENSG00000068650,ATP11A,regulation-driven,0.0,0.11675725,0.21727975,0.0,0.334037,rds_nc,0.65
ENSG00000068976,PYGM,regulation-driven,0.0,0.23497175,0.18677125,0.0,0.421743,rds_tau,0.557
ENSG00000069206,ADAM7,regulation-driven,0.0,0.2373845,0.052121,0.1985926,0.488098,rds_tau,0.486
ENSG00000070019,GUCY2C,regulation-driven,0.0,0.235977,0.13324275,0.0,0.36922,rds_tau,0.639
ENSG00000070159,PTPN3,regulation-driven,0.0,0.12138125,0.1810415,0.0,0.302423,rds_nc,0.599
ENSG00000070190,DAPP1,regulation-driven,0.0,0.15214125,0.1783775,0.19879380000000002,0.529312,rds_brain,0.376
ENSG00000071189,SNX13,regulation-driven,0.0,0.0306595,0.24024925,0.0,0.270909,rds_nc,0.887
ENSG00000071575,TRIB2,regulation-driven,0.0,0.118064,0.24582825,0.1987536,0.562646,rds_nc,0.437
ENSG00000072182,ASIC4,regulation-driven,0.0,0.229795,0.152493,0.0,0.382288,rds_tau,0.601
ENSG00000072832,CRMP1,regulation-driven,0.0,0.16003225,0.191144,0.0,0.351176,rds_nc,0.544
ENSG00000072858,SIDT1,regulation-driven,0.0,0.14002825,0.174055,0.0,0.314083,rds_nc,0.554
ENSG00000073792,IGF2BP2,regulation-driven,0.0,0.1079615,0.2191395,0.19786900000000002,0.52497,rds_nc,0.417
ENSG00000075420,FNDC3B,regulation-driven,0.0,0.0566445,0.204413,0.0,0.261057,rds_nc,0.783
ENSG00000076356,PLXNA2,regulation-driven,0.0,0.10137725,0.2173805,0.0,0.318758,rds_nc,0.682
ENSG00000076641,PAG1,regulation-driven,0.0,0.14445125,0.09167675,0.1977482,0.433876,rds_brain,0.456
ENSG00000077092,RARB,regulation-driven,0.3,0.05955975,0.2468335,0.0,0.606393,rds_doan,0.495
ENSG00000077327,SPAG6,regulation-driven,0.0,0.22929225,0.18461,0.0,0.413902,rds_tau,0.554
ENSG00000077498,TYR,regulation-driven,0.3,0.237887,0.153247,0.0,0.691134,rds_doan,0.434
ENSG00000077943,ITGA8,regulation-driven,0.0,0.20984125,0.15621225,0.0,0.366053,rds_tau,0.573
ENSG00000078295,ADCY2,regulation-driven,0.0,0.160585,0.22109975,0.0,0.381685,rds_nc,0.579
ENSG00000078725,BRINP1,regulation-driven,0.0,0.2233615,0.239244,0.0,0.462606,rds_nc,0.517
ENSG00000084092,NOA1,regulation-driven,0.3,0.0154805,0.074437,0.0,0.389918,rds_doan,0.769
ENSG00000084110,HAL,regulation-driven,0.0,0.21456575,0.2077805,0.0,0.422346,rds_tau,0.508
ENSG00000084710,EFR3B,regulation-driven,0.0,0.175211,0.2268295,0.0,0.402041,rds_nc,0.564
ENSG00000089225,TBX5,regulation-driven,0.3,0.189033,0.23024725,0.0,0.71928,rds_doan,0.417
ENSG00000089250,NOS1,regulation-driven,0.0,0.1710395,0.20677525,0.0,0.377815,rds_nc,0.547
ENSG00000090402,SI,regulation-driven,0.0,0.2394955,0.1129875,0.0,0.352483,rds_tau,0.679
ENSG00000090539,CHRD,regulation-driven,0.3,0.135203,0.0720245,0.0,0.507228,rds_doan,0.591
ENSG00000090975,PITPNM2,regulation-driven,0.0,0.10062325,0.19436075,0.0,0.294984,rds_nc,0.659
ENSG00000091128,LAMB4,regulation-driven,0.0,0.233464,0.05513675,0.0,0.288601,rds_tau,0.809
ENSG00000091138,SLC26A3,regulation-driven,0.0,0.2289405,0.1079615,0.0,0.336902,rds_tau,0.68
ENSG00000091656,ZFHX4,regulation-driven,0.0,0.09906525,0.17842775,0.0,0.277493,rds_nc,0.643
ENSG00000092853,CLSPN,regulation-driven,0.0,0.2079815,0.0801165,0.0,0.288098,rds_tau,0.722
ENSG00000095203,EPB41L4B,regulation-driven,0.0,0.15244275,0.14781875,0.0,0.300261,rds_tau,0.508
ENSG00000095564,BTAF1,regulation-driven,0.0,0.0731805,0.23371525,0.0,0.306896,rds_nc,0.762
ENSG00000099219,ERMP1,regulation-driven,0.0,0.09323475,0.16329925,0.0,0.256534,rds_nc,0.637
ENSG00000100504,PYGL,regulation-driven,0.0,0.15927825,0.22079825,0.0,0.380076,rds_nc,0.581
ENSG00000100505,TRIM9,regulation-driven,0.0,0.18878175,0.22225575,0.0,0.411037,rds_nc,0.541
ENSG00000100592,DAAM1,regulation-driven,0.0,0.07353225,0.23245875,0.0,0.305991,rds_nc,0.76
ENSG00000100678,SLC8A3,regulation-driven,0.0,0.21079625,0.2364295,0.0,0.447226,rds_nc,0.529
ENSG00000100889,PCK2,regulation-driven,0.0,0.16304775,0.15696625,0.0,0.320014,rds_tau,0.51
ENSG00000104723,TUSC3,regulation-driven,0.0,0.137314,0.2370325,0.0,0.374347,rds_nc,0.633
ENSG00000105948,IFT56,regulation-driven,0.0,0.13294125,0.23205675,0.0,0.364998,rds_nc,0.636
ENSG00000106462,EZH2,regulation-driven,0.0,0.16696825,0.228287,0.0,0.395255,rds_nc,0.578
ENSG00000106617,PRKAG2,regulation-driven,0.0,0.08112175,0.2189385,0.0,0.30006,rds_nc,0.73
ENSG00000107295,SH3GL2,regulation-driven,0.0,0.18973675,0.2264275,0.0,0.416164,rds_nc,0.544
ENSG00000107864,CPEB3,regulation-driven,0.0,0.14465225,0.239797,0.0,0.384449,rds_nc,0.624
ENSG00000108001,EBF3,regulation-driven,0.0,0.1474165,0.22582425,0.0,0.373241,rds_nc,0.605
ENSG00000108055,SMC3,regulation-driven,0.0,0.09127475,0.24497375,0.0,0.336248,rds_nc,0.729
ENSG00000108061,SHOC2,regulation-driven,0.0,0.030006,0.24733625,0.0,0.277342,rds_nc,0.892
ENSG00000108231,LGI1,regulation-driven,0.0,0.20541825,0.2179835,0.0,0.423402,rds_nc,0.515
ENSG00000109458,GAB1,regulation-driven,0.0,0.1272115,0.20089475,0.0,0.328106,rds_nc,0.612
ENSG00000110328,GALNT18,regulation-driven,0.0,0.13022725,0.2343185,0.0,0.364546,rds_nc,0.643
ENSG00000110400,NECTIN1,regulation-driven,0.3,0.17129075,0.19194825,0.0,0.663239,rds_doan,0.452
ENSG00000110786,PTPN5,regulation-driven,0.0,0.19888425,0.1412345,0.0,0.340119,rds_tau,0.585
ENSG00000111199,TRPV4,regulation-driven,0.0,0.171743,0.1737535,0.0,0.345497,rds_nc,0.503
ENSG00000111218,PRMT8,regulation-driven,0.0,0.216727,0.24718525,0.0,0.463912,rds_nc,0.533
ENSG00000112234,FBXL4,regulation-driven,0.0,0.0762465,0.2126055,0.0,0.288852,rds_nc,0.736
ENSG00000112246,SIM1,regulation-driven,0.0,0.20577,0.20446325,0.0,0.410233,rds_tau,0.502
ENSG00000112290,WASF1,regulation-driven,0.0,0.1679735,0.20561925,0.0,0.373593,rds_nc,0.55
ENSG00000112320,SOBP,regulation-driven,0.3,0.0746885,0.18466025,0.0,0.559349,rds_doan,0.536
ENSG00000112782,CLIC5,regulation-driven,0.3,0.1658625,0.2243165,0.0,0.690179,rds_doan,0.435
ENSG00000113327,GABRG2,regulation-driven,0.0,0.2202955,0.232308,0.0,0.452604,rds_nc,0.513
ENSG00000113430,IRX4,regulation-driven,0.0,0.18486125,0.08534375,0.19915560000000002,0.469361,rds_brain,0.424
ENSG00000113749,HRH2,regulation-driven,0.3,0.1756635,0.095396,0.0,0.57106,rds_doan,0.525
ENSG00000114248,LRRC31,regulation-driven,0.0,0.18737425,0.05237225,0.1988742,0.438621,rds_brain,0.453
ENSG00000114805,PLCH1,regulation-driven,0.0,0.205368,0.13379575,0.0,0.339164,rds_tau,0.606
ENSG00000115085,ZAP70,regulation-driven,0.0,0.17822675,0.16842575,0.0,0.346653,rds_tau,0.514
ENSG00000115368,WDR75,regulation-driven,0.3,0.05493575,0.131534,0.0,0.48647,rds_doan,0.617
ENSG00000115380,EFEMP1,regulation-driven,0.0,0.16897875,0.1537495,0.1998794,0.522608,rds_brain,0.382
ENSG00000115423,DNAH6,regulation-driven,0.0,0.1800865,0.1312325,0.0,0.311319,rds_tau,0.578
ENSG00000115850,LCT,regulation-driven,0.0,0.2198935,0.107861,0.0,0.327754,rds_tau,0.671
ENSG00000115956,PLEK,regulation-driven,0.0,0.2120025,0.207328,0.1981906,0.617521,rds_tau,0.343
ENSG00000116062,MSH6,regulation-driven,0.0,0.11102725,0.1416365,0.0,0.252664,rds_nc,0.561
ENSG00000116117,PARD3B,regulation-driven,0.3,0.1225875,0.135404,0.0,0.557992,rds_doan,0.538
ENSG00000116147,TNR,regulation-driven,0.0,0.2275835,0.18089075,0.1986732,0.607147,rds_tau,0.375
ENSG00000116171,SCP2,regulation-driven,0.0,0.1189185,0.179986,0.0,0.298904,rds_nc,0.602
ENSG00000116266,STXBP3,regulation-driven,0.3,0.02015475,0.16656625,0.0,0.486721,rds_doan,0.616
ENSG00000117054,ACADM,regulation-driven,0.0,0.08438875,0.2018495,0.0,0.286238,rds_nc,0.705
ENSG00000117408,IPO13,regulation-driven,0.0,0.116355,0.20044225,0.0,0.316797,rds_nc,0.633
ENSG00000119203,CPSF3,regulation-driven,0.0,0.125,0.2441195,0.0,0.369119,rds_nc,0.661
ENSG00000132915,PDE6A,regulation-driven,0.0,0.19617,0.188078,0.0,0.384248,rds_tau,0.511
ENSG00000132932,ATP8A2,regulation-driven,0.0,0.214817,0.224216,0.0,0.439033,rds_nc,0.511
ENSG00000133069,TMCC2,regulation-driven,0.0,0.1716425,0.18958575,0.0,0.361228,rds_nc,0.525
ENSG00000133121,STARD13,regulation-driven,0.0,0.1445015,0.17119025,0.0,0.315692,rds_nc,0.542
ENSG00000133731,IMPA1,regulation-driven,0.3,0.0697125,0.1653095,0.0,0.535022,rds_doan,0.561
ENSG00000133805,AMPD3,regulation-driven,0.0,0.12947325,0.21707875,0.0,0.346552,rds_nc,0.626
ENSG00000134343,ANO3,regulation-driven,0.0,0.162093,0.221552,0.0,0.383645,rds_nc,0.577
ENSG00000134376,CRB1,regulation-driven,0.0,0.1879775,0.09233,0.0,0.280308,rds_tau,0.671
ENSG00000134571,MYBPC3,regulation-driven,0.0,0.24070175,0.1320365,0.0,0.372738,rds_tau,0.646
ENSG00000135333,EPHA7,regulation-driven,0.0,0.16420375,0.238088,0.0,0.402292,rds_nc,0.592
ENSG00000135773,CAPN9,regulation-driven,0.0,0.18139325,0.1570165,0.0,0.33841,rds_tau,0.536
ENSG00000135903,PAX3,regulation-driven,0.0,0.19169675,0.2283875,0.0,0.420084,rds_nc,0.544
ENSG00000135913,USP37,regulation-driven,0.0,0.1412345,0.17390425,0.0,0.315139,rds_nc,0.552
ENSG00000136011,STAB2,regulation-driven,0.0,0.23331325,0.10127675,0.0,0.33459,rds_tau,0.697
ENSG00000136231,IGF2BP3,regulation-driven,0.0,0.221753,0.2328105,0.0,0.454564,rds_nc,0.512
ENSG00000136286,MYO1G,regulation-driven,0.0,0.2112485,0.12887,0.0,0.340119,rds_tau,0.621
ENSG00000136750,GAD2,regulation-driven,0.0,0.23446925,0.23044825,0.0,0.464918,rds_tau,0.504
ENSG00000137076,TLN1,regulation-driven,0.0,0.1248995,0.166365,0.0,0.291265,rds_nc,0.571
ENSG00000137216,TMEM63B,regulation-driven,0.0,0.07483925,0.20416175,0.0,0.279001,rds_nc,0.732
ENSG00000137571,SLCO5A1,regulation-driven,0.0,0.17737225,0.21109775,0.0,0.38847,rds_nc,0.543
ENSG00000137672,TRPC6,regulation-driven,0.0,0.16581225,0.2112485,0.0,0.377061,rds_nc,0.56
ENSG00000137801,THBS1,regulation-driven,0.0,0.13847,0.17380375,0.0,0.312274,rds_nc,0.557
ENSG00000137807,KIF23,regulation-driven,0.0,0.164254,0.17204475,0.0,0.336299,rds_nc,0.512
ENSG00000137941,TTLL7,regulation-driven,0.0,0.145205,0.1926015,0.0,0.337807,rds_nc,0.57
ENSG00000138079,SLC3A1,regulation-driven,0.0,0.200191,0.12570375,0.0,0.325895,rds_tau,0.614
ENSG00000138100,TRIM54,regulation-driven,0.0,0.2243165,0.150985,0.198834,0.574136,rds_tau,0.391
ENSG00000138134,STAMBPL1,regulation-driven,0.0,0.10695625,0.17003425,0.0,0.27699,rds_nc,0.614
ENSG00000138190,EXOC6,regulation-driven,0.0,0.09464225,0.23271,0.0,0.327352,rds_nc,0.711
ENSG00000138316,ADAMTS14,regulation-driven,0.0,0.17958375,0.167672,0.0,0.347256,rds_tau,0.517
ENSG00000138650,PCDH10,regulation-driven,0.0,0.16138925,0.178277,0.0,0.339666,rds_nc,0.525
ENSG00000138698,RAP1GDS1,regulation-driven,0.0,0.11022325,0.2412545,0.0,0.351478,rds_nc,0.686
ENSG00000138792,ENPEP,regulation-driven,0.0,0.15767,0.1316345,0.1995578,0.488862,rds_brain,0.408
ENSG00000139197,PEX5,regulation-driven,0.0,0.09187775,0.18305175,0.0,0.27493,rds_nc,0.666
ENSG00000139292,LGR5,regulation-driven,0.0,0.17707075,0.1364595,0.0,0.31353,rds_tau,0.565
ENSG00000139364,TMEM132B,regulation-driven,0.0,0.20169875,0.1476175,0.0,0.349316,rds_tau,0.577
ENSG00000140009,ESR2,regulation-driven,0.0,0.15656425,0.15390025,0.0,0.310464,rds_tau,0.504
ENSG00000140025,EFCAB11,regulation-driven,0.3,0.16822475,0.07850825,0.0,0.546733,rds_doan,0.549
ENSG00000142611,PRDM16,regulation-driven,0.3,0.170386,0.2222055,0.0,0.692591,rds_doan,0.433
ENSG00000143147,GPR161,regulation-driven,0.0,0.16329925,0.1981805,0.0,0.36148,rds_nc,0.548
ENSG00000143171,RXRG,regulation-driven,0.0,0.1883795,0.21255525,0.0,0.400935,rds_nc,0.53
ENSG00000143344,RGL1,regulation-driven,0.3,0.107107,0.18802775,0.0,0.595135,rds_doan,0.504
ENSG00000143819,EPHX1,regulation-driven,0.0,0.156916,0.15254325,0.1975874,0.507047,rds_brain,0.39
ENSG00000143882,ATP6V1C2,regulation-driven,0.0,0.1751105,0.1874245,0.1983514,0.560887,rds_brain,0.354
ENSG00000143924,EML4,regulation-driven,0.0,0.077302,0.20054275,0.1980298,0.475875,rds_nc,0.421
ENSG00000144191,CNGA3,regulation-driven,0.0,0.220748,0.1487735,0.0,0.369522,rds_tau,0.597
ENSG00000144278,GALNT13,regulation-driven,0.0,0.17420575,0.24542625,0.0,0.419632,rds_nc,0.585
ENSG00000144320,LNPK,regulation-driven,0.3,0.04111375,0.13811825,0.0,0.479232,rds_doan,0.626
ENSG00000144339,TMEFF2,regulation-driven,0.3,0.19601925,0.220195,0.0,0.716214,rds_doan,0.419
ENSG00000144452,ABCA12,regulation-driven,0.0,0.230398,0.12897075,0.0,0.359369,rds_tau,0.641
ENSG00000144642,RBMS3,regulation-driven,0.0,0.1131885,0.2491455,0.0,0.362334,rds_nc,0.688
ENSG00000144712,CAND2,regulation-driven,0.0,0.177674,0.16063525,0.0,0.338309,rds_tau,0.525
ENSG00000144724,PTPRG,regulation-driven,0.0,0.10102525,0.21763175,0.0,0.318657,rds_nc,0.683
ENSG00000145041,DCAF1,regulation-driven,0.0,0.15907725,0.229242,0.0,0.388319,rds_nc,0.59
ENSG00000145390,USP53,regulation-driven,0.0,0.17013475,0.10600125,0.19798960000000002,0.474125,rds_brain,0.418
ENSG00000145451,GLRA3,regulation-driven,0.0,0.188832,0.2296945,0.1976678,0.616194,rds_nc,0.373
ENSG00000145536,ADAMTS16,regulation-driven,0.0,0.21562125,0.13661025,0.1980298,0.550261,rds_tau,0.392
ENSG00000145692,BHMT,regulation-driven,0.0,0.22466825,0.21079625,0.0,0.435464,rds_tau,0.516
