term,K,k,p,OR,p_bh
Integral Component Of Postsynaptic Density Membrane (GO:0099061) CC,26,15,0.010020688603823593,2.6692719584200675,0.5645111979559947
Integral Component Of Postsynaptic Membrane (GO:0099055) CC,31,16,0.029335780185124036,2.106901612417265,0.5645111979559947
Integral Component Of Presynaptic Membrane (GO:0099056) CC,36,18,0.030910518700697852,1.979788838612368,0.5645111979559947
"Postsynaptic Density, Intracellular Component (GO:0099092) CC",3,3,0.03814264851054018,13.809566517189836,0.5645111979559947
Synaptic Cleft (GO:0043083) CC,3,3,0.03814264851054018,13.809566517189836,0.5645111979559947
Postsynapse Organization (GO:0099173) BP,6,4,0.10341395521255234,3.55100209392761,0.9357563111656527
Ligand-Gated IC Activity Involved In Regulation Of Presynaptic Membrane Potential (GO:0099507) BP,6,4,0.10341395521255234,3.55100209392761,0.9357563111656527
Synapse Adhesion Between Pre- And Post-Synapse (GO:0099560) BP,9,5,0.14994441453411378,2.411154345006485,0.9357563111656527
Regulation Of Synapse Maturation (GO:0090128) BP,7,4,0.17843416820458446,2.535660869193624,0.9357563111656527
Regulation Of Synaptic Vesicle Cycle (GO:0098693) BP,7,4,0.17843416820458446,2.535660869193624,0.9357563111656527
Neuronal Dense Core Vesicle (GO:0098992) CC,7,4,0.17843416820458446,2.535660869193624,0.9357563111656527
Integral Component Of Presynaptic Active Zone Membrane (GO:0099059) CC,12,6,0.18437134966118027,1.9727463312368974,0.9357563111656527
Modulation Of Chemical Synaptic Transmission (GO:0050804) BP,25,11,0.18728856098709967,1.565479951523187,0.9357563111656527
Transmitter-Gated IC Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:1904315) BP,15,7,0.2110444371755576,1.7406441150029086,0.9357563111656527
Regulation Of Postsynaptic Membrane Potential (GO:0060078) BP,5,3,0.2148674295380356,2.760239162929746,0.9357563111656527
Modification Of Postsynaptic Actin Cytoskeleton (GO:0098885) BP,5,3,0.2148674295380356,2.760239162929746,0.9357563111656527
Integral Component Of Postsynaptic Specialization Membrane (GO:0099060) CC,13,6,0.24960495942660568,1.709194369571728,0.9357563111656527
Presynaptic Active Zone Cytoplasmic Component (GO:0098831) CC,3,2,0.2637838871888523,3.285031371377353,0.9357563111656527
Postsynaptic Actin Cytoskeleton (GO:0098871) CC,3,2,0.2637838871888523,3.285031371377353,0.9357563111656527
Presynaptic Membrane (GO:0042734) CC,3,2,0.2637838871888523,3.285031371377353,0.9357563111656527
Regulation Of Synapse Organization (GO:0050807) BP,8,4,0.2655524666821447,1.9715824110080766,0.9357563111656527
Synaptic Vesicle Endocytosis (GO:0048488) BP,6,3,0.32632090386351875,1.971001494768311,1.0
Regulation Of Presynapse Assembly (GO:1905606) BP,9,4,0.3580389084005697,1.612623392162728,1.0
Presynaptic Cytosol (GO:0099523) CC,9,4,0.3580389084005697,1.612623392162728,1.0
Synapse (GO:0045202) CC,64,23,0.39537912596654784,1.1165958842936041,1.0
Postsynaptic Neurotransmitter Receptor Endocytosis (GO:0098884) BP,4,2,0.413485115344369,1.9704212727815955,1.0
Modification Of Postsynaptic Structure (GO:0099010) BP,4,2,0.413485115344369,1.9704212727815955,1.0
Extrinsic Component Of Postsynaptic Membrane (GO:0098890) CC,4,2,0.413485115344369,1.9704212727815955,1.0
Postsynaptic Membrane (GO:0045211) CC,4,2,0.413485115344369,1.9704212727815955,1.0
Presynaptic Active Zone (GO:0048786) CC,4,2,0.413485115344369,1.9704212727815955,1.0
Extrinsic Component Of Synaptic Vesicle Membrane (GO:0098850) CC,7,3,0.4372359556077196,1.5325361235675137,1.0
Regulation Of Postsynapse Assembly (GO:0150052) BP,16,6,0.464799203677334,1.219740726479271,1.0
Presynapse (GO:0098793) CC,50,17,0.5339847233502983,1.028869820328565,1.0
Voltage-Gated IC Activity Involved In Regulation Of Presynaptic Membrane Potential (GO:0099508) BP,5,2,0.5458969058819247,1.4070169448119851,1.0
Anchored Component Of Presynaptic Active Zone Membrane (GO:0099029) CC,5,2,0.5458969058819247,1.4070169448119851,1.0
Postsynapse (GO:0098794) CC,61,20,0.6064802886589331,0.9722866094398737,1.0
Postsynaptic Ribosome CC,9,3,0.6313496192443118,1.0603426468897321,1.0
Synaptic Vesicle (GO:0008021) CC,6,2,0.6556849068911274,1.094014540384424,1.0
Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane (GO:0099645) BP,6,2,0.6556849068911274,1.094014540384424,1.0
Presynaptic Ribosome CC,6,2,0.6556849068911274,1.094014540384424,1.0
Translation At Presynapse (GO:0140236) BP,6,2,0.6556849068911274,1.094014540384424,1.0
Translation At Postsynapse (GO:0140242) BP,6,2,0.6556849068911274,1.094014540384424,1.0
Regulation Of Postsynapse Organization (GO:0099175) BP,13,4,0.6872046395075719,0.9324905143504888,1.0
Neuronal Dense Core Vesicle Lumen (GO:0099013) CC,3,1,0.7083267815503058,1.1815467303672738,1.0
