classification,trait,is_control,class,n_trait_universe,n_class,k_overlap,OR,CI_lo,CI_hi,p_two_sided,q_bh
full,Schizophrenia,False,regulation_driven,257,293,36,2.8269098720002823,1.9447782101252276,4.109167504451868,7.471921478826338e-07,6.724729330943704e-06
full,Schizophrenia,False,gene_driven_strict,257,1214,61,0.962015682248615,0.7162974812859169,1.2920248878033629,0.881444117729709,1.0
full,Schizophrenia,False,gene_driven_all,257,1266,64,0.9697136896192011,0.7254531369454776,1.2962169324874766,0.8832034189394736,1.0
full,ASD,False,regulation_driven,116,293,16,2.6460649819494586,1.5396771621075227,4.54748570740327,0.001127750252316382,0.004511001009265528
full,ASD,False,gene_driven_strict,116,1214,29,1.0331926863572434,0.6752413884141166,1.580897062085035,0.9129040878386724,1.0
full,ASD,False,gene_driven_all,116,1266,29,0.9757477768795473,0.6377892834477649,1.4927872712733574,1.0,1.0
full,Educational attainment,False,regulation_driven,822,293,103,2.987233731059219,2.3203186248586016,3.845836200414837,1.015419275358604e-15,3.655509391290974e-14
full,Educational attainment,False,gene_driven_strict,822,1214,194,0.9485575121768453,0.7956218856939975,1.1308906530673055,0.5938476874313723,1.0
full,Educational attainment,False,gene_driven_all,822,1266,206,0.9754839500122519,0.8209379298370708,1.1591240971413765,0.7927653408747366,1.0
full,Intelligence,False,regulation_driven,180,293,19,1.9467742666727117,1.1916477979681508,3.1804112354683918,0.013979211388510954,0.04575014636239949
full,Intelligence,False,gene_driven_strict,180,1214,42,0.9405698174803383,0.6617296632223614,1.3369078503251566,0.7911611733843004,1.0
full,Intelligence,False,gene_driven_all,180,1266,43,0.9164552882405954,0.6466500151991895,1.2988328703362653,0.6637372495328142,1.0
full,Major depression,False,regulation_driven,154,293,25,3.2916811292375328,2.1079755050680773,5.140080912006877,2.573991445558128e-06,1.5443948673348768e-05
full,Major depression,False,gene_driven_strict,154,1214,24,0.5631544925662573,0.36256679622593413,0.8747160131561814,0.00976875084252949,0.03516750303310616
full,Major depression,False,gene_driven_all,154,1266,28,0.6429725363489499,0.42476524799967724,0.9732756727295069,0.03830954314058875,0.11492862942176625
full,Bipolar disorder,False,regulation_driven,115,293,22,4.004920049200492,2.4767886736338403,6.4758793397402625,6.108719796068543e-07,6.724729330943704e-06
full,Bipolar disorder,False,gene_driven_strict,115,1214,22,0.7277368838854009,0.45517817825537155,1.163502552334809,0.22634782004318207,0.543234768103637
full,Bipolar disorder,False,gene_driven_all,115,1266,23,0.7272727272727273,0.4584504005502385,1.1537248504961213,0.19420384115287204,0.499381305821671
full,Neuroticism,False,regulation_driven,122,293,21,3.5010192195690157,2.153999938143472,5.690406651708653,6.550659537947252e-06,2.9477967920762633e-05
full,Neuroticism,False,gene_driven_strict,122,1214,28,0.9207419898819561,0.6007322246595862,1.4112208021006085,0.7499696247228425,1.0
full,Neuroticism,False,gene_driven_all,122,1266,29,0.9112838031658278,0.5976584243862553,1.3894862617642596,0.7523732135918808,1.0
full,Cognitive performance,False,regulation_driven,149,293,24,3.251866171003717,2.06564157428786,5.119297425916708,4.7443283753684345e-06,2.4399403073323377e-05
full,Cognitive performance,False,gene_driven_strict,149,1214,37,1.0239106687704818,0.7020236120800722,1.4933871732827648,0.9228754668523727,1.0
full,Cognitive performance,False,gene_driven_all,149,1266,38,1.0027731314376265,0.6898625491403932,1.4576149326937649,1.0,1.0
full,Height,True,regulation_driven,2191,293,183,2.2145916334661355,1.7360653719413561,2.825018102592438,8.279337022322514e-11,1.4902806640180526e-09
full,Height,True,gene_driven_strict,2191,1214,534,0.9966647733323867,0.8748691629092147,1.1354162570989792,0.9734834070832035,1.0
full,Height,True,gene_driven_all,2191,1266,557,0.9971618619152598,0.8768960341694333,1.1339220843895201,0.9738553058200694,1.0
full,LDL cholesterol,True,regulation_driven,256,293,22,1.5427823509004321,0.9798389094051494,2.4291517303541728,0.07444278220272796,0.20614924302293897
full,LDL cholesterol,True,gene_driven_strict,256,1214,66,1.0802310654685494,0.8100516050065326,1.440524464850492,0.6012753365690962,1.0
full,LDL cholesterol,True,gene_driven_all,256,1266,71,1.1314395567115232,0.8539399557381578,1.499116491609745,0.37783721726433467,0.7543224527071491
full,Crohn disease,True,regulation_driven,95,293,3,0.5160044977511244,0.16240595509558173,1.639475852610739,0.37511166321024814,0.7543224527071491
full,Crohn disease,True,gene_driven_strict,95,1214,27,1.2349967788294762,0.7869857607514842,1.9380490979439946,0.39811462781766205,0.7543224527071491
full,Crohn disease,True,gene_driven_all,95,1266,29,1.2936723745131182,0.8320051354852093,2.0115118779914805,0.2838902540798429,0.6387530716796466
full,Type 2 diabetes,True,regulation_driven,561,293,60,2.1484927141425305,1.5940348017263017,2.895809387426483,2.28146653346122e-06,1.5443948673348768e-05
full,Type 2 diabetes,True,gene_driven_strict,561,1214,141,1.0450006656903208,0.8531932029900694,1.2799286110884829,0.6764589608872333,1.0
