trait,class,K_universe,n_class,k_overlap,expected,OR,p,q_bh
Educational attainment,regulation_driven,822,293,103,48.4,2.987,8.683759842761343e-16,2.7788031496836297e-14
Bipolar disorder,regulation_driven,115,293,22,6.8,4.005,6.108719796068543e-07,6.807931816009771e-06
Schizophrenia,regulation_driven,257,293,36,15.1,2.827,6.382436077509161e-07,6.807931816009771e-06
Major depression,regulation_driven,154,293,25,9.1,3.292,2.573991445558128e-06,2.0591931564465023e-05
Cognitive performance,regulation_driven,149,293,24,8.8,3.252,4.7443283753684345e-06,3.036370160235798e-05
Neuroticism,regulation_driven,122,293,21,7.2,3.501,6.550659537947252e-06,3.493685086905201e-05
ASD,regulation_driven,116,293,16,6.8,2.646,0.001127750252316382,0.00515542972487489
Intelligence,regulation_driven,180,293,19,10.6,1.947,0.009004042743582581,0.036016170974330325
Educational attainment,dual_driven,822,11,4,1.8,2.896,0.09295661164478572,0.3305123969592381
Bipolar disorder,dual_driven,115,11,1,0.3,4.254,0.2270729947139114,0.6379895252928944
ASD,dual_driven,116,11,1,0.3,4.216,0.22882277801462078,0.6379895252928944
Neuroticism,dual_driven,122,11,1,0.3,4.002,0.2392460719848354,0.6379895252928944
Major depression,dual_driven,154,11,1,0.3,3.144,0.29270566608535914,0.7205062549793456
Intelligence,dual_driven,180,11,1,0.4,2.673,0.33360125704462795,0.7625171589591496
Schizophrenia,dual_driven,257,11,1,0.6,1.839,0.4424304770574768,0.8719450752608803
ASD,gene_driven,116,1214,29,28.3,1.033,0.47650511019672936,0.8719450752608803
Cognitive performance,gene_driven,149,1214,37,36.4,1.024,0.4834667813792192,0.8719450752608803
Cognitive performance,gene_driven_all,149,1266,38,37.9,1.003,0.5264107486879537,0.8719450752608803
ASD,gene_driven_all,116,1266,29,29.5,0.976,0.5811019378972169,0.8719450752608803
Schizophrenia,gene_driven_all,257,1266,64,65.4,0.97,0.6068709945077326,0.8719450752608803
Educational attainment,gene_driven_all,822,1266,206,209.2,0.975,0.6261034422454649,0.8719450752608803
Schizophrenia,gene_driven,257,1214,61,62.7,0.962,0.6261281942977646,0.8719450752608803
Intelligence,gene_driven,180,1214,42,43.9,0.941,0.6621296830974062,0.8719450752608803
Neuroticism,gene_driven,122,1214,28,29.8,0.921,0.6815976959184957,0.8719450752608803
Neuroticism,gene_driven_all,122,1266,29,31.1,0.911,0.7001983723233348,0.8719450752608803
Intelligence,gene_driven_all,180,1266,43,45.8,0.916,0.7151853298058141,0.8719450752608803
Educational attainment,gene_driven,822,1214,194,200.6,0.949,0.7357036572513678,0.8719450752608803
Bipolar disorder,gene_driven,115,1214,22,28.1,0.728,0.9285949266865752,1.0
Bipolar disorder,gene_driven_all,115,1266,23,29.3,0.727,0.9317886976225285,1.0
Major depression,gene_driven_all,154,1266,28,39.2,0.643,0.988236247170996,1.0
Major depression,gene_driven,154,1214,24,37.6,0.563,0.9974758174502576,1.0
Cognitive performance,dual_driven,149,11,0,0.3,0.0,1.0,1.0
