classification,trait,is_control,class,K_universe,n_class,k_overlap,expected,OR,p,q_bh
full_v7,Educational attainment,False,regulation_driven,822,293,103,48.4,2.987,8.683759842761343e-16,4.168204724525445e-14
full_v7,Height,True,regulation_driven,2191,293,183,129.1,2.215,5.154673847080334e-11,1.2371217232992802e-09
full_v7,Bipolar disorder,False,regulation_driven,115,293,22,6.8,4.005,6.108719796068543e-07,7.658923293010992e-06
full_v7,Schizophrenia,False,regulation_driven,257,293,36,15.1,2.827,6.382436077509161e-07,7.658923293010992e-06
full_v7,Type 2 diabetes,True,regulation_driven,561,293,60,33.0,2.148,1.724951008630618e-06,1.6559529682853932e-05
full_v7,Major depression,False,regulation_driven,154,293,25,9.1,3.292,2.573991445558128e-06,2.0591931564465023e-05
full_v7,Cognitive performance,False,regulation_driven,149,293,24,8.8,3.252,4.7443283753684345e-06,3.2532537431097834e-05
full_v7,Neuroticism,False,regulation_driven,122,293,21,7.2,3.501,6.550659537947252e-06,3.930395722768351e-05
full_v7,ASD,False,regulation_driven,116,293,16,6.8,2.646,0.001127750252316382,0.006014668012354038
full_v7,Intelligence,False,regulation_driven,180,293,19,10.6,1.947,0.009004042743582581,0.04321940516919639
full_v7,LDL cholesterol,True,regulation_driven,256,293,22,15.1,1.543,0.04555838777243093,0.19880023755242587
full_v7,Educational attainment,False,dual_driven,822,11,4,1.8,2.896,0.09295661164478572,0.3718264465791428
full_v7,Crohn disease,True,gene_driven_all,95,1266,29,24.2,1.294,0.15220209302651788,0.5394027595731848
full_v7,Height,True,dual_driven,2191,11,7,4.8,2.227,0.15732580487551223,0.5394027595731848
full_v7,Crohn disease,True,gene_driven,95,1214,27,23.2,1.235,0.21004049386793827,0.6044111292248474
full_v7,LDL cholesterol,True,gene_driven_all,256,1266,71,65.2,1.131,0.21444481107395136,0.6044111292248474
full_v7,Bipolar disorder,False,dual_driven,115,11,1,0.3,4.254,0.2270729947139114,0.6044111292248474
full_v7,ASD,False,dual_driven,116,11,1,0.3,4.216,0.22882277801462078,0.6044111292248474
full_v7,Neuroticism,False,dual_driven,122,11,1,0.3,4.002,0.2392460719848354,0.6044111292248474
full_v7,Major depression,False,dual_driven,154,11,1,0.3,3.144,0.29270566608535914,0.7024935986048619
full_v7,LDL cholesterol,True,gene_driven,256,1214,66,62.5,1.08,0.32278199202629027,0.7140655402874257
full_v7,Intelligence,False,dual_driven,180,11,1,0.4,2.673,0.33360125704462795,0.7140655402874257
full_v7,Type 2 diabetes,True,gene_driven,561,1214,141,136.9,1.045,0.3522776189223056,0.7140655402874257
full_v7,Type 2 diabetes,True,dual_driven,561,11,2,1.2,1.751,0.35703277014371293,0.7140655402874257
full_v7,Type 2 diabetes,True,gene_driven_all,561,1266,146,142.8,1.034,0.387792754946075,0.744562089496464
full_v7,LDL cholesterol,True,dual_driven,256,11,1,0.6,1.846,0.44112746776230627,0.7865430703244032
full_v7,Schizophrenia,False,dual_driven,257,11,1,0.6,1.839,0.4424304770574768,0.7865430703244032
full_v7,ASD,False,gene_driven,116,1214,29,28.3,1.033,0.47650511019672936,0.7994980127788192
full_v7,Cognitive performance,False,gene_driven,149,1214,37,36.4,1.024,0.4834667813792192,0.7994980127788192
full_v7,Cognitive performance,False,gene_driven_all,149,1266,38,37.9,1.003,0.5264107486879537,0.7994980127788192
full_v7,Height,True,gene_driven_all,2191,1266,557,557.7,0.997,0.5300872379588286,0.7994980127788192
full_v7,Height,True,gene_driven,2191,1214,534,534.8,0.997,0.5329986751858794,0.7994980127788192
full_v7,ASD,False,gene_driven_all,116,1266,29,29.5,0.976,0.5811019378972169,0.8348375923970194
full_v7,Schizophrenia,False,gene_driven_all,257,1266,64,65.4,0.97,0.6068709945077326,0.8348375923970194
full_v7,Educational attainment,False,gene_driven_all,822,1266,206,209.2,0.975,0.6261034422454649,0.8348375923970194
full_v7,Schizophrenia,False,gene_driven,257,1214,61,62.7,0.962,0.6261281942977646,0.8348375923970194
full_v7,Intelligence,False,gene_driven,180,1214,42,43.9,0.941,0.6621296830974062,0.8582223957669768
full_v7,Neuroticism,False,gene_driven,122,1214,28,29.8,0.921,0.6815976959184957,0.8582223957669768
full_v7,Neuroticism,False,gene_driven_all,122,1266,29,31.1,0.911,0.7001983723233348,0.8582223957669768
full_v7,Intelligence,False,gene_driven_all,180,1266,43,45.8,0.916,0.7151853298058141,0.8582223957669768
full_v7,Educational attainment,False,gene_driven,822,1214,194,200.6,0.949,0.7357036572513678,0.8613115987333085
