k_pct,n_pos,RD_mean,RD_sd,GD_mean,GD_sd,dual_mean
0,0,261.0,0.0,1280.0,0.0,1.0
10,10,264.38,1.5797468151574163,1278.44,1.1774548823628022,1.99
20,19,267.7,1.94164878389476,1277.34,1.290116273829611,2.89
30,29,270.62,2.1437350582569668,1275.86,1.6614451540752104,3.85
40,39,274.14,2.486041029428115,1274.27,1.690295832095672,4.96
50,48,276.9,1.982422760159901,1273.11,1.7714118662806795,5.72
60,58,279.8,2.1166010488516727,1271.38,1.7422973339817747,7.2
70,68,283.46,2.1560148422494687,1270.27,1.642284993537967,7.93
80,78,286.7,1.862793601019716,1268.57,1.4577722730248373,8.94
90,87,289.52,1.459314907756376,1267.31,1.0265963179361204,10.0
100,97,293.0,0.0,1266.0,0.0,11.0
