gene_id,gene_symbol,classification_v7,stability
ENSG00000000460,FIRRM,neutral,1.0
ENSG00000000971,CFH,neutral,0.999
ENSG00000001084,GCLC,neutral,0.742
ENSG00000001167,NFYA,neutral,0.989
ENSG00000001561,ENPP4,neutral,1.0
ENSG00000002745,WNT16,neutral,1.0
ENSG00000002822,MAD1L1,neutral,0.597
ENSG00000003056,M6PR,gene-driven,1.0
ENSG00000003400,CASP10,neutral,1.0
ENSG00000003436,TFPI,gene-driven,0.62
ENSG00000003987,MTMR7,gene-driven,1.0
ENSG00000003989,SLC7A2,regulation-driven,1.0
ENSG00000004059,ARF5,neutral,1.0
ENSG00000004142,POLDIP2,neutral,1.0
ENSG00000004455,AK2,neutral,1.0
ENSG00000004700,RECQL,gene-driven,1.0
ENSG00000004799,PDK4,regulation-driven,0.563
ENSG00000004846,ABCB5,neutral,0.963
ENSG00000004866,ST7,regulation-driven,0.749
ENSG00000004948,CALCR,neutral,0.838
ENSG00000005001,PRSS22,gene-driven,1.0
ENSG00000005108,THSD7A,regulation-driven,0.75
ENSG00000005156,LIG3,neutral,1.0
ENSG00000005238,ATOSB,gene-driven,1.0
ENSG00000005249,PRKAR2B,neutral,0.994
ENSG00000005448,WDR54,neutral,1.0
ENSG00000005469,CROT,neutral,0.937
ENSG00000005486,RHBDD2,gene-driven,0.996
ENSG00000005700,IBTK,neutral,0.956
ENSG00000005812,FBXL3,neutral,1.0
ENSG00000005981,ASB4,neutral,0.999
ENSG00000006042,TMEM98,gene-driven,0.986
ENSG00000006128,TAC1,neutral,1.0
ENSG00000006194,ZNF263,neutral,1.0
ENSG00000006377,DLX6,gene-driven,0.993
ENSG00000006432,MAP3K9,regulation-driven,0.711
ENSG00000006453,BAIAP2L1,neutral,0.587
ENSG00000006530,AGK,gene-driven,1.0
ENSG00000006555,TTC22,neutral,1.0
ENSG00000006715,VPS41,dual-driven,0.599
ENSG00000006831,ADIPOR2,neutral,1.0
ENSG00000007171,NOS2,gene-driven,1.0
ENSG00000007216,SLC13A2,gene-driven,1.0
ENSG00000007341,ST7L,gene-driven,0.98
ENSG00000007402,CACNA2D2,neutral,0.955
ENSG00000007866,TEAD3,gene-driven,1.0
ENSG00000007908,SELE,neutral,0.963
ENSG00000007944,MYLIP,gene-driven,1.0
ENSG00000007968,E2F2,neutral,1.0
ENSG00000008018,PSMB1,neutral,1.0
ENSG00000008083,JARID2,regulation-driven,0.904
ENSG00000008118,CAMK1G,regulation-driven,1.0
