score,component,perturbation,agreement_with_baseline,gene-driven,gene-driven (relaxed),regulation-driven,dual-driven,neutral
GDS,P-value (resid.),+50%,0.986529955770004,1205,54,320,8,3387
GDS,P-value (resid.),-50%,0.9776839565741857,1234,48,270,13,3409
GDS,LRT (resid.),+50%,0.9756735022114998,1279,65,330,11,3289
GDS,LRT (resid.),-50%,0.974065138721351,1138,39,257,9,3531
GDS,RELAX K,+50%,0.9732609569762767,1224,45,216,12,3477
GDS,RELAX K,-50%,0.9559710494571774,1208,61,446,8,3251
GDS,Selectome,+50%,0.975070365902694,1153,48,349,10,3414
GDS,Selectome,-50%,0.9766787293928428,1276,60,253,11,3374
RDS,caMPRA,+50%,0.9575794129473261,1285,60,186,12,3431
RDS,caMPRA,-50%,0.9312424607961399,1135,43,515,9,3272
RDS,tau,+50%,0.9611982308001609,1174,51,418,14,3317
RDS,tau,-50%,0.9620024125452352,1282,55,203,9,3425
RDS,nc-conservation,+50%,0.9497386409328509,1159,44,463,12,3296
RDS,nc-conservation,-50%,0.9527543224768797,1292,64,174,11,3433
RDS,brain tau,+50%,0.9712505026135907,1263,60,223,7,3421
RDS,brain tau,-50%,0.9567752312022517,1160,48,431,14,3321
