region,n_samples,n_genes_expressed,n_high_expr,gd_OR,gd_p,gd_n_high,rd_OR,rd_p,rd_n_high,gd_fdr,rd_fdr
A1C,31,4936,1234,1.154189911499255,0.03592784273429024,296,1.2229029217719134,0.02164114839492842,173,0.05879101538338403,0.07560731376543606
AMY,33,4936,1234,1.2036984061013984,0.009487285575020436,303,1.0705337567872144,0.25948486369559026,159,0.05879101538338403,0.25948486369559026
CBC,29,4936,1234,1.1611659219081432,0.03018040545315604,297,1.1234186041671004,0.12738179554929452,164,0.05879101538338403,0.15285815465915345
DFC,35,4936,1234,1.1403330249768733,0.05012151832260884,294,1.2229029217719134,0.02164114839492842,173,0.06444195212906852,0.07560731376543606
DTH,5,4936,1234,1.1062381605591483,0.10527085996268842,289,1.1127087872185912,0.14910052784768188,163,0.10527085996268842,0.15787114713283962
HIP,32,4936,1234,1.1403330249768733,0.05012151832260884,294,1.1341958439128692,0.1079879145449147,165,0.06444195212906852,0.13884160441489032
IPC,33,4936,1234,1.1129952232301858,0.09168015631454031,290,1.1891113223238683,0.04200406320302003,170,0.09707310668598386,0.07560731376543606
ITC,34,4936,1234,1.154189911499255,0.03592784273429024,296,1.2229029217719134,0.02164114839492842,173,0.05879101538338403,0.07560731376543606
M1C,26,4936,1234,1.1752139037433156,0.02096243969793963,299,1.2343103966991877,0.017067795578685437,174,0.05879101538338403,0.07560731376543606
M1C-S1C,5,4936,1234,1.147245667297167,0.04254617028613256,295,1.1127087872185912,0.14910052784768188,163,0.06381925542919885,0.15787114713283962
MD,24,4936,1234,1.1681738638667478,0.02521923231460893,298,1.1341958439128692,0.1079879145449147,165,0.05879101538338403,0.13884160441489032
MFC,32,4936,1234,1.1334518212239237,0.05874005156979461,293,1.200303929372603,0.03394864151994561,171,0.07048806188375353,0.07560731376543606
OFC,31,4936,1234,1.1266018937271276,0.06848628151681108,292,1.2229029217719134,0.02164114839492842,173,0.07704706670641245,0.07560731376543606
S1C,26,4936,1234,1.154189911499255,0.03592784273429024,296,1.200303929372603,0.03394864151994561,171,0.05879101538338403,0.07560731376543606
STC,36,4936,1234,1.1752139037433156,0.02096243969793963,299,1.1891113223238683,0.04200406320302003,170,0.05879101538338403,0.07560731376543606
STR,28,4936,1234,1.189390947894925,0.014253968059330614,301,1.145041014168531,0.09083448059864609,166,0.05879101538338403,0.13625172089796914
V1C,33,4936,1234,1.1752139037433156,0.02096243969793963,299,1.1779892568624963,0.05155230855924899,169,0.05879101538338403,0.08435832309695289
VFC,35,4936,1234,1.1611659219081432,0.03018040545315604,297,1.2115676151188661,0.02721597858908813,172,0.05879101538338403,0.07560731376543606
