stage,n_samples,n_genes_expressed,n_high_expr,gd_OR,gd_p,gd_n_high,rd_OR,rd_p,rd_n_high,gd_fdr,rd_fdr
8 pcw,16,4936,1153,1.1320081359671803,0.0651175869332405,274,1.0628320761782486,0.28874432325440325,148,0.11874383499590915,0.3086577248581552
9 pcw,14,4936,1151,1.1643889705092412,0.030784221322559233,278,1.0764914137242756,0.24704455603072925,149,0.10603454011103736,0.3086577248581552
12 pcw,45,4936,1179,1.0762669496553077,0.18808916545829096,272,1.124864816149964,0.12836711627778566,157,0.2159542270076674,0.28148763472545174
13 pcw,44,4936,1207,1.1492684042066759,0.04165830336462284,289,1.0963785499533831,0.18896117774005777,158,0.10999157682305502,0.3083050794706206
16 pcw,39,4936,1188,1.1810983397190293,0.019097230140553555,289,1.0795438742873036,0.23562397886733064,154,0.09866902239286003,0.3086577248581552
17 pcw,14,4936,1161,1.1473674481993756,0.045726299720214865,278,1.1398935301610111,0.10340453056028699,156,0.10999157682305502,0.2800147094865381
19 pcw,11,4936,1166,1.2121709186611203,0.008376042228730823,288,1.0666272682437374,0.27590266419378057,150,0.08655243636355182,0.3086577248581552
21 pcw,16,4936,1160,1.1418494239666257,0.05196342958221268,277,1.0748882663644335,0.2511351570858505,150,0.10999157682305502,0.3086577248581552
24 pcw,16,4936,1166,1.1390004499017898,0.05509906917423941,278,1.15509768009768,0.080899601497371,158,0.10999157682305502,0.261970975836577
25 pcw,1,0,0,1.0,1.0,,1.0,1.0,,1.0,1.0
26 pcw,3,4936,1108,1.1956052602650962,0.014742586628424186,272,1.1391580669519255,0.1083927907689825,149,0.09140403709622995,0.2800147094865381
35 pcw,2,0,0,1.0,1.0,,1.0,1.0,,1.0,1.0
37 pcw,16,4936,1169,1.0645104850740787,0.22839119232731425,268,1.2314692124359703,0.019808082783902392,165,0.24414230903954282,0.261970975836577
4 mos,33,4936,1189,1.1155303564544488,0.08971212641167196,280,1.1773987437730127,0.05426273519254631,163,0.14429724370459546,0.261970975836577
10 mos,10,4936,1158,1.1380134070639192,0.056769846102221945,276,1.0886005751944183,0.2126377944134342,151,0.10999157682305502,0.3086577248581552
1 yrs,16,4936,1211,1.0878158109209455,0.15162171815006895,281,1.2587121212121213,0.010421758605102662,173,0.1880109305060855,0.261970975836577
2 yrs,12,4936,1136,1.1981984802345107,0.013090833638116615,279,1.0645339908723206,0.28444089797742644,146,0.09140403709622995,0.3086577248581552
3 yrs,25,4936,1180,1.1657721713587634,0.02867135356276815,285,1.1124093955142231,0.15351077105478816,156,0.10603454011103736,0.28148763472545174
4 yrs,7,4936,1136,1.0958764561255703,0.13601303625688058,265,1.1893939393939394,0.046187140210446585,157,0.18727918824709303,0.261970975836577
8 yrs,27,4936,1215,1.1362570994320453,0.05602544343496619,289,1.1068076959291924,0.1634444330663913,160,0.10999157682305502,0.28148763472545174
11 yrs,14,4936,1178,1.1691672329970202,0.02638533823387508,285,1.1598728407430057,0.07406509267317213,160,0.10603454011103736,0.261970975836577
13 yrs,16,4936,1173,1.1274437087895264,0.07064770630320698,278,1.0894565217391305,0.20926376429563914,153,0.12167104974441201,0.3086577248581552
15 yrs,5,4936,1123,1.0745273919753087,0.1978874512573564,259,1.19810191460426,0.040032840342848194,156,0.21908967817778743,0.261970975836577
18 yrs,13,4936,1155,1.2168714092204214,0.0074678453978349255,286,1.126194067370538,0.12758955486194898,154,0.08655243636355182,0.28148763472545174
19 yrs,16,4936,1161,1.0769361378713702,0.18731697258941366,268,1.2088452088452089,0.03129819895289697,162,0.2159542270076674,0.261970975836577
21 yrs,16,4936,1156,1.0917700112739572,0.14499033928807203,269,1.1586893911455316,0.07687322077734637,157,0.18727918824709303,0.261970975836577
23 yrs,14,4936,1171,1.2638320583526064,0.0016758132580014509,296,1.1142140597599972,0.15030878890785362,155,0.05195021099804498,0.28148763472545174
30 yrs,16,4936,1160,1.0923544001843293,0.14316267985422565,270,1.1526954225044166,0.0845067663988958,157,0.18727918824709303,0.261970975836577
36 yrs,16,4936,1175,1.0962580297985403,0.13215961204269208,274,1.1085174244370237,0.1624349595345765,155,0.18727918824709303,0.28148763472545174
37 yrs,16,4936,1168,1.114452755520282,0.0930949959384487,275,1.085538114677097,0.2201983619058704,152,0.14429724370459546,0.3086577248581552
40 yrs,15,4936,1164,1.1495245969408847,0.04334025725468714,279,1.0693700716960395,0.2675224107746978,150,0.10999157682305502,0.3086577248581552
