gene_id,gene_symbol,classification_loo_brain,dev_tau,n_stages
ENSG00000000460,FIRRM,neutral,0.6445227178256334,31
ENSG00000000971,CFH,neutral,0.3508582285515566,31
ENSG00000001084,GCLC,regulation-driven,0.7763597289452191,31
ENSG00000001167,NFYA,neutral,0.5298377599399757,31
ENSG00000001561,ENPP4,neutral,0.6459234856757743,31
ENSG00000002745,WNT16,neutral,0.469599076034513,31
ENSG00000002822,MAD1L1,neutral,0.409836597882683,31
ENSG00000003056,M6PR,gene-driven,0.6051221661614152,31
ENSG00000003400,CASP10,neutral,0.4747783530075623,31
ENSG00000003436,TFPI,neutral,0.3250344816605506,31
ENSG00000003987,MTMR7,gene-driven,0.7492961256151544,31
ENSG00000003989,SLC7A2,regulation-driven,0.46187076693115225,31
ENSG00000004059,ARF5,neutral,0.450780079099271,31
ENSG00000004142,POLDIP2,neutral,0.6321146826496908,31
ENSG00000004455,AK2,neutral,0.6969865595648347,31
ENSG00000004700,RECQL,gene-driven,0.39760702253767344,31
ENSG00000004799,PDK4,neutral,0.8609529697744248,31
ENSG00000004846,ABCB5,neutral,0.723820289814251,31
ENSG00000004866,ST7,regulation-driven,0.519245188963501,31
ENSG00000004948,CALCR,neutral,0.533089645971824,31
ENSG00000005001,PRSS22,gene-driven,0.3208237880287186,31
ENSG00000005108,THSD7A,regulation-driven,0.6766750133469144,31
ENSG00000005156,LIG3,neutral,0.49778504813638136,31
ENSG00000005238,ATOSB,gene-driven,0.6492414959559758,31
ENSG00000005249,PRKAR2B,neutral,0.31601964809068317,31
ENSG00000005448,WDR54,neutral,0.2760040088468202,31
ENSG00000005469,CROT,neutral,0.6719924975819719,31
ENSG00000005486,RHBDD2,gene-driven,0.5631472743017398,31
ENSG00000005700,IBTK,neutral,0.6162166725624072,31
ENSG00000005812,FBXL3,neutral,0.6840828779598246,31
ENSG00000005981,ASB4,neutral,0.3828958438188834,31
ENSG00000006042,TMEM98,gene-driven,0.6207537525480972,31
ENSG00000006128,TAC1,neutral,0.31435553414471595,31
ENSG00000006194,ZNF263,neutral,0.7255952594410129,31
ENSG00000006377,DLX6,gene-driven,0.5664968133393763,31
ENSG00000006432,MAP3K9,regulation-driven,0.5259258370292812,31
ENSG00000006453,BAIAP2L1,neutral,0.43942792794625873,31
ENSG00000006530,AGK,gene-driven,0.669748496642149,31
