gene_id,gene_symbol,classification_v7,classification_loo_campra,has_active_har
ENSG00000002822,MAD1L1,neutral,neutral,Y
ENSG00000005108,THSD7A,regulation-driven,regulation-driven,N
ENSG00000005249,PRKAR2B,neutral,neutral,N
ENSG00000006377,DLX6,gene-driven,gene-driven,N
ENSG00000006715,VPS41,dual-driven,neutral,Y
ENSG00000007944,MYLIP,gene-driven,gene-driven,N
ENSG00000008118,CAMK1G,regulation-driven,regulation-driven,Y
ENSG00000009790,TRAF3IP3,gene-driven,neutral,N
ENSG00000014164,ZC3H3,gene-driven,gene-driven,N
ENSG00000017427,IGF1,gene-driven,gene-driven,N
ENSG00000023697,DERA,gene-driven,gene-driven,N
ENSG00000030419,IKZF2,gene-driven,gene-driven,N
ENSG00000040487,SLC66A1,regulation-driven,neutral,Y
ENSG00000040731,CDH10,regulation-driven,regulation-driven,Y
ENSG00000043039,BARX2,neutral,neutral,N
ENSG00000044524,EPHA3,regulation-driven,regulation-driven,N
ENSG00000048740,CELF2,gene-driven,gene-driven,N
ENSG00000053108,FSTL4,regulation-driven,regulation-driven,N
ENSG00000053328,METTL24,neutral,neutral,N
ENSG00000053918,KCNQ1,regulation-driven,regulation-driven,N
ENSG00000055813,CCDC85A,neutral,regulation-driven,N
ENSG00000058063,ATP11B,regulation-driven,regulation-driven,N
ENSG00000058091,CDK14,neutral,regulation-driven,N
ENSG00000058866,DGKG,regulation-driven,regulation-driven,N
ENSG00000064999,ANKS1A,neutral,gene-driven (relaxed),Y
ENSG00000065518,NDUFB4,neutral,neutral,N
ENSG00000065548,ZC3H15,neutral,neutral,N
ENSG00000067113,PLPP1,gene-driven,gene-driven,N
ENSG00000067533,RRP15,neutral,neutral,N
ENSG00000069869,,neutral,neutral,N
ENSG00000074771,NOX3,neutral,neutral,N
ENSG00000075884,ARHGAP15,neutral,regulation-driven,N
ENSG00000077092,RARB,regulation-driven,regulation-driven,Y
ENSG00000077152,UBE2T,neutral,neutral,N
ENSG00000077498,TYR,regulation-driven,neutral,Y
ENSG00000080298,RFX3,gene-driven,gene-driven,N
ENSG00000082497,SERTAD4,neutral,neutral,Y
ENSG00000083937,CHMP2B,gene-driven,gene-driven,N
ENSG00000084093,REST,gene-driven,gene-driven,Y
ENSG00000084710,EFR3B,regulation-driven,regulation-driven,N
ENSG00000086300,SNX10,neutral,neutral,N
ENSG00000087116,ADAMTS2,neutral,neutral,N
ENSG00000089225,TBX5,regulation-driven,regulation-driven,Y
ENSG00000089902,RCOR1,gene-driven,neutral,N
ENSG00000090273,NUDC,gene-driven,gene-driven,N
ENSG00000091656,,regulation-driven,regulation-driven,N
ENSG00000091831,ESR1,gene-driven,gene-driven,N
ENSG00000091879,ANGPT2,gene-driven,neutral,N
ENSG00000092871,RFFL,gene-driven,gene-driven,N
ENSG00000092978,GPATCH2,neutral,regulation-driven,N
ENSG00000095585,BLNK,neutral,neutral,N
ENSG00000096060,FKBP5,gene-driven,neutral,N
ENSG00000096395,MLN,neutral,gene-driven,Y
ENSG00000100647,SUSD6,neutral,neutral,N
ENSG00000100842,EFS,neutral,neutral,N
ENSG00000102466,FGF14,neutral,regulation-driven,N
ENSG00000102580,DNAJC3,neutral,neutral,N
ENSG00000104313,EYA1,neutral,neutral,N
ENSG00000105855,ITGB8,neutral,regulation-driven,N
ENSG00000105954,NPVF,neutral,neutral,Y
ENSG00000105991,HOXA1,neutral,neutral,N
ENSG00000106049,HIBADH,neutral,neutral,N
ENSG00000106331,PAX4,neutral,neutral,N
ENSG00000106436,MYL10,gene-driven,neutral,N
ENSG00000106511,MEOX2,neutral,neutral,N
ENSG00000106536,POU6F2,neutral,neutral,Y
ENSG00000106571,,gene-driven,gene-driven,N
ENSG00000106780,MEGF9,neutral,neutral,N
ENSG00000107951,MTPAP,neutral,neutral,Y
ENSG00000108001,EBF3,regulation-driven,regulation-driven,N
ENSG00000108018,SORCS1,neutral,neutral,N
ENSG00000108684,ASIC2,neutral,regulation-driven,N
ENSG00000109189,USP46,dual-driven,neutral,Y
ENSG00000109674,NEIL3,neutral,neutral,N
ENSG00000109906,ZBTB16,gene-driven,gene-driven,N
ENSG00000109911,ELP4,neutral,neutral,N
ENSG00000110400,NECTIN1,regulation-driven,regulation-driven,Y
ENSG00000110693,SOX6,neutral,neutral,N
ENSG00000110848,CD69,neutral,neutral,Y
ENSG00000111218,PRMT8,regulation-driven,regulation-driven,N
ENSG00000111269,CREBL2,neutral,neutral,N
ENSG00000111405,ENDOU,neutral,neutral,Y
ENSG00000111775,COX6A1,neutral,neutral,N
ENSG00000111962,UST,neutral,neutral,N
ENSG00000112029,FBXO5,neutral,neutral,N
ENSG00000112238,PRDM13,neutral,neutral,N
ENSG00000112246,SIM1,regulation-driven,regulation-driven,N
ENSG00000112319,EYA4,neutral,neutral,N
ENSG00000112320,SOBP,regulation-driven,neutral,Y
ENSG00000112425,EPM2A,neutral,neutral,N
ENSG00000112699,GMDS,neutral,regulation-driven,N
ENSG00000112782,CLIC5,regulation-driven,regulation-driven,Y
ENSG00000113492,AGXT2,gene-driven,gene-driven,N
ENSG00000113749,HRH2,regulation-driven,neutral,Y
ENSG00000114547,ROPN1B,neutral,gene-driven,Y
ENSG00000114933,INO80D,neutral,neutral,N
ENSG00000115368,WDR75,regulation-driven,neutral,Y
ENSG00000115457,IGFBP2,neutral,neutral,N
ENSG00000115665,SLC5A7,dual-driven,neutral,Y
ENSG00000115806,GORASP2,gene-driven,gene-driven,N
ENSG00000116117,PARD3B,regulation-driven,regulation-driven,Y
ENSG00000116132,PRRX1,neutral,neutral,N
ENSG00000116266,STXBP3,regulation-driven,neutral,Y
ENSG00000116285,ERRFI1,neutral,neutral,N
ENSG00000116874,WARS2,neutral,neutral,N
ENSG00000117385,P3H1,neutral,neutral,N
ENSG00000117543,DPH5,gene-driven,gene-driven,N
ENSG00000117707,PROX1,gene-driven,gene-driven,N
ENSG00000118491,ZC2HC1B,neutral,neutral,Y
ENSG00000119446,RBM18,neutral,neutral,N
