cell_type,cell_class,n_genes,n_high_expr,gd_OR,gd_p,gd_n_high,rd_OR,rd_p,rd_n_high,gd_fdr,rd_fdr
Bergmann glia,Glial cells,4963,1071,1.3006166589967787,0.000675492156531078,276,1.8335505887667602,3.2633860269926446e-10,194,0.006103308503267453,3.8260387902672385e-10
CGE interneuron,Neuronal cells,4963,1136,1.1620262954369682,0.033315611005825634,274,2.8046943861406857,9.397784986250702e-29,255,0.053152758613678366,2.6627057461043655e-28
LAMP5-LHX6 and Chandelier,Neuronal cells,4963,1118,1.2092288975146284,0.010015440866067067,276,2.7854766866122467,3.501985890763649e-28,251,0.02837708245385669,8.504822877568862e-28
MGE interneuron,Neuronal cells,4963,1128,1.1611242174031395,0.03439296145590953,272,2.9546611663033118,1.2795743090117003e-31,260,0.053152758613678366,4.350552650639781e-31
amygdala excitatory,Neuronal cells,4963,1141,1.1029403240097937,0.11899947969937713,267,3.4347506304286917,3.2892567329877533e-41,281,0.13252062414289867,1.1183472892158362e-39
astrocyte,Glial cells,4963,1149,1.1254165236740432,0.07538564664940905,272,2.435696652775197,1.2061118983226007e-21,240,0.0949300735585151,1.7086585226236845e-21
central nervous system macrophage,Glial cells,4963,1141,1.4760156730795992,4.366321746804919e-07,314,1.248888888888889,0.01438026807734603,163,7.422746969568362e-06,0.014816033776659547
cerebellar inhibitory,Neuronal cells,4963,1125,1.1515228749840702,0.043293566366430836,270,2.582349696635411,2.7767767586268285e-24,243,0.0639991850634195,4.968968936490114e-24
choroid plexus epithelial cell,Ciliated cells,4963,1085,1.177246322496018,0.02462096232065749,264,2.0515902617659028,5.222623528301262e-14,209,0.04650626216124192,6.82958461393242e-14
committed oligodendrocyte precursor,Glial cells,4963,1133,1.2510978177418979,0.0028022308275333307,285,2.4703728959552094,3.5093491745394273e-22,239,0.012797295328762578,5.187733562362631e-22
deep-layer corticothalamic and 6b,Neuronal cells,4963,1135,1.2395501091153265,0.003985119328069182,284,2.925131525698098,4.062461351259685e-31,260,0.015054895239372463,1.255669872207539e-30
deep-layer intratelencephalic,Neuronal cells,4963,1138,1.180814539699557,0.020763885975692214,277,3.1324062675622875,3.059398552336326e-35,269,0.04486249612373114,2.600488769485877e-34
deep-layer near-projecting,Neuronal cells,4963,1119,1.230595383808358,0.0054109834352037,279,2.540786355442908,2.0303470448176736e-23,240,0.016724857890629618,3.287228548752424e-23
eccentric medium spiny neuron,Neuronal cells,4963,1128,1.0957344787626033,0.1371206803521066,263,3.002993755880592,1.4304021773371464e-32,262,0.14569072287411325,5.40374155882922e-32
endothelial cell,Endothelial and mural cells,4963,1131,1.2008415573396929,0.012326301781338825,278,1.4451272286653973,0.00010637220492452442,177,0.03223802004350154,0.00011302046773230719
ependymal cell,Ciliated cells,4963,1136,1.2299575047333122,0.0053088956703382555,283,2.1707482072791233,1.6655106638192515e-16,224,0.016724857890629618,2.265094502794182e-16
fibroblast,Mesenchymal cells,4963,1141,1.283079283887468,0.0009662920469973282,291,1.9974603036782184,2.2509401113782838e-13,215,0.006570785919581832,2.8345171772911726e-13
hippocampal CA1-3,Neuronal cells,4963,1129,1.1446385937812704,0.05045868098425007,270,3.199089048558056,1.9394938004690017e-36,270,0.0686238061385801,3.2971394607973027e-35
hippocampal CA4,Neuronal cells,4963,1104,1.2512032536689617,0.0030111283126500184,278,2.639433149261105,3.474963799981506e-25,242,0.012797295328762578,6.949927599963012e-25
hippocampal dentate gyrus,Neuronal cells,4963,1111,1.1837186147186147,0.02008265937049446,271,2.7005717345765543,1.901645191532843e-26,246,0.04486249612373114,4.3103957674744444e-26
leukocyte,Blood and immune cells,4963,1106,1.4849715189873418,3.7659809928096883e-07,306,1.150175768365309,0.09154132945429408,150,7.422746969568362e-06,0.09154132945429408
lower rhombic lip,Neuronal cells,4963,1127,1.1703185068621398,0.027514199764119136,273,2.5329012840117477,2.4346634861275167e-23,241,0.04923593642000266,3.76266175128798e-23
mammillary body,Neuronal cells,4963,1127,1.0621541233305227,0.24004591558895408,258,2.795029239766082,1.8178180065858496e-28,253,0.24004591558895408,4.754293247993761e-28
medium spiny neuron,Neuronal cells,4963,1134,1.0789854355048072,0.18317286714761205,262,3.025787965616046,4.317157821595995e-33,264,0.1887235600914791,1.834792074178298e-32
midbrain-derived inhibitory,Neuronal cells,4963,1105,1.1641581570227235,0.03293952029678102,267,2.613892622461171,1.0620527419792983e-24,241,0.053152758613678366,2.0060996237386746e-24
miscellaneous,Neuronal cells,4963,1134,1.1804025243049634,0.02111176288175583,276,3.0503584513842044,1.4154762424784241e-33,265,0.04486249612373114,6.875170320609488e-33
oligodendrocyte,Glial cells,4963,1132,1.2926359901687463,0.0007180362945020533,290,1.5674131434710923,2.4265914975813557e-06,186,0.006103308503267453,2.6614229328311644e-06
oligodendrocyte precursor cell,Glial cells,4963,1137,1.1751168522138182,0.024057061994388826,276,2.538871757663704,1.5101831423523118e-23,243,0.04650626216124192,2.5673113419989302e-23
pericyte,Endothelial and mural cells,4963,1085,1.2560624743115496,0.0027275688235158073,274,1.7028369073381862,3.35159008592826e-08,188,0.012797295328762578,3.798468764052028e-08
splatter,Neuronal cells,4963,1166,1.1117339312406578,0.09861300782725407,274,3.1083624267176075,4.237707995441379e-35,273,0.11974436664737995,2.8816414369001376e-34
thalamic excitatory,Neuronal cells,4963,1123,1.1039406460258523,0.11810273948944479,263,3.1498095726865105,2.1443604156595013e-35,267,0.13252062414289867,2.430275137747435e-34
upper rhombic lip,Neuronal cells,4963,1106,1.1033107220790506,0.12082762789499583,259,2.653662584948796,1.7546210747739543e-25,243,0.13252062414289867,3.728569783894653e-25
upper-layer intratelencephalic,Neuronal cells,4963,1133,1.145124094776067,0.049695368075602576,271,3.10452682588207,1.24764548330377e-34,267,0.0686238061385801,7.069991072054697e-34
vascular associated smooth muscle cell,Endothelial and mural cells,4963,1055,1.1392821941416371,0.06140479868778096,252,1.979525083896181,1.4350156226517782e-12,200,0.08029858289940586,1.7425189703628735e-12
