cell_type_class,n_types,n_genes,n_high_expr,v7_gd_OR,v7_gd_p,v7_rd_OR,v7_rd_p,v7_rd_n,loo_brain_gd_OR,loo_brain_gd_p,loo_brain_rd_OR,loo_brain_rd_p,loo_brain_rd_n,loo_tau_gd_OR,loo_tau_gd_p,loo_tau_rd_OR,loo_tau_rd_p,loo_tau_rd_n,loo_campra_gd_OR,loo_campra_gd_p,loo_campra_rd_OR,loo_campra_rd_p,loo_campra_rd_n,loo_double_gd_OR,loo_double_gd_p,loo_double_rd_OR,loo_double_rd_p,loo_double_rd_n,v7_gd_fdr,v7_rd_fdr,loo_brain_gd_fdr,loo_brain_rd_fdr,loo_tau_gd_fdr,loo_tau_rd_fdr,loo_campra_gd_fdr,loo_campra_rd_fdr,loo_double_gd_fdr,loo_double_rd_fdr
blood and immune cells,22,4974,1223,1.3694088366740707,1.5446427153322886e-05,0.867326455170742,0.8545690311021561,65,1.4082927576794966,5.319248095537037e-06,0.9435703185703186,0.7321945165798264,145,1.1686317488937206,0.01834006019719597,1.6906846000569313,0.0023041339663960286,52,1.4542832019499252,1.2421424710103151e-06,0.9316598781219412,0.7947988652504611,188,1.1183252344590089,0.07566826024570697,2.0024411214953273,3.261522464575838e-10,153,3.8616067883307215e-05,0.986041189733257,1.3298120238842592e-05,0.915243145724783,0.022925075246494963,0.002880167457995036,3.1053561775257873e-06,0.9934985815630762,0.11350239036856044,4.447530633512506e-10
ciliated cells,7,4974,1195,1.336612818223862,7.003691285421479e-05,1.484761144413923,0.0018509314968265392,92,1.3593643586833144,4.689162589914251e-05,1.5404595570763235,4.2062802361874685e-06,193,1.1939810595314981,0.008970506714566553,2.870022708366122,9.426193386001124e-10,69,1.3893276138619337,2.193567132025399e-05,1.382250526726062,0.0001213301491124422,234,1.1787551641563618,0.017047214905136925,2.3560827729506633,7.141045313592772e-15,164,0.00011672818809035798,0.003610873284871972,7.486389254230389e-05,1.0515700590468672e-05,0.016565438162156845,1.7674112598752107e-09,3.290350698038098e-05,0.0003639904473373266,0.05114164471541077,1.1901742189321287e-14
endocrine cells,10,4974,1206,1.2712277118843767,0.0008399347820779923,2.4037477594916083,3.9826101844206185e-12,123,1.2603606241894323,0.0017156793773513445,2.1884000109382264,2.811070926342486e-17,236,1.1865956555562205,0.011043625441437896,3.8658447393166857,2.439905753890651e-15,80,1.2769394402712224,0.0012808896776727034,1.8886858282106662,4.382048262023767e-14,280,1.0882165368928438,0.1426675145212494,4.178123480797278,2.71669514592804e-40,216,0.0010404620813764234,1.9913050922103092e-11,0.0021445992216891805,1.405535463171243e-16,0.016565438162156845,1.2199528769453257e-14,0.0016011120970908794,2.1910241310118835e-13,0.17833439315156174,1.3583475729640198e-39
endothelial and mural cells,4,4974,1211,1.2688643675521658,0.0009017338038595671,1.4079617512513019,0.006246785485300308,90,1.3123603382552689,0.0002705640955481505,1.3673627223511213,0.0007189001465232515,182,1.1279452500078926,0.055132960418398845,2.8983797388705366,6.014335416309768e-10,70,1.3578842496150711,7.00646960408718e-05,1.3036192623082383,0.0013759785154309524,229,1.0677829008874073,0.20587250290767764,2.5894143755290076,3.188635642368374e-18,174,0.0010404620813764234,0.010411309142167181,0.00036895103938384163,0.0011981669108720857,0.06361495432892174,1.2887861606378074e-09,9.554276732846155e-05,0.002293297525718254,0.237545195662705,6.8327906622179434e-18
germ cells,7,4974,1220,1.3907450574117242,6.08385641002602e-06,0.8703197387407914,0.8489215029244997,65,1.4309560248954187,1.9881704836124663e-06,0.8436275697143758,0.9556661719042532,134,1.3603211869119605,1.3545075100508743e-05,1.449199395642889,0.026219300765485964,47,1.505325026448807,1.261454454182761e-07,0.8383923444976077,0.9752276648082875,175,1.3599297200874476,2.43934786204538e-05,1.269290006564662,0.023430231414256642,116,1.8251569230078064e-05,0.986041189733257,9.750350495006197e-06,0.9999834118760899,0.00020317612650763115,0.030253039344791496,9.160212471832851e-07,0.9999999422149164,0.000365902179306807,0.02510381937241783
glandular epithelial cells,22,4974,1215,1.44011080879991,6.307652196931018e-07,1.028287693042509,0.44412365837168155,73,1.458246429581448,5.92595720436483e-07,1.022963290976506,0.4273373374251092,152,1.254101776705418,0.0011101008866621512,2.104603242486684,1.7922275188401294e-05,59,1.4979693091260347,1.8320424943665703e-07,0.9413101170361037,0.7606806009677786,188,1.2184589951510976,0.005031342557493269,1.8610505472586112,2.1725742528512358e-08,146,4.7307391476982636e-06,0.6056231705068384,4.444467903273623e-06,0.5827327328524217,0.0041628783249830666,2.4439466166001767e-05,9.160212471832851e-07,0.9934985815630762,0.01886753459059976,2.7157178160640444e-08
glial cells,8,4974,1201,1.2807879178901076,0.0006013615537765794,2.5308787077008774,1.8650261292642807e-13,126,1.2468323586744638,0.002703025880298414,2.3139669860507213,1.1531918862741904e-19,242,1.1893547348594053,0.010237275304045553,5.038196561394952,2.7706683718047944e-21,89,1.2303399497127905,0.00554314984012712,2.15033112290594,6.697004784599843e-20,298,1.089828185938653,0.13867788004202675,4.4494897959183675,8.482658481041769e-44,221,0.0008200384824226082,1.3987695969482105e-12,0.003118876015728939,8.648939147056428e-19,0.016565438162156845,2.0780012788535958e-20,0.005939089114421914,5.022753588449882e-19,0.17833439315156174,6.361993860781327e-43
mesenchymal cells,9,4974,1212,1.310099498083628,0.0001898532142719799,1.4801876675603216,0.0019257990852650517,93,1.3576897627374989,4.663587668505387e-05,1.5748342482355457,1.2183158273806998e-06,198,1.1757399150036603,0.015144567022081157,3.0631578947368423,6.863274717417596e-11,72,1.3983670453383084,1.4066494416769477e-05,1.351037308417698,0.0003181073898534344,234,1.129887367458044,0.05861460976645974,2.895687863120303,1.3904672887221023e-22,184,0.0002847798214079699,0.003610873284871972,7.486389254230389e-05,3.654947482142099e-06,0.02065168230283794,1.715818679354399e-10,2.344415736128246e-05,0.000795268474633586,0.10481790843678382,4.171401866166307e-22
muscle cells,3,4974,1178,1.189903886616506,0.012630220883093733,1.9390480206419485,2.4651404054502895e-07,107,1.1404736789025085,0.05267350775883017,2.039301919720768,2.525302416252239e-14,223,1.0748896721955232,0.17579761081743264,3.2776229260935144,4.9773115810269575e-12,73,1.1844039866877167,0.02035509005013652,1.8581844939460834,2.781207521574326e-13,272,0.994830848756173,0.5406151401456896,3.198728064787428,1.1806502629138768e-26,189,0.012630220883093733,9.244276520438586e-07,0.05267350775883017,9.469884060945896e-14,0.17579761081743264,1.866491842885109e-11,0.02035509005013652,1.0429528205903722e-12,0.5406151401456896,4.427438485927038e-26
neuronal cells,9,4974,1197,1.210771818660282,0.006544457167325782,3.5339798165740772,3.889250845056959e-24,148,1.2020222446916078,0.010594914228409677,3.010613716334768,1.7653213497662908e-33,274,1.109273453448954,0.08634276521226165,6.442459893048128,1.8986522030729134e-27,97,1.237325817057683,0.004542980537212402,2.5062713797035348,2.8222994105776403e-28,320,1.0458558647855887,0.292320152532105,5.69134011902052,7.752610884625811e-59,242,0.007011918393563338,5.833876267585439e-23,0.011351693816153224,2.647982024649436e-32,0.09251010558456606,2.8479783046093703e-26,0.005241900619860463,4.233449115866461e-27,0.3132001634272554,1.1628916326938716e-57
