cell_type,cell_type_group,cell_type_class,n_genes,n_high_expr,v7_gd_OR,v7_gd_p,v7_gd_n,v7_rd_OR,v7_rd_p,v7_rd_n,loo_brain_gd_OR,loo_brain_gd_p,loo_brain_gd_n,loo_brain_rd_OR,loo_brain_rd_p,loo_brain_rd_n,loo_tau_gd_OR,loo_tau_gd_p,loo_tau_gd_n,loo_tau_rd_OR,loo_tau_rd_p,loo_tau_rd_n,loo_campra_gd_OR,loo_campra_gd_p,loo_campra_gd_n,loo_campra_rd_OR,loo_campra_rd_p,loo_campra_rd_n,loo_double_gd_OR,loo_double_gd_p,loo_double_gd_n,loo_double_rd_OR,loo_double_rd_p,loo_double_rd_n,v7_gd_fdr,v7_rd_fdr,loo_brain_gd_fdr,loo_brain_rd_fdr,loo_tau_gd_fdr,loo_tau_rd_fdr,loo_campra_gd_fdr,loo_campra_rd_fdr,loo_double_gd_fdr,loo_double_rd_fdr
adipocytes,adipocytes,mesenchymal cells,4974,1069,1.3000117507802804,0.00047301477949794775,303,2.051078252489212,4.212534131283388e-08,102,1.2784366748999234,0.0014050810435832944,273,2.1060010361501265,7.336038007856837e-15,209,1.1822530665866997,0.015936633163692815,316,3.742838018741633,2.6582156034987958e-14,73,1.356936581975999,0.00013322405070863245,263,1.8213944729698217,6.452357611233254e-12,247,1.0909512767262437,0.14594672384282795,273,4.102937470247263,4.983761055603114e-38,198,0.0006807876265671397,3.81606033069201e-07,0.0018494229120669004,6.276388073388627e-14,0.03187326632738563,2.4080306055224385e-13,0.00019727407508778267,3.8217810466535424e-11,0.21020147329564604,5.4821371611634265e-37
adrenal cortex cells,adrenal endocrine cells,endocrine cells,4974,939,1.2785440241641208,0.0016045387403944287,265,1.6711210218236074,0.00017672458761136734,80,1.2515918026512647,0.004729051848828654,238,1.7068538898117387,1.1255381399493745e-07,165,1.1343381729941027,0.06371100282207702,272,3.2462411497971413,4.406953840788203e-11,62,1.2842872998255905,0.0023255131510566897,225,1.628026513428969,9.481677825949773e-08,206,1.02987705363943,0.3776138193778641,232,3.692849523357998,5.568589948674807e-31,172,0.001961102904926524,0.0007775881854900163,0.0056455347652683155,4.4444326551847094e-07,0.0783119633700608,1.8851969207816202e-10,0.0028422938512915096,4.2946423094007796e-07,0.42447100864373044,2.95711328308938e-30
adrenal medulla cells,adrenal endocrine cells,endocrine cells,4974,656,1.2010142548315264,0.030259782606012104,180,2.6256985049968415,6.268959756168535e-11,79,1.2175475475038924,0.025189865776108943,165,2.2564541046039968,2.723895332766009e-13,142,1.1245270192031138,0.11184699723181864,190,3.6682457186674617,1.4458732442100851e-11,51,1.2228407386619802,0.025618080012266793,154,2.088092856766858,5.440201630825756e-13,172,1.0174247252641133,0.446509853135366,161,4.128612039153626,6.9675089266401495e-31,139,0.03127521155252258,1.072688669388838e-09,0.027908196615257393,1.6133841586383282e-12,0.12215913172836929,6.958264987761034e-11,0.02778298818231751,4.654394728595369e-12,0.4842430801608899,3.576654582341944e-30
alveolar cells type 1,alveolar cells,specialized epithelial cells,4974,1059,1.313625460613224,0.00030138425945890225,302,1.0574632002541564,0.37344716881005213,65,1.315795584010303,0.00041865819574825504,275,1.0968148046230048,0.19935608095802268,139,1.1472217450770457,0.040592789021237696,308,2.118447211468034,2.6672018382064227e-05,53,1.378348147607257,6.458633429374336e-05,263,1.0239450462807953,0.4165073824189186,173,1.1226747941665938,0.07899840836284809,275,2.1945960698689957,4.930505435827183e-12,143,0.0004784863500687726,0.6105470393209341,0.0005914987352773511,0.34112040519483877,0.05897442933274156,4.4646639465629245e-05,0.00010694941377673631,0.735966929594028,0.1351750543097623,9.491222963967327e-12
alveolar cells type 2,alveolar cells,specialized epithelial cells,4974,1066,1.3707875880985383,3.244997848631959e-05,311,1.0702466960352424,0.3418611847248631,66,1.395858958589586,2.0893017598997256e-05,286,1.1096564360971142,0.16855263432692946,141,1.2302973112993096,0.0037872071682322566,322,2.2316348127585806,6.544806379209034e-06,55,1.4377056200720457,6.433957899323699e-06,271,0.9697499365679005,0.6429579965225845,168,1.1891784292435759,0.015842831637666418,286,1.994184688494221,1.5587747033116687e-09,136,7.808276073270651e-05,0.585292925844924,5.264103845834045e-05,0.29496711007212656,0.01121595969053399,1.1998811695216563e-05,1.8015082118106358e-05,0.9999999933075148,0.04356778700358265,2.5811968205376017e-09
astrocytes,glial cells,glial cells,4974,1123,1.150448483184191,0.03903949144378052,297,2.4663425728500354,1.81912301181405e-12,118,1.1464814762563134,0.04861515592532266,269,2.3127068186055184,4.581929516545365e-19,229,1.045713664133726,0.2905175839828298,310,4.517363840130411,1.4687243128165398e-18,82,1.1614344144661308,0.03817126051460305,252,2.2806534378457264,3.244801398642913e-22,290,0.9843843250202374,0.5927129067853583,270,4.510080971659919,6.70408797645459e-44,213,0.04008054454894801,3.501811797742046e-11,0.05199056692717182,8.820214319349828e-18,0.29434018377207755,3.231193488196388e-17,0.04054051116723359,7.13856307701441e-21,0.625190326335241,1.47489935482001e-42
b-cells,b-cells,blood and immune cells,4974,1130,1.4213908028706148,2.5737936633035895e-06,335,1.0090243841523823,0.49906552687957983,67,1.4726638279937772,5.413465570937027e-07,311,1.0729313556518862,0.2590564593154944,146,1.2324852493326324,0.0029799125447844688,341,1.8832714904143475,0.00033120653234481494,52,1.51036023567559,1.9162536096847524e-07,294,1.0452168377276367,0.329052923777473,187,1.1704148457114012,0.02351328569302972,300,2.251308085977482,3.915087920365787e-13,153,1.165777129849273e-05,0.7534910896025028,2.6892699933042006e-06,0.4244116461126185,0.008998167292094279,0.00048118684887831604,9.221970496607872e-07,0.620619894729736,0.05840396768913834,8.373938051893489e-13
basal keratinocytes,basal cells,specialized epithelial cells,4974,1090,1.3899299805340073,1.2883881083985624e-05,320,0.8334027046658342,0.8989877823566772,56,1.4571997471554994,1.4197072515185105e-06,299,0.9855712295367468,0.5729763792669842,133,1.2024467906820848,0.008507666884800445,325,1.8573390894819466,0.0004988048320593268,50,1.4974149193202624,4.578287461809374e-07,283,0.8246870948109338,0.9800645864884302,154,1.1800886479278136,0.019380099896717996,291,1.8369912717916324,9.92800434372916e-08,132,3.968235373867572e-05,0.9998241684620686,6.115233209741343e-06,0.824657592589865,0.019552066365157477,0.000704733432450792,1.9584896364406766e-06,0.9999999933075148,0.04974225640157619,1.4156598786428618e-07
basal prostatic cells,basal cells,specialized epithelial cells,4974,1017,1.3930216163262317,1.7642350779411202e-05,300,1.3919891085569327,0.011370426268060334,76,1.4276237916748866,8.02017059203074e-06,277,1.4156916424669626,0.0003839899083848236,158,1.2328780990972381,0.003994223940360084,308,3.0082130965593783,4.6541582320273965e-10,63,1.4447959396509769,6.710468780452116e-06,260,1.2712222235475137,0.005480433148247185,191,1.1574732335267892,0.0381868526498506,269,2.8534796951755332,1.4591362819101456e-20,160,4.882139558792715e-05,0.035735625413903904,2.375204367639873e-05,0.0011826889178252567,0.011605858241800998,1.748147238371266e-09,1.8376251243465866e-05,0.018347537061523186,0.08303477362449457,5.3501663670038673e-20
bergmann glia,glial cells,glial cells,4974,1095,1.268998844240465,0.0012724563070496853,306,1.8263619074884463,4.223308849754471e-06,97,1.259360555387004,0.002382907014749654,277,1.8753635342973474,5.184118255708192e-11,200,1.132484311415116,0.05545113877811995,316,4.056780763164449,4.449549516436009e-16,77,1.2608867439957103,0.0028573268000111436,258,1.8570773263433813,8.769393792414037e-13,255,1.0737873649341432,0.19436392895212054,277,3.69624159594401,7.542954649740701e-33,192,0.00160621533840698,2.1679652095406285e-05,0.0030079318055036617,2.494856910559567e-10,0.07265230697472952,4.8945044680796106e-15,0.003411072303889272,7.10782444227243e-12,0.2558294449455262,4.467750061769492e-32
