tissue,is_brain,classification_used,n_high_expr,n_expressed,mean_tpm,median_tpm,gd_OR,gd_p,gd_fdr,gd_fdr_sig,gd_ci_low,gd_ci_high,gd_n_high,gd_pct,rd_OR,rd_p,rd_fdr,rd_fdr_sig,rd_ci_low,rd_ci_high,rd_n_high,rd_pct,gd_vs_rd_OR,gd_vs_rd_p
Blood,False,v7,1077,3616,27.254258735826298,1.842985,1.3704062909567496,3.103569809453437e-05,3.448410899392708e-05,True,1.1782684633889529,1.5938756409488088,314,25.86490939044481,0.5059983473557692,0.9999845577917617,0.9999999999796296,False,0.3560213771166877,0.719154365393214,37,12.627986348122867,0.11705839522353284,1.0
Brain,True,LOO-brain,1165,4240,14.174376825995173,4.3882975,1.5260821497902233,3.4327151747295505e-08,2.0596291048377301e-07,True,1.313082924329994,1.773632635651472,326,29.663330300272975,0.7108688212927756,0.999391050929559,0.9999999999796296,False,0.5729893449595526,0.8819264887409937,113,18.43393148450245,0.2513310523369933,1.0
Adipose Tissue,False,v7,1149,4145,26.739183635504624,6.74397,1.4678854066834623,2.6147951337289685e-07,7.844385401186906e-07,True,1.2672040846611476,1.7003477129182711,346,28.500823723228994,0.4490545061721921,0.9999995294337284,0.9999999999796296,False,0.31479318340288354,0.6405791489311651,36,12.286689419795222,0.1275774601006594,1.0
Muscle,False,v7,1111,3785,23.62842456875754,2.30975,1.440436165908383,1.2358825006865436e-06,2.0598041678109063e-06,True,1.2412612498249738,1.6715710317625816,332,27.347611202635914,0.48540430051210426,0.9999954725408846,0.9999999999796296,False,0.3415833552285054,0.6897799068635145,37,12.627986348122867,0.12370065698508757,1.0
Blood Vessel,False,v7,1139,4106,34.55090918536389,7.1126249999999995,1.353909465020576,4.432506304733036e-05,4.58535134972383e-05,True,1.1670303246533245,1.57071397439208,329,27.100494233937397,0.4998532569792412,0.9999925926533189,0.9999999999796296,False,0.35443457567611464,0.7049348332795654,39,13.310580204778157,0.11657389970007673,1.0
Heart,False,v7,1131,3916,15.759893098713308,2.74078,1.4272574891477199,1.963642650373067e-06,3.100488395325895e-06,True,1.2307758318139277,1.655105574608182,336,27.677100494233937,0.55193002096298,0.9999224836634882,0.9999999999796296,False,0.3953222920709232,0.7705782197214007,42,14.334470989761092,0.12082348390424207,1.0
Thyroid,False,v7,1156,4292,28.056052227784484,8.9891875,1.4929935297208208,7.311594534956019e-08,3.6557972674780095e-07,True,1.289509928634649,1.7285866748993264,351,28.912685337726526,0.4749166929741485,0.9999981582645191,0.9999999999796296,False,0.3355454899599585,0.6721767152716509,38,12.969283276450511,0.12883700510281196,1.0
Kidney,False,v7,1160,4190,14.394536992159228,3.87544,1.559718969555035,2.3480220636407937e-09,2.7993399952943366e-08,True,1.3480588159950064,1.8046121097425707,360,29.654036243822077,0.5026821005081875,0.9999926978946038,0.9999999999796296,False,0.35772425395256263,0.7063800996977755,40,13.651877133105803,0.13331381733021078,1.0
Uterus,False,v7,1149,4204,32.3312095902694,8.601479999999999,1.3559313566307796,3.88953021947255e-05,4.167353806577732e-05,True,1.1692786996621474,1.5723794886760694,332,27.347611202635914,0.5092363237186227,0.9999892126734303,0.9999999999796296,False,0.3623720938817532,0.7156225266040436,40,13.651877133105803,0.11656494503146016,1.0
Vagina,False,v7,1156,4286,34.11589321250502,8.4822025,1.4681361900624244,2.453861122056687e-07,7.844385401186906e-07,True,1.2677700888596173,1.700169369439734,348,28.665568369028005,0.40213028289608876,0.9999999763488865,0.9999999999796296,False,0.2782214928308958,0.5812231211065194,33,11.262798634812286,0.12930738801362815,1.0
Breast,False,v7,1159,4249,25.364453954061116,7.223352500000001,1.562198649951784,2.08078784640067e-09,2.7993399952943366e-08,True,1.350176204000799,1.8075156521642652,360,29.654036243822077,0.4584551860516934,0.9999992682007698,0.9999999999796296,False,0.3226826988516579,0.6513555215872179,37,12.627986348122867,0.1350634428867466,1.0
Skin,False,v7,1153,4206,28.762462183353435,6.9744600000000005,1.4181154390894881,2.583145345292241e-06,3.874718017938362e-06,True,1.2238707828340114,1.6431893193227103,341,28.088962108731465,0.4035473901098901,0.9999999730629067,0.9999999999796296,False,0.27919881764100135,0.5832778857749312,33,11.262798634812286,0.12507123953977847,1.0
Salivary Gland,False,v7,1168,4279,23.033373587253717,6.18685,1.4327380877119782,1.2033291357048198e-06,2.0598041678109063e-06,True,1.237383666093946,1.6589344794411776,347,28.5831960461285,0.3826021261669635,0.9999999947779307,0.9999999999796296,False,0.26344765992303587,0.5556488411787225,32,10.921501706484642,0.1272353320492774,1.0
Adrenal Gland,False,v7,1140,4073,21.9535021344994,5.006735,1.4069969061299425,4.595046155859944e-06,5.993538464165144e-06,True,1.213509932025475,1.6313342327202909,336,27.677100494233937,0.453857215361191,0.9999993283632488,0.9999999999796296,False,0.31814855957929655,0.6474534167553686,36,12.286689419795222,0.12232686227178459,1.0
Lung,False,v7,1168,4334,30.91932053498191,8.594875,1.393123708821112,7.2218342527140905e-06,8.666201103256909e-06,True,1.2027185143897146,1.613672397039877,342,28.17133443163097,0.5907394978602409,0.9997149779315104,0.9999999999796296,False,0.4281840746750776,0.8150073180488643,46,15.699658703071673,0.11728069396005954,1.0
Spleen,False,v7,1145,4168,28.832670688379572,7.1206,1.4038971742100095,5.116407233944764e-06,6.395509042430955e-06,True,1.211044622008157,1.6274604914942388,337,27.759472817133442,0.4660741482400722,0.999998741375206,0.9999999999796296,False,0.32802706099777296,0.6622170469624261,37,12.627986348122867,0.1217471804192962,1.0
Pancreas,False,v7,1140,3972,55.77358829402895,2.3763975,1.4475439660400242,7.287117898960945e-07,1.457423579792189e-06,True,1.2489665197951123,1.6776939176581145,341,28.088962108731465,0.4992597996095175,0.9999928539060652,0.9999999999796296,False,0.3540152474386334,0.7040949487616165,39,13.310580204778157,0.12417297108212298,1.0
Esophagus,False,v7,1150,4174,23.61800932549256,5.7857425000000005,1.4738258060531368,1.9509903346771924e-07,7.316213755039472e-07,True,1.272448758339874,1.7070726756982608,347,28.5831960461285,0.4485256620723861,0.9999995477729768,0.9999999999796296,False,0.3144236942979516,0.6398222309125223,36,12.286689419795222,0.1280937545335327,1.0
