tissue,is_brain,classification_used,n_high_expr,gd_OR,gd_p,gd_n_high,rd_OR,rd_p,rd_n_high,gd_fdr,gd_fdr_sig,rd_fdr,rd_fdr_sig
Blood,False,loo_campra,1077,1.4602512987797511,2.405020337219428e-06,276,0.5670080508242511,0.9999999902068376,116,2.775023466022417e-06,True,0.9999999999999323,False
Brain,True,loo_campra,1165,1.5065054532191584,1.7584250345769927e-07,302,0.738870799249806,0.9993892240160347,153,2.7764605809110416e-07,True,0.9999999999999323,False
Adipose Tissue,False,loo_campra,1149,1.5143934078485763,1.3849338047057315e-07,299,0.5758155886422375,0.9999999906130701,126,2.427723100297485e-07,True,0.9999999999999323,False
Muscle,False,loo_campra,1111,1.4778201634877384,9.114545632572481e-07,286,0.6381959061651566,0.9999978276345834,131,1.188853778161628e-06,True,0.9999999999999323,False
Blood Vessel,False,loo_campra,1139,1.4255423399880869,6.783604662288979e-06,287,0.660780307305987,0.9999916651625648,138,7.017522064436875e-06,True,0.9999999999999323,False
Heart,False,loo_campra,1131,1.4891812597414504,4.847196151117373e-07,292,0.6610704953704125,0.9999910431514941,137,6.609812933341872e-07,True,0.9999999999999323,False
Thyroid,False,loo_campra,1156,1.574717884418101,7.868993667849538e-09,307,0.5706317881939443,0.9999999946813029,126,3.2746055039144154e-08,True,0.9999999999999323,False
Kidney,False,loo_campra,1160,1.674239194429218,5.337818936277793e-11,318,0.5317873303167421,0.9999999999065649,120,8.181387005292519e-10,True,0.9999999999999323,False
Uterus,False,loo_campra,1149,1.4494787592803928,2.369845421322922e-06,292,0.5882188330768154,0.9999999710699521,128,2.775023466022417e-06,True,0.9999999999999323,False
Vagina,False,loo_campra,1156,1.5173754971573579,1.1474952982230733e-07,301,0.4937651858023477,0.9999999999988956,113,2.427723100297485e-07,True,0.9999999999999323,False
Breast,False,loo_campra,1159,1.6066443569204567,1.6248133943658408e-09,311,0.5324690030006227,0.9999999998977923,120,1.3145094746985598e-08,True,0.9999999999999323,False
Skin,False,loo_campra,1153,1.4960101083734267,3.0688366273137235e-07,298,0.5130239613820794,0.9999999999877695,116,4.6032549409705855e-07,True,0.9999999999999323,False
Salivary Gland,False,loo_campra,1168,1.5278545324895267,6.475057389124601e-08,305,0.5263807813201616,0.9999999999546723,120,1.7659247424885277e-07,True,0.9999999999999323,False
Adrenal Gland,False,loo_campra,1140,1.5639970482844816,1.507449085291988e-08,302,0.5098801425332038,0.9999999999895482,114,4.522347255875964e-08,True,0.9999999999999323,False
Lung,False,loo_campra,1168,1.4360232255006518,3.7302337803768416e-06,295,0.6299306710672032,0.9999992464243995,137,3.996679050403759e-06,True,0.9999999999999323,False
Spleen,False,loo_campra,1145,1.5140384671988802,1.4504070001857795e-07,298,0.5481837951030928,0.9999999993385438,121,2.427723100297485e-07,True,0.9999999999999323,False
Pancreas,False,loo_campra,1140,1.5159699354705336,1.3807940716532026e-07,297,0.5701556166425943,0.9999999938681299,124,2.427723100297485e-07,True,0.9999999999999323,False
Esophagus,False,loo_campra,1150,1.5889904318877182,4.181436753729946e-09,307,0.5033544581649538,0.9999999999959615,114,2.0907183768649728e-08,True,0.9999999999999323,False
Stomach,False,loo_campra,1160,1.565314400622175,1.190704076499341e-08,307,0.5496069362679813,0.9999999993721458,123,3.969013588331137e-08,True,0.9999999999999323,False
Colon,False,loo_campra,1163,1.5109819184144886,1.456633860178491e-07,302,0.5534736973990694,0.9999999991015693,124,2.427723100297485e-07,True,0.9999999999999323,False
Small Intestine,False,loo_campra,1175,1.5977238404516785,2.168410797275965e-09,314,0.5102223134694829,0.9999999999938819,118,1.3145094746985598e-08,True,0.9999999999999323,False
Prostate,False,loo_campra,1169,1.6718828874305907,5.4542580035283457e-11,320,0.47447740760149365,0.9999999999999323,111,8.181387005292519e-10,True,0.9999999999999323,False
Testis,False,loo_campra,1235,1.4558720204217508,1.0809724364376707e-06,313,0.6143002101906212,0.9999998770477307,143,1.3512155455470882e-06,True,0.9999999999999323,False
Nerve,True,loo_campra,1156,1.4893361486159271,4.0409732821113357e-07,298,0.6993429618191177,0.9999195545684055,146,5.772818974444766e-07,True,0.9999999999999323,False
Liver,False,loo_campra,1119,1.5262297211333185,1.0248810019597447e-07,293,0.5484456892081525,0.9999999990369155,118,2.427723100297485e-07,True,0.9999999999999323,False
Pituitary,False,loo_campra,1184,1.5958446795140344,2.1908491244975997e-09,316,0.5803775106216561,0.9999999902544191,131,1.3145094746985598e-08,True,0.9999999999999323,False
Ovary,False,loo_campra,1147,1.3645660040415433,7.110759326882619e-05,282,0.6473246419664591,0.9999968433998453,137,7.110759326882619e-05,True,0.9999999999999323,False
Bladder,False,loo_campra,1156,1.5173754971573579,1.1474952982230733e-07,301,0.5524386529604299,0.9999999991152044,123,2.427723100297485e-07,True,0.9999999999999323,False
Cervix Uteri,False,loo_campra,1157,1.5723587162775348,8.732281343771775e-09,307,0.5162152269399707,0.999999999983325,117,3.2746055039144154e-08,True,0.9999999999999323,False
Fallopian Tube,False,loo_campra,1161,1.4418770911378649,3.038097639168662e-06,294,0.5311069672825902,0.9999999999145973,120,3.3756640435207354e-06,True,0.9999999999999323,False
