tissue,is_brain,classification_used,n_high_expr,gd_OR,gd_p,gd_n_high,rd_OR,rd_p,rd_n_high,gd_fdr,gd_fdr_sig,rd_fdr,rd_fdr_sig
Blood,False,loo_tau,1077,1.1939075660210297,0.011254213654982944,320,0.7654692642448254,0.9102233929291124,26,0.01138411965716713,True,0.9998402276563009,False
Brain,True,loo_tau,1165,1.3279966632443532,7.162340602232792e-05,365,0.8267751810647354,0.8458040076211572,30,0.00030695745438140534,True,0.9998402276563009,False
Adipose Tissue,False,loo_tau,1149,1.276880090105701,0.00058132827991235,353,0.7711864406779662,0.9096794709572681,28,0.0012457034569550358,True,0.9998402276563009,False
Muscle,False,loo_tau,1111,1.2431944895738238,0.002184751505377947,337,0.6321617647058824,0.9856871159161343,23,0.0027309393817224335,True,0.9998402276563009,False
Blood Vessel,False,loo_tau,1139,1.2080165271654633,0.006458045690845283,340,0.8890894504612916,0.7466246715805955,31,0.007175606323161426,True,0.9998402276563009,False
Heart,False,loo_tau,1131,1.251124746987798,0.0015683663255546274,344,0.7522906934962271,0.9256767685786875,27,0.002056844914312023,True,0.9998402276563009,False
Thyroid,False,loo_tau,1156,1.3044349985916575,0.00019485057667984837,359,0.7306912428902927,0.9438346077048753,27,0.0007306896625494314,True,0.9998402276563009,False
Kidney,False,loo_tau,1160,1.4123080582498613,1.6886024172070286e-06,375,0.5658493039863866,0.9963710338699088,22,5.065807251621086e-05,True,0.9998402276563009,False
Uterus,False,loo_tau,1149,1.188877381708037,0.01138411965716713,340,0.8063775510204082,0.8710969289179685,29,0.01138411965716713,True,0.9998402276563009,False
Vagina,False,loo_tau,1156,1.2695190956618605,0.000747833972088901,354,0.6640285235743604,0.9778484303267035,25,0.0014141352698490036,True,0.9998402276563009,False
Breast,False,loo_tau,1159,1.3553500540383256,2.2848423789657103e-05,367,0.8325201543288646,0.8374386376392007,30,0.0001142421189482855,True,0.9998402276563009,False
Skin,False,loo_tau,1153,1.2687056288032454,0.0007781514993240626,353,0.7676148148148149,0.9133648727765225,28,0.0014141352698490036,True,0.9998402276563009,False
Salivary Gland,False,loo_tau,1168,1.2659034005439465,0.000823364321109795,357,0.7206597083897698,0.9511566356209428,27,0.0014141352698490036,True,0.9998402276563009,False
Adrenal Gland,False,loo_tau,1140,1.2674864958050798,0.0008484811619094021,349,0.7101274391500132,0.9561130180524858,26,0.0014141352698490036,True,0.9998402276563009,False
Lung,False,loo_tau,1168,1.225375249629582,0.003442906012758218,351,0.9331775521930664,0.6664607239313937,33,0.004131487215309862,True,0.9998402276563009,False
Spleen,False,loo_tau,1145,1.250430790540207,0.0015433478473553962,348,0.7060021389120849,0.958703609707,26,0.002056844914312023,True,0.9998402276563009,False
Pancreas,False,loo_tau,1140,1.2955764437834898,0.0002937468238714038,353,0.6764738050967953,0.9725949369876983,25,0.0008812404716142114,True,0.9998402276563009,False
Esophagus,False,loo_tau,1150,1.2887968502326532,0.00036805490002331665,355,0.7019135406335686,0.9611641119615286,26,0.0009201372500582916,True,0.9998402276563009,False
Stomach,False,loo_tau,1160,1.2821369964466245,0.00045880363353377143,357,0.6609720282224849,0.9790157300251725,25,0.0010587776158471648,True,0.9998402276563009,False
Colon,False,loo_tau,1163,1.248622693010793,0.0015636357957017864,353,0.6914514756981992,0.9669875321810575,26,0.002056844914312023,True,0.9998402276563009,False
Small Intestine,False,loo_tau,1175,1.2930390959379794,0.00028503253102779764,363,0.6820043088073735,0.9716840459186151,26,0.0008812404716142114,True,0.9998402276563009,False
Prostate,False,loo_tau,1169,1.3845080978916153,5.862168882348197e-06,374,0.5000271975630983,0.9992651711430923,20,7.714617222614991e-05,True,0.9998402276563009,False
Testis,False,loo_tau,1235,1.3709572966262944,7.71461722261499e-06,392,0.5200669990447402,0.9990222038215776,22,7.714617222614991e-05,True,0.9998402276563009,False
Nerve,True,loo_tau,1156,1.2489375612945408,0.0015769144343058844,351,0.7649527186761229,0.9160506388878499,28,0.002056844914312023,True,0.9998402276563009,False
Liver,False,loo_tau,1119,1.3631899566550094,2.0005638408151094e-05,356,0.4385364569623585,0.9998402276563009,17,0.0001142421189482855,True,0.9998402276563009,False
Pituitary,False,loo_tau,1184,1.366079598614067,1.2499018565121064e-05,376,0.6430761028921764,0.9849526050201626,25,9.374263923840799e-05,True,0.9998402276563009,False
Ovary,False,loo_tau,1147,1.2059283440383262,0.006780927319532001,342,0.956178284286941,0.6207177434312832,33,0.007265279270927143,True,0.9998402276563009,False
Bladder,False,loo_tau,1156,1.255767767041187,0.0012359628201785327,352,0.5997458075904678,0.9927184430747763,23,0.0019515202423871568,True,0.9998402276563009,False
Cervix Uteri,False,loo_tau,1157,1.288308299389002,0.0003657472247797459,357,0.6632623746732167,0.978145445692777,25,0.0009201372500582916,True,0.9998402276563009,False
Fallopian Tube,False,loo_tau,1161,1.218911159848228,0.0043358287567569626,348,0.6930454250018054,0.966143327663946,26,0.005002879334719572,True,0.9998402276563009,False
