tissue,gd_mean_spec,rd_mean_spec,neutral_mean_spec,mw_u,mw_p,cliffs_delta,rd_gt_gd,fdr,fdr_sig
Blood,0.2132861433398721,0.16741825697450347,0.1920092383621554,88035.0,0.025722620467757536,-0.11152937851966978,True,0.19291965350818152,False
Brain,0.2369459953905627,0.3183112442564439,0.23001907670750618,115226.0,0.001129415035708881,0.1628888036655027,True,0.03388245107126643,True
Adipose Tissue,0.309697542343252,0.2961657137386072,0.291824431450226,98965.0,0.9806043690803571,-0.0012211614153361727,False,0.9806043690803571,False
Muscle,0.19031075177471432,0.1886902664182596,0.18500841880793745,101064.5,0.6897826326364103,0.019967502977211716,False,0.9406126808678322,False
Blood Vessel,0.35703664303723576,0.3504442335470261,0.3264062868285028,99464.5,0.9392039068163407,0.003819914014088771,False,0.9806043690803571,False
Heart,0.1440973196479366,0.14949965400443727,0.13924365451028908,101652.0,0.60471702541762,0.025896695799608422,False,0.8638814648823141,False
Thyroid,0.3989982033061637,0.366516939741732,0.36033766730757105,95163.0,0.4286978276237674,-0.03959186968895707,False,0.8283841865626056,False
Kidney,0.19781133704218362,0.1656530365165962,0.17489063308146152,91177.5,0.11063761156275144,-0.07981450457178613,False,0.5531880578137572,False
Uterus,0.4003859557959887,0.38819598142180656,0.3694310761024928,98833.0,0.9593705573299688,-0.0025533375047938154,False,0.9806043690803571,False
Vagina,0.3566502583694583,0.31546668165744746,0.32579121249893356,93422.5,0.2532568545959898,-0.057157418807904245,False,0.6801340789419459,False
Breast,0.31463519719747063,0.2898907650887397,0.29110095198274244,96027.5,0.5372822172259566,-0.0308671255273197,False,0.8484648141866546,False
Skin,0.33070085058527904,0.3184812463943449,0.3061480143957156,97478.0,0.7457005348639791,-0.01622832690793856,False,0.9530996909013042,False
Salivary Gland,0.2858761138871205,0.24669933960772994,0.25787993686782984,92746.0,0.2009275547400181,-0.06398482126637467,False,0.6697585158000604,False
Adrenal Gland,0.2715878438731206,0.2567788615056789,0.24669465203608865,97587.5,0.7624797527210434,-0.015123226288274831,False,0.9530996909013042,False
Lung,0.36571589959067047,0.3829326158095303,0.34110793107358756,102972.0,0.433118772936807,0.03921845669418485,False,0.8283841865626056,False
Spleen,0.35115725900314615,0.30161407184899097,0.32655995387039266,93134.0,0.22983916197946908,-0.06006903094281735,False,0.6801340789419459,False
Pancreas,0.13459083819733508,0.11013688339596393,0.11959470191326642,92320.0,0.17227683037553942,-0.06828411682780615,False,0.6460381139082728,False
Esophagus,0.26807673073281435,0.26139268043010466,0.24981402721430304,98699.5,0.9379287596999816,-0.0039006519589043862,False,0.9806043690803571,False
Stomach,0.22104763196976093,0.18864170919664272,0.2025286766738075,91773.0,0.14015687954526618,-0.07380457380457381,False,0.6006723409082836,False
Colon,0.2857563090638161,0.26052589995922515,0.26654630519876016,95752.0,0.5012635954963021,-0.03364753850190744,False,0.8484648141866546,False
Small Intestine,0.30510290258691763,0.2539538407152309,0.2821325321255231,89082.5,0.04359845731292182,-0.10095775387037523,True,0.26159074387753095,False
Prostate,0.33442133348071873,0.2988007000367032,0.30262286049041276,93891.5,0.2947247675415099,-0.05242415679308883,False,0.6801340789419459,False
Testis,0.48935628063854736,0.39315971497645935,0.4626351994680876,86110.5,0.008478664707068184,-0.1309519003693761,True,0.08478664707068184,False
Nerve,0.41993748535842185,0.4020744741220826,0.3917258689392243,98580.5,0.9188461929573096,-0.005101628888036655,False,0.9806043690803571,False
Liver,0.18251380539263923,0.1248872150918327,0.1643624075122938,85537.0,0.00626370262734535,-0.13673980178834547,True,0.08478664707068184,False
Pituitary,0.36574872678533543,0.3526903238132578,0.3266255968227553,99832.5,0.8803600923181751,0.007533859475607048,False,0.9806043690803571,False
Ovary,0.384924154372546,0.39387078106042817,0.350198476574053,101933.5,0.5656432094577698,0.028737662232807864,False,0.8484648141866546,False
Bladder,0.3199132509193737,0.29950600252196774,0.302859793869114,96036.5,0.5384735979157578,-0.030776295339402137,False,0.8484648141866546,False
Cervix Uteri,0.3732376860282874,0.3406299639184024,0.3411852425428902,95273.0,0.4418048995000563,-0.03848172294774237,False,0.8283841865626056,False
Fallopian Tube,0.38548343291522935,0.3479470173632788,0.35446718303817554,93811.5,0.28733099308501975,-0.05323153624124498,False,0.6801340789419459,False
