variant,group,gd_n,rd_n,group_median_rd_OR,nonneuronal_median_rd_OR,mwu_p_greater,n_types_rd_fdr_sig_total
v7,neuronal9,1214,293,3.224,1.098,1.906e-06,50
v7,brain_neurons3,1214,293,3.495,1.098,1.575e-03,50
v7,retinal_neurons6,1214,293,2.178,1.098,1.344e-04,50
loo_brain,neuronal9,1099,613,2.777,1.145,2.293e-06,62
loo_brain,brain_neurons3,1099,613,3.154,1.145,1.889e-06,62
loo_brain,retinal_neurons6,1099,613,2.169,1.145,1.249e-05,62
loo_tau,neuronal9,1339,148,5.346,2.288,2.631e-05,139
loo_tau,brain_neurons3,1339,148,6.345,2.288,1.889e-06,139
loo_tau,retinal_neurons6,1339,148,3.372,2.288,8.895e-04,139
loo_campra,neuronal9,1020,800,2.375,1.045,4.571e-06,51
loo_campra,brain_neurons3,1020,800,2.708,1.045,1.889e-06,51
loo_campra,retinal_neurons6,1020,800,1.896,1.045,5.533e-05,51
loo_double,neuronal9,1207,403,4.863,2.156,4.571e-06,147
loo_double,brain_neurons3,1207,403,5.658,2.156,1.575e-03,147
loo_double,retinal_neurons6,1207,403,3.971,2.156,3.188e-04,147
