gene_id,gene_symbol,classification_loo_brain,prenatal_mean,postnatal_mean,ratio
ENSG00000000460,FIRRM,neutral,0.5475728227848102,1.4343639756097561,0.3817530501991546
ENSG00000000971,CFH,neutral,5.386734641350211,7.4314234459930315,0.7248590637443353
ENSG00000001084,GCLC,regulation-driven,26.080859223628693,5.441327878048781,4.793105618362607
ENSG00000001167,NFYA,neutral,1.136933582278481,2.776961989547038,0.40941632854828197
ENSG00000001561,ENPP4,neutral,8.497401569620253,1.734843,4.898081019216295
ENSG00000002745,WNT16,neutral,6.139137805907173,4.1036640592334495,1.4960137373072255
ENSG00000002822,MAD1L1,neutral,74.30687400000001,38.40818869337979,1.9346622823900017
ENSG00000003056,M6PR,gene-driven,8.112664818565401,2.6086490836236935,3.1099103629898885
ENSG00000003400,CASP10,neutral,1.1750783544303796,1.4762697735191639,0.7959780627555642
ENSG00000003436,TFPI,neutral,2.8394822827004216,3.0397293867595816,0.9341233779127202
ENSG00000003987,MTMR7,gene-driven,0.5220352531645569,1.3510937770034843,0.38637973325756103
ENSG00000003989,SLC7A2,regulation-driven,82.23816440084387,90.11361133101045,0.9126053565732924
ENSG00000004059,ARF5,neutral,13.092696565400843,6.621625818815331,1.9772631259528413
ENSG00000004142,POLDIP2,neutral,6.83038053586498,7.778489411149826,0.8781114397448675
ENSG00000004455,AK2,neutral,0.22913699578059074,0.7856044076655052,0.2916696922074204
ENSG00000004700,RECQL,gene-driven,6.100306101265821,5.39772781184669,1.1301618595656386
ENSG00000004799,PDK4,neutral,0.02379281856540084,0.015997216027874565,1.487309949677664
ENSG00000004846,ABCB5,neutral,11.473485506329114,3.8633460000000004,2.969831204952679
ENSG00000004866,ST7,regulation-driven,8.76013628691983,8.138163773519164,1.0764266400517162
ENSG00000004948,CALCR,neutral,4.735420848101266,8.254526010452961,0.5736756831469979
ENSG00000005001,PRSS22,gene-driven,17.096372206751056,13.622550606271778,1.2550052263252331
ENSG00000005108,THSD7A,regulation-driven,4.65757483122363,2.217283905923345,2.1005766644412067
ENSG00000005156,LIG3,neutral,4.9647329704641345,4.0507469442508715,1.2256339482056418
ENSG00000005238,ATOSB,gene-driven,1.3473786793248945,4.720653930313588,0.28542204093223783
ENSG00000005249,PRKAR2B,neutral,5.102493426160338,4.012043512195121,1.271794139482948
ENSG00000005448,WDR54,neutral,1.3905764725738399,1.9486183867595819,0.7136217547891831
ENSG00000005469,CROT,neutral,0.1699472151898734,0.09497745296167247,1.789342732305682
ENSG00000005486,RHBDD2,gene-driven,13.164703109704643,23.76593581533101,0.5539316108567588
ENSG00000005700,IBTK,neutral,7.717918548523206,2.5076576062717773,3.0777401704364684
ENSG00000005812,FBXL3,neutral,0.16295321097046414,0.27179979094076656,0.5995339820036013
ENSG00000005981,ASB4,neutral,20.50992918565401,37.41642913937282,0.5481530348408281
ENSG00000006042,TMEM98,gene-driven,1.0305115949367087,0.9187802020905924,1.1216084027408109
ENSG00000006128,TAC1,neutral,9.032006016877638,5.97474550174216,1.5116971951766012
ENSG00000006194,ZNF263,neutral,9.08381993670886,68.198755271777,0.13319627169893608
ENSG00000006377,DLX6,gene-driven,3.2884014219409283,3.874425599303136,0.8487455334107818
ENSG00000006432,MAP3K9,regulation-driven,32.94297739240506,17.381863379790943,1.8952500472824034
ENSG00000006453,BAIAP2L1,neutral,2.560504421940928,2.1901387351916375,1.169106039173762
ENSG00000006530,AGK,gene-driven,0.13129386075949367,0.3639765052264808,0.36072070277667334
ENSG00000006555,TTC22,neutral,3.981544417721519,1.9656793728222997,2.0255309552365417
ENSG00000006715,VPS41,dual-driven,7.25425158227848,26.833318540069687,0.2703449285054267
ENSG00000006831,ADIPOR2,neutral,8.547290265822785,8.149409491289198,1.048823264429021
ENSG00000007171,NOS2,gene-driven,0.20991481856540087,0.3336482055749129,0.6291501499421953
ENSG00000007216,SLC13A2,gene-driven,33.59367106329114,66.41637271777003,0.5058040613877576
ENSG00000007341,ST7L,gene-driven,3.9783116202531645,0.07855070383275262,50.646415959857535
ENSG00000007402,CACNA2D2,neutral,6.38774700421941,14.915013529616724,0.4282763130945385
ENSG00000007866,TEAD3,gene-driven,0.36126100843881864,0.22381845644599302,1.6140805104961944
ENSG00000007908,SELE,neutral,10.112524940928271,10.197467864111498,0.9916701945703431
ENSG00000007944,MYLIP,gene-driven,0.16575464135021098,0.1902311533101045,0.8713327889044901
ENSG00000007968,E2F2,neutral,36.46328987763713,32.04421466550523,1.137905555129392
ENSG00000008018,PSMB1,neutral,32.20824970464135,137.24213359233448,0.2346819366734204
ENSG00000008083,JARID2,regulation-driven,4.7007598438818565,5.4946646968641115,0.8555135032288051
ENSG00000008118,CAMK1G,regulation-driven,1.9302143544303798,1.6925672090592334,1.1404063272047176
ENSG00000008197,TFAP2D,neutral,1.1627307383966246,2.158046209059233,0.5387886197782109
ENSG00000008256,CYTH3,neutral,4.71654711392405,11.441089080139374,0.41224634131304166
ENSG00000008323,PLEKHG6,neutral,11.824425392405063,10.58621225783972,1.116964699404017
ENSG00000008394,MGST1,neutral,7.6868003080168785,3.2239167351916374,2.384304850094076
ENSG00000008405,CRY1,neutral,0.1078176371308017,0.40489988850174213,0.2662822099797585
ENSG00000008516,MMP25,gene-driven,0.8574381392405065,1.5904705156794423,0.5391097356333026
ENSG00000008952,SEC62,gene-driven (relaxed),105.48519371729958,45.4991233728223,2.3184005734121107
ENSG00000009709,PAX7,regulation-driven,0.7538830253164557,0.7661797526132405,0.983950597422023
ENSG00000009724,MASP2,neutral,0.004973962025316456,0.018341850174216027,0.2711810410657797
ENSG00000009765,IYD,neutral,2.2524366202531643,2.169838888501742,1.038066297082755
ENSG00000009780,FAM76A,gene-driven,0.13180371729957804,0.20649331358885017,0.6382953278671921
ENSG00000009790,TRAF3IP3,gene-driven,1.9534704219409282,2.31349375261324,0.8443811096245053
ENSG00000009844,VTA1,gene-driven,0.08521959071729959,2.0591460801393726,0.041385888810536224
ENSG00000009954,BAZ1B,neutral,17.040372911392407,19.384846466898953,0.8790563773868466
ENSG00000010017,RANBP9,neutral,0.023101573839662447,0.18345448780487805,0.1259253677360744
ENSG00000010072,SPRTN,neutral,8.634779544303797,7.223368585365854,1.1953951182551286
ENSG00000010165,METTL13,neutral,1.0779330506329114,1.8489537177700348,0.5829962320165444
ENSG00000010244,ZNF207,gene-driven,45.516760489451485,56.36143665156794,0.8075869458552071
ENSG00000010256,UQCRC1,neutral,13.698718814345991,9.780873243902438,1.4005619409172902
ENSG00000010278,CD9,gene-driven,0.26398951054852327,14.41758133449477,0.01831024943947536
ENSG00000010295,IFFO1,neutral,0.05968797468354431,0.2816539756097561,0.21191951774983858
ENSG00000010322,NISCH,neutral,1.8678382025316458,1.2439636132404182,1.5015215739840557
ENSG00000010539,ZNF200,gene-driven,1.3740531561181435,2.6136909337979097,0.5257137094329398
ENSG00000010704,HFE,neutral,9.94852776793249,7.0112795087108015,1.4189318448326664
ENSG00000010803,SCMH1,neutral,31.965628455696198,20.70754205923345,1.5436708212041415
ENSG00000011007,ELOA,neutral,10.795393371308016,6.665309459930314,1.6196387333861137
ENSG00000011021,CLCN6,gene-driven,4.406642447257384,2.225730432055749,1.9798635017931085
ENSG00000011083,SLC6A7,regulation-driven,7.946023928270042,8.037313630662021,0.9886417643273602
ENSG00000011114,BTBD7,regulation-driven,3.112394573839662,2.23484706271777,1.3926655768805574
ENSG00000011376,LARS2,gene-driven,3.203472476793249,4.468588857142857,0.7168868247237893
ENSG00000011405,PIK3C2A,regulation-driven,1.7484246075949368,1.1644278606271776,1.501531066641784
ENSG00000011465,DCN,regulation-driven,2.843344603375528,4.244815292682927,0.6698394175776722
ENSG00000012171,SEMA3B,gene-driven,3.635088244725738,2.7245724808362373,1.3341866550784662
ENSG00000012232,EXTL3,gene-driven,0.0305043670886076,0.025614296167247388,1.190911781820227
ENSG00000012660,ELOVL5,neutral,0.25153658649789035,0.85497393728223,0.29420380613877967
ENSG00000012779,ALOX5,regulation-driven,2.324653345991561,1.953660132404181,1.1898964960352825
ENSG00000012822,CALCOCO1,gene-driven,18.650048105485233,17.12403418815331,1.0891153276479466
ENSG00000012963,UBR7,neutral,5.721376253164556,3.2207252752613242,1.7764248000631886
ENSG00000013016,EHD3,regulation-driven,49.80213118987342,43.09535438327525,1.1556264451836364
ENSG00000013293,SLC7A14,regulation-driven,2.4770403164556964,20.881075435540073,0.11862608916395737
ENSG00000013297,CLDN11,neutral,29.772397755274266,24.083998167247383,1.2361900025288461
ENSG00000013374,NUB1,gene-driven,5.641494253164557,3.815834986062718,1.4784429289447873
ENSG00000013392,RWDD2A,neutral,15.07508593248945,8.865216393728224,1.70047579923198
ENSG00000013441,CLK1,neutral,3.8268166582278487,2.6110152090592336,1.4656431892660926
ENSG00000013561,RNF14,neutral,1.9321533080168776,3.419941055749129,0.5649668449018471
ENSG00000013583,HEBP1,gene-driven,0.136443194092827,0.0896570418118467,1.5218346639092246
ENSG00000013810,TACC3,neutral,3.5898497130801688,5.059296930313589,0.7095550552826834
ENSG00000014123,UFL1,neutral,2.3187276286919833,1.2851222090592334,1.8042857032168131
ENSG00000014138,POLA2,gene-driven,6.967290679324894,3.8118401916376308,1.8278024075116404
ENSG00000014164,ZC3H3,gene-driven,14.688565983122363,10.516075951219511,1.3967725272485298
ENSG00000014257,ACP3,neutral,27.778131075949364,90.38562039721253,0.3073290967509477
