threshold,variant,cell_type_class,n_types,rd_OR,rd_fdr,rank
top10,v7,blood and immune cells,22,1.4436,0.04279339107595744,10
top10,v7,ciliated cells,7,1.9904,0.00014490694521554086,6
top10,v7,endocrine cells,10,3.0394,2.344690548576697e-11,3
top10,v7,endothelial and mural cells,4,2.3419,1.0145021596924195e-06,5
top10,v7,germ cells,7,0.5151,0.998561397577242,14
top10,v7,glandular epithelial cells,22,1.2282,0.20153381901388145,12
top10,v7,glial cells,8,3.7739,1.237983620086378e-16,2
top10,v7,mesenchymal cells,9,1.7489,0.002133724132755465,8
top10,v7,muscle cells,3,2.5438,7.75271385686508e-08,4
top10,v7,neuronal cells,9,4.8917,9.612285613295772e-25,1
top10,v7,pigment cells,2,1.8695,0.001397291284550168,7
top10,v7,specialized epithelial cells,38,1.6696,0.004510019564348896,9
top10,v7,squamous epithelial cells,3,0.6027,0.998561397577242,13
top10,v7,stem and proliferating cells,6,1.2814,0.1566938501992024,11
top10,v7,trophoblast cells,4,0.4849,0.998561397577242,15
top10,loo_brain,blood and immune cells,22,1.3291,0.03254427590218752,10
top10,loo_brain,ciliated cells,7,1.7621,2.7752570874476283e-05,6
top10,loo_brain,endocrine cells,10,2.6098,3.032984256835407e-14,3
top10,loo_brain,endothelial and mural cells,4,1.7552,2.7752570874476283e-05,7
top10,loo_brain,germ cells,7,0.6457,0.9998985087689741,13
top10,loo_brain,glandular epithelial cells,22,1.0022,0.6462870233180725,12
top10,loo_brain,glial cells,8,2.9965,9.880951922812052e-19,2
top10,loo_brain,mesenchymal cells,9,1.7006,5.961285520710506e-05,8
top10,loo_brain,muscle cells,3,2.3151,9.61981247537427e-11,4
top10,loo_brain,neuronal cells,9,3.7356,1.3499296638338186e-27,1
top10,loo_brain,pigment cells,2,1.7664,5.961285520710506e-05,5
top10,loo_brain,specialized epithelial cells,38,1.6947,5.961285520710506e-05,9
top10,loo_brain,squamous epithelial cells,3,0.5367,0.9998985087689741,14
