gene_id,status,n_codons,n_cpg_sites_human,n_masked_codons,frac_codons_masked
ENSG00000211973,ok,120,12,15,0.125
ENSG00000214128,ok,422,57,74,0.17536
ENSG00000074276,ok,4840,343,471,0.09731
ENSG00000169247,ok,6286,307,396,0.063
ENSG00000109182,ok,2001,54,75,0.03748
ENSG00000189410,ok,1423,174,228,0.16022
ENSG00000106367,ok,699,74,93,0.13305
ENSG00000161638,ok,4764,148,202,0.0424
ENSG00000143125,ok,334,13,17,0.0509
ENSG00000237289,ok,2979,285,364,0.12219
ENSG00000169245,ok,179,3,5,0.02793
ENSG00000204979,ok,598,18,22,0.03679
ENSG00000164603,ok,929,39,48,0.05167
ENSG00000113790,ok,1481,80,109,0.0736
ENSG00000197780,ok,393,19,25,0.06361
ENSG00000198246,ok,2633,239,312,0.1185
ENSG00000203837,ok,957,15,18,0.01881
ENSG00000176697,ok,3755,368,447,0.11904
ENSG00000135913,ok,7294,146,199,0.02728
ENSG00000143748,ok,6754,306,418,0.06189
ENSG00000114491,ok,1644,155,209,0.12713
ENSG00000136943,ok,2541,189,235,0.09248
ENSG00000140545,ok,3586,523,657,0.18321
ENSG00000114124,ok,1201,118,150,0.1249
ENSG00000119402,ok,3514,98,128,0.03643
ENSG00000197894,ok,1744,48,65,0.03727
ENSG00000116745,ok,1994,21,29,0.01454
ENSG00000163875,ok,2059,104,123,0.05974
ENSG00000168594,ok,4856,150,191,0.03933
ENSG00000070087,ok,1793,227,305,0.17011
ENSG00000196547,ok,8456,831,1069,0.12642
ENSG00000152402,ok,7421,176,226,0.03045
ENSG00000115041,ok,1131,86,101,0.0893
ENSG00000188199,ok,3609,136,170,0.0471
ENSG00000168077,ok,4243,115,138,0.03252
ENSG00000113361,ok,1773,106,143,0.08065
ENSG00000177301,ok,4366,247,344,0.07879
ENSG00000177910,ok,3654,135,191,0.05227
ENSG00000144746,ok,465,66,83,0.17849
ENSG00000165494,ok,6688,313,453,0.06773
ENSG00000007171,ok,6615,403,523,0.07906
ENSG00000144647,ok,4060,539,735,0.18103
ENSG00000019505,ok,959,66,81,0.08446
ENSG00000146574,ok,1109,78,87,0.07845
ENSG00000166086,ok,1749,83,109,0.06232
ENSG00000166477,ok,2986,87,107,0.03583
ENSG00000204021,ok,576,14,18,0.03125
ENSG00000155463,ok,2940,179,253,0.08605
ENSG00000173369,ok,2934,280,368,0.12543
ENSG00000183560,ok,775,53,68,0.08774
ENSG00000153294,ok,7188,92,128,0.01781
ENSG00000138834,ok,8159,1121,1415,0.17343
ENSG00000175197,ok,1040,59,70,0.06731
ENSG00000065357,ok,6460,296,394,0.06099
ENSG00000164794,ok,1480,129,169,0.11419
ENSG00000064886,ok,3223,90,117,0.0363
ENSG00000069956,ok,4538,113,155,0.03416
ENSG00000170044,ok,2082,76,99,0.04755
ENSG00000151532,ok,1160,80,106,0.09138
ENSG00000030419,ok,4533,162,212,0.04677
ENSG00000168209,ok,662,118,145,0.21903
ENSG00000107404,ok,3495,434,526,0.1505
ENSG00000089775,ok,1054,35,48,0.04554
ENSG00000174004,ok,2794,98,139,0.04975
ENSG00000185860,ok,956,21,29,0.03033
ENSG00000095574,ok,1212,41,53,0.04373
ENSG00000100889,ok,4196,379,534,0.12726
ENSG00000116489,ok,858,18,23,0.02681
ENSG00000180878,ok,436,27,33,0.07569
ENSG00000198478,ok,127,10,13,0.10236
ENSG00000254772,ok,1019,42,63,0.06183
ENSG00000155754,ok,3812,131,185,0.04853
ENSG00000114767,ok,1075,67,86,0.08
ENSG00000115307,ok,1077,92,123,0.11421
ENSG00000203985,ok,778,73,87,0.11183
ENSG00000146476,ok,1659,25,38,0.02291
ENSG00000262655,ok,2892,105,124,0.04288
ENSG00000256453,ok,505,70,89,0.17624
ENSG00000065243,ok,7941,113,154,0.01939
ENSG00000087116,ok,5736,827,1054,0.18375
ENSG00000171551,ok,8379,366,465,0.0555
ENSG00000135312,ok,391,63,84,0.21483
ENSG00000160050,ok,931,59,79,0.08485
ENSG00000115839,ok,5724,229,301,0.05259
ENSG00000179639,ok,855,17,24,0.02807
ENSG00000196378,ok,1534,104,152,0.09909
ENSG00000118298,ok,1741,41,59,0.03389
ENSG00000167525,ok,1616,96,127,0.07859
ENSG00000135775,ok,3413,151,193,0.05655
ENSG00000110218,ok,942,77,97,0.10297
ENSG00000164175,ok,1906,107,133,0.06978
ENSG00000134825,ok,374,32,51,0.13636
ENSG00000219626,ok,1875,23,29,0.01547
ENSG00000141068,ok,4942,510,649,0.13132
ENSG00000158869,ok,267,11,15,0.05618
ENSG00000065135,ok,912,21,26,0.02851
ENSG00000171357,ok,305,27,39,0.12787
ENSG00000135100,ok,5261,426,556,0.10568
ENSG00000109851,ok,759,87,112,0.14756
ENSG00000164187,ok,972,24,31,0.03189
ENSG00000174775,ok,1406,226,282,0.20057
ENSG00000134202,ok,915,47,68,0.07432
ENSG00000013374,ok,3042,219,291,0.09566
ENSG00000171723,ok,7000,205,266,0.038
ENSG00000139718,ok,7938,1011,1263,0.15911
ENSG00000164548,ok,992,84,113,0.11391
ENSG00000241644,ok,628,62,77,0.12261
ENSG00000134882,ok,1600,89,122,0.07625
ENSG00000196189,ok,4537,337,421,0.09279
ENSG00000176402,ok,793,23,31,0.03909
ENSG00000203943,ok,844,41,55,0.06517
ENSG00000118094,ok,2887,89,120,0.04157
ENSG00000180198,ok,4588,414,562,0.12249
ENSG00000139233,ok,242,8,10,0.04132
ENSG00000168246,ok,957,20,30,0.03135
ENSG00000018280,ok,2946,131,180,0.0611
ENSG00000188620,ok,502,122,151,0.3008
ENSG00000206199,ok,1436,46,62,0.04318
ENSG00000146433,ok,1494,97,123,0.08233
ENSG00000134955,ok,2285,125,156,0.06827
ENSG00000174564,ok,624,37,49,0.07853
ENSG00000132768,ok,1936,190,239,0.12345
ENSG00000073598,ok,384,23,30,0.07812
ENSG00000164808,ok,5261,319,426,0.08097
ENSG00000145428,ok,835,80,97,0.11617
ENSG00000134086,ok,1076,280,337,0.3132
ENSG00000147912,ok,3653,157,202,0.0553
ENSG00000170893,ok,537,65,92,0.17132
ENSG00000114790,ok,4610,375,468,0.10152
ENSG00000196482,ok,7567,590,783,0.10348
ENSG00000156574,ok,635,63,77,0.12126
ENSG00000278570,ok,1348,151,192,0.14243
ENSG00000160908,ok,1722,176,220,0.12776
ENSG00000081800,ok,2354,39,47,0.01997
ENSG00000174514,ok,3704,244,323,0.0872
ENSG00000179388,ok,1009,187,244,0.24182
ENSG00000164530,ok,1880,161,215,0.11436
ENSG00000035403,ok,4336,206,269,0.06204
ENSG00000110042,ok,2268,128,160,0.07055
ENSG00000162692,ok,5173,109,155,0.02996
ENSG00000152154,ok,958,69,87,0.09081
ENSG00000116001,ok,2599,91,124,0.04771
ENSG00000144771,ok,828,40,52,0.0628
ENSG00000116863,ok,1479,47,64,0.04327
ENSG00000054116,ok,1147,73,105,0.09154
ENSG00000184305,ok,3509,122,167,0.04759
ENSG00000132424,ok,5322,278,358,0.06727
ENSG00000175137,ok,1865,73,91,0.04879
ENSG00000151881,ok,1007,53,70,0.06951
ENSG00000143858,ok,2126,66,91,0.0428
ENSG00000166886,ok,1866,119,150,0.08039
ENSG00000155755,ok,2228,68,91,0.04084
ENSG00000133678,ok,850,46,56,0.06588
ENSG00000205707,ok,547,19,20,0.03656
ENSG00000111110,ok,2236,64,82,0.03667
ENSG00000180219,ok,262,18,25,0.09542
ENSG00000177791,ok,350,16,19,0.05429
ENSG00000169814,ok,5620,314,463,0.08238
ENSG00000136270,ok,5400,312,421,0.07796
ENSG00000178860,ok,317,57,73,0.23028
ENSG00000163382,ok,3201,462,605,0.189
ENSG00000146352,ok,679,33,45,0.06627
ENSG00000139405,ok,872,111,141,0.1617
ENSG00000215021,ok,2442,315,403,0.16503
ENSG00000153179,ok,917,52,77,0.08397
ENSG00000102678,ok,641,22,28,0.04368
ENSG00000156966,ok,873,80,107,0.12257
ENSG00000157927,ok,2283,318,403,0.17652
ENSG00000139131,ok,830,127,159,0.19157
ENSG00000113525,ok,340,6,9,0.02647
ENSG00000185305,ok,2230,21,27,0.01211
ENSG00000168275,ok,426,39,55,0.12911
ENSG00000181754,ok,986,80,106,0.10751
ENSG00000184500,ok,4760,203,274,0.05756
ENSG00000214336,ok,722,109,140,0.19391
ENSG00000205436,ok,2718,661,803,0.29544
ENSG00000158882,ok,966,72,94,0.09731
ENSG00000136689,ok,1629,98,160,0.09822
ENSG00000168303,ok,245,34,45,0.18367
ENSG00000107831,ok,1164,232,300,0.25773
ENSG00000058804,ok,3128,23,27,0.00863
ENSG00000135063,ok,2342,183,238,0.10162
ENSG00000164754,ok,5323,219,307,0.05767
ENSG00000183090,ok,9530,160,203,0.0213
ENSG00000078295,ok,7385,142,177,0.02397
ENSG00000148308,ok,3058,344,441,0.14421
ENSG00000004700,ok,3630,92,126,0.03471
ENSG00000149575,ok,604,36,47,0.07781
ENSG00000112210,ok,705,17,22,0.03121
ENSG00000146151,ok,2043,106,137,0.06706
ENSG00000112245,ok,877,62,82,0.0935
ENSG00000163581,ok,1608,26,34,0.02114
ENSG00000113430,ok,3321,882,1075,0.3237
ENSG00000181634,ok,895,22,27,0.03017
ENSG00000164591,ok,865,149,190,0.21965
ENSG00000174358,ok,2974,167,218,0.0733
ENSG00000115137,ok,538,46,62,0.11524
ENSG00000183283,ok,1387,54,70,0.05047
ENSG00000164458,ok,1665,243,309,0.18559
ENSG00000104237,ok,7638,220,290,0.03797
ENSG00000189043,ok,107,5,6,0.05607
ENSG00000050130,ok,1839,89,120,0.06525
ENSG00000162819,ok,2104,49,67,0.03184
ENSG00000109906,ok,7437,929,1255,0.16875
ENSG00000100802,ok,4058,259,339,0.08354
ENSG00000174945,ok,1616,228,286,0.17698
ENSG00000183049,ok,1918,82,115,0.05996
ENSG00000137161,ok,1477,27,39,0.0264
ENSG00000142606,ok,6188,317,412,0.06658
ENSG00000110395,ok,4270,290,413,0.09672
ENSG00000196781,ok,7343,218,283,0.03854
ENSG00000163781,ok,6672,124,163,0.02443
ENSG00000205835,ok,958,17,25,0.0261
ENSG00000137807,ok,7957,382,509,0.06397
ENSG00000165006,ok,3396,143,183,0.05389
ENSG00000176101,ok,198,34,44,0.22222
ENSG00000186106,ok,1882,103,140,0.07439
ENSG00000100628,ok,3915,457,573,0.14636
ENSG00000173715,ok,4114,232,299,0.07268
ENSG00000162650,ok,4810,344,445,0.09252
ENSG00000148926,ok,1303,268,330,0.25326
ENSG00000198398,ok,349,7,8,0.02292
ENSG00000179256,ok,225,6,8,0.03556
ENSG00000144655,ok,2605,104,126,0.04837
ENSG00000138669,ok,3230,92,127,0.03932
ENSG00000135916,ok,2311,277,367,0.15881
ENSG00000090054,ok,3162,234,307,0.09709
ENSG00000137261,ok,5428,300,392,0.07222
ENSG00000164007,ok,1098,84,102,0.0929
ENSG00000198843,ok,655,40,51,0.07786
ENSG00000149485,ok,3742,234,304,0.08124
ENSG00000100504,ok,5478,201,253,0.04618
ENSG00000099260,ok,2510,29,37,0.01474
ENSG00000164363,ok,2063,102,127,0.06156
ENSG00000143889,ok,4818,323,410,0.0851
ENSG00000165632,ok,4886,181,227,0.04646
ENSG00000096654,ok,3658,54,76,0.02078
ENSG00000106723,ok,859,19,26,0.03027
ENSG00000116353,ok,1092,89,109,0.09982
ENSG00000171488,ok,2371,41,52,0.02193
ENSG00000204104,ok,3375,152,195,0.05778
ENSG00000085871,ok,697,39,53,0.07604
ENSG00000240247,ok,132,7,8,0.06061
ENSG00000106483,ok,974,65,82,0.08419
ENSG00000176029,ok,1569,52,69,0.04398
ENSG00000177669,ok,559,27,37,0.06619
ENSG00000135824,ok,1362,73,96,0.07048
ENSG00000077152,ok,1031,31,44,0.04268
ENSG00000151694,ok,5777,330,436,0.07547
ENSG00000119718,ok,1271,93,119,0.09363
ENSG00000162711,ok,9282,716,949,0.10224
ENSG00000146216,ok,6384,356,474,0.07425
