gene_id,gene_symbol,cds_length,classification_v7,busted_p,busted_lrt,bh_fdr,bh_fdr_sig,storey_q,storey_sig,relax_K,relax_p,relax_fdr_sig,has_relax_active,relax_intensified,relax_relaxed,has_selectome,n_hars,has_doan_campra,tau,brain_tau,phyloP_cds,phyloP_gene,phastCons_cds,phastCons_gene,nc_conservation,gds_p_pct_resid,gds_lrt_pct_resid,gds_relax_pct,gds_selectome,gds_v7,rds_doan,rds_tau,rds_nc,rds_brain,rds_v7,classification_loo_campra,classification_loo_tau,rds_v7_no_brain,classification_loo_brain,gtex_Blood,gtex_Brain,gtex_Adipose Tissue,gtex_Muscle,gtex_Blood Vessel,gtex_Heart,gtex_Thyroid,gtex_Kidney,gtex_Uterus,gtex_Vagina,gtex_Breast,gtex_Skin,gtex_Salivary Gland,gtex_Adrenal Gland,gtex_Lung,gtex_Spleen,gtex_Pancreas,gtex_Esophagus,gtex_Stomach,gtex_Colon,gtex_Small Intestine,gtex_Prostate,gtex_Testis,gtex_Nerve,gtex_Liver,gtex_Pituitary,gtex_Ovary,gtex_Bladder,gtex_Cervix Uteri,gtex_Fallopian Tube,gtex_v11_tau,omega_max,omega_weighted,omega_positive,proportion_positive,has_positive_selection,bg_omega_max,bg_omega_weighted,hpa_tau_gtex,hpa_tau_hpa,hpa_tau_consensus,hpa_max_tissue_gtex,hpa_max_tissue_hpa,hpa_max_tissue_consensus,hpa_brain_mean_gtex,hpa_non_brain_mean_gtex,hpa_brain_mean_hpa,hpa_non_brain_mean_hpa,hpa_brain_mean_consensus,hpa_non_brain_mean_consensus
ENSG00000000460,FIRRM,228420,neutral,0.5,-0.0009912359673762694,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,True,0,False,0.786029554736761,0.0,2.35254,0.163682,0.699041,0.111047,-2.1888579999999997,0.023321,0.019501,0.500000,1.000000,0.264013,0.000000,0.520708,0.350824,0.000000,0.217883,neutral,neutral,0.272354,neutral,1.297345,0.7925985,2.45554,0.5423614999999999,2.30185,0.607347,2.97201,0.686445,4.24176,3.40726,2.78146,2.50268,2.02102,1.43015,2.161,2.82252,0.6576420000000001,2.059705,1.46321,2.194265,2.30423,2.63272,10.81255,4.978395,0.890374,2.05756,4.05055,2.84184,4.14649,3.79309,0.786029554736761,1.483549788411421,0.8796640098066617,1.483549788411421,0.2190379324457638,True,5.897005465198849,1.869707524025482,0.7514367816091954,0.7698818897637795,0.793268488497761,testis,parathyroid gland,parathyroid gland,1.4444444444444444,1.4407407407407409,0.8,3.0342105263157895,1.39,2.926829268292683
ENSG00000000971,CFH,36990,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.7997537402523366,0.292,0.669615,-0.030023,0.345588,0.060283,-0.699638,0.502614,0.397668,0.500000,0.000000,0.395215,0.000000,0.535585,0.100121,0.996180,0.358162,neutral,neutral,0.198658,neutral,0.246979,2.7294799999999997,59.8698,4.674799999999999,146.923,24.3136,82.4727,5.21558,6.97335,12.6863,33.52765,27.0657,67.3966,16.6106,50.13475,6.04532,2.06607,22.61185,13.7616,13.61175,27.2,14.280149999999999,5.29316,116.28450000000001,170.63549999999998,7.54731,113.102,79.6289,11.5267,17.1043,0.7997537402523366,3182.98770079415,2726.4478620458385,3182.98770079415,0.8565649977040355,True,9999.999999999984,6577.774760356296,0.8960632818248713,0.9494277336360198,0.9486076181008412,liver,liver,liver,9.31111111111111,91.06296296296298,46.8,81.95526315789475,17.080000000000002,97.209756097561
ENSG00000001084,GCLC,105990,neutral,0.4947548645349308,0.0210913633563905,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.5409294421128447,0.0,4.900993,0.161884,0.925938,0.074517,-4.739109,0.152996,0.113792,0.500000,0.000000,0.187686,0.000000,0.245678,0.930639,0.000000,0.294079,regulation-driven,neutral,0.367599,regulation-driven,4.60553,9.66487,14.6167,4.598269999999999,8.01062,4.2966,20.0309,6.03752,11.4768,22.306350000000002,14.8479,11.2598,13.526,12.4882,11.78465,25.9421,5.9451350000000005,19.945149999999998,15.5398,17.29005,22.3229,22.1553,9.07844,12.36825,21.95595,9.62325,10.9204,29.061,12.4248,11.8282,0.5409294421128447,8.356708533273355,1.216892749048852,8.356708533273355,0.02948230829968002,True,3.401268604457649,1.5013543324718568,0.674953095684803,0.8203586497890296,0.834077934971457,liver,liver,liver,15.711111111111112,17.862962962962964,21.25,25.771052631578947,17.0,25.202439024390245
ENSG00000001167,NFYA,45220,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.7268987523775664,0.0,5.576814,0.451058,0.944741,0.123168,-5.125756,0.427021,0.336952,0.500000,0.000000,0.350543,0.000000,0.451950,0.974869,0.000000,0.356705,neutral,neutral,0.445881,neutral,19.66735,9.801005,14.3366,5.55366,11.848,4.88518,24.508699999999997,6.33478,20.4168,14.07875,15.599599999999999,13.11,10.8132,9.81974,17.49335,16.2359,5.43419,10.3575,9.75054,10.0088,12.2525,13.621649999999999,49.37405,17.969,5.99493,15.0685,25.7939,13.4561,19.3106,17.5185,0.7268987523775664,1.0,0.40211059869351173,0.0,0.0,False,2838.116879161386,5.187829016156498,0.6692528735632185,0.6511049723756906,0.6661791788538617,testis,bone marrow,bone marrow,10.155555555555557,9.403703703703703,9.3,12.805263157894734,10.24,12.534146341463414
ENSG00000001561,ENPP4,18920,neutral,0.5,-0.001453042103094049,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.6782585402524816,0.0,3.078381,1.07874,0.722023,0.271717,-1.9996409999999998,0.699035,0.573985,0.500000,0.000000,0.516858,0.000000,0.400483,0.314435,0.000000,0.178729,neutral,neutral,0.223412,neutral,4.028085,12.7756,19.2332,15.252099999999999,34.081,9.10842,15.4678,8.213,5.11434,3.778785,15.20135,3.48056,15.4834,8.70067,24.41935,12.5302,5.98404,11.97645,12.1462,12.53565,11.8154,10.3731,11.615549999999999,19.7543,4.0233799999999995,18.3982,3.71245,11.0641,3.91386,7.89331,0.6782585402524816,8.266919509851668,0.5366211526646182,8.266919509851668,0.06485538115525973,True,33.07707751853964,2.566588376947014,0.7533266799733864,0.6752785515320333,0.6678136435632751,spinal cord,bone marrow,bone marrow,13.655555555555557,6.433333333333334,11.700000000000001,11.655263157894737,13.629999999999999,11.509756097560976
ENSG00000002745,WNT16,33960,neutral,0.5,-0.001411340987033327,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.923871424360564,0.0,3.366487,0.695904,0.708429,0.234956,-2.6705829999999997,0.529152,0.421190,0.500000,0.000000,0.411560,0.000000,0.726176,0.467230,0.000000,0.298351,neutral,neutral,0.372939,neutral,0.20635350000000002,0.23247,0.156141,0.044195,0.121292,0.038609,0.182759,0.116183,0.171838,3.6949050000000003,0.0723175,5.06431,0.097411,0.088555,0.397567,1.06754,0.06456400000000001,0.1990425,0.168449,0.498813,0.619588,0.8261805,0.21826250000000003,0.1841525,0.1029465,0.346716,0.095278,0.12168,0.820703,0.226111,0.923871424360564,7.862397486651834,0.9220408972631065,7.862397486651834,0.0,True,2.810212433473693,0.423562594361269,0.9075396825396825,0.9569587628865979,0.9570446735395187,skin,skin,skin,0.2888888888888889,0.7666666666666665,0.4,0.8578947368421052,0.32,0.9585365853658536
ENSG00000002822,MAD1L1,155650,neutral,2.541983650239388e-07,28.98400745910476,1.0589469578132928e-06,True,1.058947e-06,True,0.8865965565835443,0.7862096047883412,False,True,False,False,False,1,True,0.6476707366512602,0.0,2.762151,-0.225753,0.794456,0.047089,-2.987904,0.138319,0.538601,0.443298,0.000000,0.298652,1.000000,0.368114,0.545034,0.000000,0.528287,neutral,neutral,0.660359,neutral,12.6816,5.28209,6.53695,4.51632,6.53492,3.03557,8.53336,2.6841,9.39834,8.624615,7.233230000000001,10.4639,4.96661,4.11134,8.277955,11.6982,1.6923050000000002,5.58124,3.98945,5.39946,5.79252,7.6212,19.0955,9.13865,3.161975,6.81491,6.8,6.88636,9.73335,7.91868,0.6476707366512602,186.525249977567,2.299159032028588,186.525249977567,0.01032118314294384,True,6.011383559245045,1.8050774874088995,0.5078309692671394,0.6081325301204821,0.5390070921985815,basal ganglia,lymph node,basal ganglia,10.033333333333333,8.992592592592592,5.75,6.544736842105261,9.459999999999999,8.473170731707318
ENSG00000003056,M6PR,49880,gene-driven,4.965699518244548e-09,36.85512895496504,2.299756927723313e-08,True,2.299757e-08,True,0.8727820664884636,0.4578945534800967,False,True,False,False,False,0,False,0.3967050651123699,0.0,3.171159,0.645967,0.804686,0.182868,-2.5251919999999997,0.541013,0.787093,0.436391,0.000000,0.512761,0.000000,0.072376,0.430840,0.000000,0.125804,gene-driven,gene-driven,0.157255,gene-driven,71.8617,20.18365,57.5614,24.76285,62.6451,26.7921,68.42935,23.8162,70.5036,53.408,56.1006,48.8985,56.7076,55.0899,81.54660000000001,83.2942,22.60735,50.30305,38.5685,45.6446,58.2699,44.46695,64.5981,56.48555,13.16425,37.4188,60.8812,63.6551,60.3783,62.5293,0.3967050651123699,9943.68870114567,187.63101669955958,9943.68870114567,0.0187706788685896,True,3.289513460359028,1.3731917182980078,0.4402116402116402,0.42577041602465326,0.4609353756911085,spleen,lymph node,lymph node,46.011111111111106,63.033333333333346,51.1,75.76842105263158,47.37,75.48292682926828
ENSG00000003400,CASP10,165080,neutral,0.004070869650312392,9.621502897098253,0.01267115496912005,True,1.267115e-02,True,0.7042374610413651,0.2632703659534958,False,True,False,False,False,0,False,0.810374457848122,0.0,0.925839,0.184707,0.296743,0.116475,-0.7411319999999999,0.079212,0.161037,0.352119,0.000000,0.146459,0.000000,0.548854,0.106353,0.000000,0.163802,neutral,neutral,0.204752,neutral,13.8991,1.441065,11.5252,1.37663,3.12059,2.55402,9.445910000000001,4.79825,6.12125,8.15072,8.626905,5.44309,6.80581,2.68331,18.99705,33.0452,2.73096,5.832890000000001,5.92498,6.105700000000001,14.3595,5.15658,1.9841250000000001,7.29864,3.55859,1.87811,2.3492,5.02882,6.54883,7.97438,0.810374457848122,24.69994796530894,0.9324772489581548,24.69994796530894,0.03775219487376323,True,4.552110347477411,1.202874823595959,0.7804746494066881,0.6680487804878049,0.6983628402817436,spleen,duodenum,spleen,1.8666666666666667,5.407407407407408,1.8,7.06842105263158,1.9,7.265853658536586
ENSG00000003436,TFPI,67570,gene-driven,3.006842717034885e-07,28.64811574691703,1.2452985574131157e-06,True,1.245299e-06,True,3.692454685987354e-12,0.456579416419488,False,True,False,False,False,0,False,0.8233576714991293,0.0,1.305525,0.027648,0.428488,0.046438,-1.2778770000000002,0.402493,0.707479,0.005000,0.000000,0.354116,0.000000,0.565943,0.184158,0.000000,0.187525,neutral,gene-driven,0.234407,neutral,0.43417799999999995,0.999559,51.87,10.2488,38.9442,11.8885,44.2167,18.7997,30.9628,31.883650000000003,46.734899999999996,18.4867,11.8511,9.7717,133.929,19.6324,4.870405,22.8066,11.0486,18.766,31.6053,15.553,4.09708,43.33815,60.6163,6.22406,21.9041,31.0001,35.5631,31.9507,0.8233576714991293,178359.2769810105,3450.642407639013,178359.2769810105,0.01934108394647864,True,3.408972540928501,2.0062319650234954,0.7952005259697565,0.8608336610302791,0.8747118194505483,liver,liver,liver,2.5444444444444443,31.45555555555556,4.6,37.01052631578946,3.0100000000000002,38.89756097560976
