gene_id,prod_sig,sig_baseline,sig_srv,flip,classification_v7,class_srvYes,gds_v7,rds_v7,relax_relaxed
ENSG00000211973,False,False,False,same,neutral,neutral,0.644421,0.225975,False
ENSG00000214128,False,False,False,same,neutral,neutral,0.571813,0.287495,False
ENSG00000074276,True,True,True,same,gene-driven,gene-driven,0.438593,0.259449,False
ENSG00000169247,False,False,False,same,regulation-driven,regulation-driven,0.133474,0.289154,False
ENSG00000109182,True,True,False,out,gene-driven,neutral,0.518666,0.282821,False
ENSG00000189410,False,False,False,same,neutral,neutral,0.362555,0.248844,False
ENSG00000106367,True,True,False,out,gene-driven,neutral,0.81803,0.260605,False
ENSG00000161638,True,True,False,out,neutral,neutral,0.237422,0.241456,False
ENSG00000143125,True,True,False,out,gene-driven,neutral,0.720577,0.35183,False
ENSG00000237289,True,False,False,same,neutral,neutral,0.417687,0.307801,False
ENSG00000169245,False,False,False,same,neutral,neutral,0.631685,0.193707,False
ENSG00000204979,False,False,False,same,neutral,neutral,0.528438,0.265682,False
ENSG00000164603,True,True,True,same,gene-driven,gene-driven,0.618927,0.233464,False
ENSG00000113790,False,False,False,same,neutral,neutral,0.349236,0.300211,False
ENSG00000197780,True,True,True,same,gene-driven,gene-driven,0.686386,0.236882,False
ENSG00000198246,True,True,True,same,neutral,neutral,0.626055,0.51738,False
ENSG00000203837,False,False,False,same,neutral,neutral,0.448995,0.266586,False
ENSG00000176697,True,True,True,same,neutral,neutral,0.238172,0.135404,False
ENSG00000135913,False,False,False,same,regulation-driven,regulation-driven,0.114536,0.315139,False
ENSG00000143748,False,False,False,same,neutral,neutral,0.13646,0.160786,False
ENSG00000114491,True,True,True,same,gene-driven,gene-driven,0.557513,0.150885,False
ENSG00000136943,True,True,True,same,neutral,neutral,0.323376,0.316898,False
ENSG00000140545,True,True,True,same,neutral,neutral,0.275578,0.307801,False
ENSG00000114124,True,True,True,same,gene-driven,gene-driven,0.567271,0.264174,False
ENSG00000119402,False,False,False,same,neutral,neutral,0.182157,0.259499,False
ENSG00000197894,True,True,True,same,gene-driven,gene-driven,0.534731,0.233263,False
ENSG00000163875,True,True,False,out,neutral,neutral,0.395887,0.307549,False
ENSG00000168594,True,True,True,same,neutral,neutral,0.348904,0.241858,False
ENSG00000070087,True,True,True,same,gene-driven,gene-driven,0.600166,0.304534,False
ENSG00000196547,True,True,True,same,gene-driven,gene-driven,0.808213,0.255629,False
ENSG00000152402,True,True,False,out,neutral,regulation-driven,0.070622,0.345647,True
ENSG00000115041,True,True,True,same,gene-driven,gene-driven,0.833705,0.333685,False
ENSG00000188199,True,True,True,same,gene-driven,gene-driven,0.725659,0.157067,False
ENSG00000168077,True,True,True,same,neutral,neutral,0.223341,0.234821,False
ENSG00000113361,True,True,True,same,gene-driven,gene-driven,0.830911,0.322477,False
ENSG00000177301,False,False,False,same,neutral,neutral,0.16162,0.194562,False
ENSG00000177910,True,True,True,same,neutral,neutral,0.366043,0.252915,False
ENSG00000144746,False,False,False,same,neutral,neutral,0.558042,0.287093,False
ENSG00000165494,True,True,True,same,neutral,neutral,0.25672,0.140682,True
ENSG00000007171,True,True,False,out,gene-driven,neutral,0.686932,0.290209,False
ENSG00000144647,False,False,False,same,neutral,neutral,0.167752,0.122085,False
ENSG00000019505,True,True,True,same,gene-driven,gene-driven,0.820145,0.328458,False
ENSG00000146574,True,True,False,out,gene-driven,neutral,0.482106,0.228488,False
ENSG00000166086,True,True,True,same,gene-driven,gene-driven,0.773382,0.256031,False
ENSG00000166477,False,False,False,same,neutral,neutral,0.19813,0.243667,False
ENSG00000204021,False,False,True,in,neutral,gene-driven,0.531554,0.312374,False
ENSG00000155463,True,True,True,same,gene-driven,gene-driven,0.603342,0.067752,False
ENSG00000173369,False,False,False,same,neutral,neutral,0.213571,0.238038,False
ENSG00000183560,True,True,True,same,gene-driven,gene-driven,0.739395,0.20959,False
ENSG00000153294,True,True,True,same,neutral,neutral,0.313684,0.275483,False
ENSG00000138834,True,True,True,same,gene-driven,gene-driven,0.701072,0.308002,False
ENSG00000175197,True,True,True,same,gene-driven,gene-driven,0.737766,0.082177,False
ENSG00000065357,True,True,False,out,gene-driven,neutral,0.752662,0.247738,False
ENSG00000164794,False,False,False,same,neutral,neutral,0.369522,0.337957,False
ENSG00000064886,True,True,True,same,gene-driven,gene-driven,0.788098,0.449869,False
ENSG00000069956,True,True,True,same,neutral,neutral,0.313123,0.320768,True
ENSG00000170044,True,True,True,same,neutral,neutral,0.383419,0.389727,False
ENSG00000151532,False,False,False,same,neutral,neutral,0.404202,0.248844,False
ENSG00000030419,True,True,True,same,gene-driven,gene-driven,0.686078,0.358916,False
ENSG00000168209,False,False,False,same,neutral,neutral,0.506172,0.149578,False
ENSG00000107404,False,False,False,same,neutral,neutral,0.188018,0.22683,False
ENSG00000089775,False,False,False,same,neutral,neutral,0.415712,0.116858,False
ENSG00000174004,False,False,False,same,neutral,neutral,0.224819,0.191797,False
ENSG00000185860,False,False,False,same,neutral,neutral,0.438239,0.228136,False
ENSG00000095574,False,False,False,same,neutral,neutral,0.391787,0.231856,False
