shao_symbol,shao_ensg,in_universe_symbol_match,in_universe_ensg_match,universe_ensg,universe_symbol,busted_fdr_sig_symbol_match,busted_fdr_sig_ensg_match,classification_v7,note
ZNF507,ENSG00000168813,False,False,,ZNF507,False,False,,
NR2E1,ENSG00000112333,False,False,,NR2E1,False,False,,
WDR73,ENSG00000177082,False,False,,WDR73,False,False,,
IQCE,ENSG00000106012,False,False,,IQCE,False,False,,
C1orf159,ENSG00000131591,False,False,,C1orf159,False,False,,
PPIL4,ENSG00000131013,False,False,,PPIL4,False,False,,
ATAD2,ENSG00000156802,False,False,,ATAD2,False,False,,
NOTCH2,ENSG00000134250,False,False,,NOTCH2,False,False,,
SLC7A6,ENSG00000103064,False,False,,SLC7A6,False,False,,
TG,ENSG00000042832,False,False,,TG,False,False,,
SUGP2,ENSG00000064607,False,False,,SUGP2,False,False,,
RAB1A,ENSG00000138069,False,False,,RAB1A,False,False,,
CST11,ENSG00000125831,False,False,,CST11,False,False,,
GCDH,ENSG00000105607,False,False,,GCDH,False,False,,
HEMGN,ENSG00000136929,True,True,ENSG00000136929,HEMGN,False,False,neutral,
WDFY4,ENSG00000128815,False,False,,WDFY4,False,False,,
GLB1L3,ENSG00000166105,False,False,,GLB1L3,False,False,,
TLN1,ENSG00000137076,True,True,ENSG00000137076,,False,False,regulation-driven,
TAOK3,ENSG00000135090,False,False,,TAOK3,False,False,,
RAI14,ENSG00000039560,False,False,,RAI14,False,False,,
MRPL46,ENSG00000259494,False,False,,MRPL46,False,False,,
SPTAN1,ENSG00000197694,False,False,,SPTAN1,False,False,,
SCRN3,ENSG00000144306,False,False,,SCRN3,False,False,,
CDK10,ENSG00000185324,False,False,,CDK10,False,False,,
TBC1D15,ENSG00000121749,False,False,,TBC1D15,False,False,,
HMGXB3,ENSG00000113716,False,False,,HMGXB3,False,False,,
NIPBL,ENSG00000164190,False,False,,NIPBL,False,False,,
RAD9A,ENSG00000172613,False,False,,RAD9A,False,False,,
CHRNE,ENSG00000108556,False,False,,CHRNE,False,False,,
TSLP,ENSG00000145777,False,False,,TSLP,False,False,,
PPM1F,ENSG00000100034,False,False,,PPM1F,False,False,,
SCN3B,ENSG00000166257,False,False,,SCN3B,False,False,,
ITGA3,ENSG00000005884,False,False,,ITGA3,False,False,,
UBAC2,ENSG00000134882,True,True,ENSG00000134882,UBAC2,False,False,neutral,
GPAA1,ENSG00000197858,False,False,,GPAA1,False,False,,
