gene,old_n_bp,old_bp_sites,old_delta_cAIC,old_max_bl,new_rc4_n_bp,new_rc4_bp_sites,new_rc4_delta,new_rc4_max_bl,new_rc4_shift_min_codons,new_rc4_shift_frac_of_len,new_rc2_n_bp,new_rc2_bp_sites,new_rc2_delta,new_rc2_max_bl,new_rc2_shift_min_codons,new_rc2_shift_frac_of_len,identity_contrast_at_old_bp,identity_contrast_bg_mean,clean_frac_removed,clean_kept_cols,classification_v7,verdict
ENSG00000012822,1,284,2010.5,6112.97,1,407,418.4,1.58,123,0.203,1,305,385.8,1.56,21,0.035,0.009,0.01,0.5097,606,gene-driven,breakpoint_persist_diff_site
ENSG00000014138,1,443,1568.8,102.97,1,272,308.1,1.23,171,0.391,1,272,308.1,1.23,171,0.391,-0.025,0.019,0.6146,437,gene-driven,breakpoint_persist_diff_site
ENSG00000032219,1,341,755.3,4774.27,1,422,647.3,1.61,81,0.107,1,422,647.3,1.61,81,0.107,0.033,0.004,0.526,757,gene-driven,breakpoint_persist_diff_site
ENSG00000060339,1,221,554.4,1947.86,1,332,397.4,1.79,111,0.216,1,332,397.5,1.8,111,0.216,0.001,0.004,0.4365,515,gene-driven,breakpoint_persist_diff_site
ENSG00000064763,1,173,1255.1,356.04,1,347,690.8,1.56,174,0.423,1,350,693.0,1.32,177,0.431,0.009,0.015,0.533,411,gene-driven,breakpoint_persist_diff_site
ENSG00000065357,1,149,853.2,4626.97,1,302,528.7,1.46,153,0.3,1,302,527.6,1.47,153,0.3,0.011,0.005,0.6883,510,gene-driven,breakpoint_persist_diff_site
ENSG00000072134,1,467,1688.6,5560.04,1,365,720.7,0.88,102,0.213,1,365,720.7,0.88,102,0.213,-0.022,0.009,0.549,479,gene-driven,breakpoint_persist_diff_site
ENSG00000089169,1,188,2002.0,6826.0,1,242,705.3,1.69,54,0.106,1,245,556.4,1.69,57,0.112,0.001,0.02,0.596,509,gene-driven,breakpoint_persist_diff_site
ENSG00000092529,1,713,1060.3,72.0,1,392,250.4,3538.03,321,0.511,1,500,249.9,1.36,213,0.339,-0.013,0.011,0.6159,628,gene-driven,breakpoint_persist_diff_site
ENSG00000092871,1,305,2375.6,2866.94,1,263,435.8,1.67,42,0.149,1,263,435.8,1.67,42,0.149,0.008,0.023,0.5714,282,gene-driven,breakpoint_persist_same_site_healthy_tree
ENSG00000100796,1,647,1366.8,9664.68,1,356,280.0,1.25,291,0.436,1,356,280.0,3418.94,291,0.436,0.001,-0.008,0.5757,667,gene-driven,breakpoint_persist_diff_site
ENSG00000109046,1,281,656.0,215.77,1,305,411.4,1.58,24,0.075,1,305,408.8,1.57,24,0.075,0.015,0.008,0.5292,322,gene-driven,breakpoint_persist_same_site_healthy_tree
ENSG00000110844,1,620,2090.1,4237.85,1,500,786.4,4326.92,120,0.188,1,491,773.1,732.31,129,0.203,-0.025,0.012,0.5693,637,gene-driven,breakpoint_persist_diff_site
ENSG00000111424,1,233,1514.1,349.4,1,296,547.5,1.03,63,0.161,1,296,547.5,1.17,63,0.161,-0.017,0.011,0.4745,392,gene-driven,breakpoint_persist_diff_site
ENSG00000115839,1,428,1042.2,2219.87,1,314,667.4,1.62,114,0.143,1,314,667.4,1.62,114,0.143,-0.006,0.0,0.6582,798,gene-driven,breakpoint_persist_diff_site
