,p
ENSG00000003989,0.5
ENSG00000005469,0.5
ENSG00000006555,0.5
ENSG00000009790,0.5
ENSG00000010539,0.5
ENSG00000011465,0.05212944158221738
ENSG00000012779,0.3776797460023645
ENSG00000020922,0.5
ENSG00000028137,0.18150643169209
ENSG00000033100,0.336566202998512
ENSG00000034971,0.4973215250480615
ENSG00000035720,0.4949854052309886
ENSG00000036565,0.4000778696495696
ENSG00000038274,0.5
ENSG00000044115,0.5
ENSG00000049167,0.400165702188378
ENSG00000056291,0.3352133719658466
ENSG00000059588,0.4630843687366813
ENSG00000065518,0.3704336671562719
ENSG00000065675,0.5
ENSG00000066056,0.3633138048510652
ENSG00000066405,0.5
ENSG00000067113,0.3342782383023826
ENSG00000068654,0.2129769121195037
ENSG00000069206,0.5
ENSG00000070190,0.4689574972089595
ENSG00000070193,0.3630216125863314
ENSG00000070269,0.490765626732506
ENSG00000072858,0.4792232189745355
ENSG00000073067,0.2048798752172585
ENSG00000076706,0.1341911538006881
ENSG00000077232,0.4998601577625668
ENSG00000079459,0.5
ENSG00000079931,0.5
ENSG00000080298,0.4954411615212554
ENSG00000080815,0.4998720581362266
ENSG00000081026,0.5
ENSG00000081760,0.5
ENSG00000083520,0.5
ENSG00000083635,0.2633462674540433
ENSG00000086065,0.5
ENSG00000087111,0.5
ENSG00000087302,0.5
ENSG00000089225,0.404286470292672
ENSG00000089692,0.3638154936433262
ENSG00000089723,0.2661148481067007
ENSG00000090975,0.4695617824313707
ENSG00000091732,0.5
ENSG00000092345,0.5
ENSG00000092853,0.4596409766227587
ENSG00000099219,0.4714767282084369
ENSG00000100442,0.06806689088813028
ENSG00000100483,0.4882051622756645
ENSG00000100678,0.5
ENSG00000100941,0.4195690437231542
ENSG00000102760,0.5
ENSG00000102794,0.498746995661778
ENSG00000103647,0.19925882181518
ENSG00000103742,0.5
ENSG00000104055,0.4609020395813526
ENSG00000104059,0.5
ENSG00000104755,0.4780185459817449
ENSG00000105954,0.5
ENSG00000106077,0.1032719852207959
ENSG00000106268,0.5
ENSG00000106400,0.3557358214519165
ENSG00000106571,0.5
ENSG00000106609,0.3776294370566958
ENSG00000106701,0.5
ENSG00000106803,0.5
ENSG00000107021,0.0959409883472645
ENSG00000107140,0.3666928431260436
ENSG00000107447,0.04225775636609308
ENSG00000107562,0.3550152447337388
ENSG00000107859,0.25716451433941
ENSG00000107937,0.4809331157565926
ENSG00000107984,0.1225264233611756
ENSG00000108010,0.4992907544206938
ENSG00000108061,0.2207086741683814
ENSG00000108091,0.1375758545062777
ENSG00000108239,0.3676790188959591
ENSG00000109881,0.5
ENSG00000110172,0.1938232404510524
ENSG00000110324,0.5
ENSG00000110786,0.4432790152472167
ENSG00000111199,0.5
ENSG00000111229,0.2957947814952768
ENSG00000111266,0.5
ENSG00000111276,0.1723661027031639
ENSG00000111404,0.2629677430405581
ENSG00000111424,0.08342494264331807
ENSG00000111605,0.1012406525103503
ENSG00000111907,0.5
ENSG00000111962,0.4987774564085951
ENSG00000112110,0.5
ENSG00000112212,0.5
ENSG00000112232,0.3894559248536353
ENSG00000112308,0.2596132166591852
ENSG00000112584,0.02571577792288149
ENSG00000112761,0.1389851854150728
ENSG00000112773,0.5
ENSG00000112893,0.3673951344912066
ENSG00000113068,0.5
ENSG00000113492,0.2800312390671363
ENSG00000113569,0.5
ENSG00000113583,0.3620409109929777
ENSG00000113749,0.4970751197129492
ENSG00000114013,0.5
ENSG00000114200,0.5
ENSG00000114248,0.3651269884628935
ENSG00000114686,0.5
ENSG00000115073,0.5
ENSG00000115107,0.5
ENSG00000115163,0.5
ENSG00000115365,0.2804286397941176
ENSG00000115368,0.4883431050492394
ENSG00000115520,0.4984834855251416
ENSG00000115761,0.3833149202013184
ENSG00000116030,0.1582146255293437
ENSG00000116254,0.5
ENSG00000116459,0.5
ENSG00000116544,0.5
ENSG00000116996,0.4966020187838414
ENSG00000117148,0.5
ENSG00000117450,0.49923626198348
ENSG00000117594,0.2773127554412891
ENSG00000117598,0.09031682400083962
ENSG00000117868,0.1453523952556428
ENSG00000118137,0.5
ENSG00000118246,0.5
ENSG00000118496,0.5
ENSG00000119138,0.5
ENSG00000119333,0.5
ENSG00000119707,0.5
ENSG00000132432,0.5
ENSG00000132464,0.5
ENSG00000132688,0.5
ENSG00000132698,0.5
ENSG00000132881,0.5
ENSG00000133055,0.5
ENSG00000133606,0.5
ENSG00000134109,0.5
ENSG00000134193,0.5
ENSG00000134256,0.4878401353010694
ENSG00000134452,0.5
ENSG00000134571,0.3242833956977055
ENSG00000134802,0.4834206923375496
ENSG00000134874,0.5
ENSG00000134996,0.003596537570279001
ENSG00000135040,0.4739623868300511
ENSG00000135222,0.3622472736768043
ENSG00000135374,0.5
ENSG00000135547,0.5
ENSG00000135604,0.5
ENSG00000135625,0.4690394848655079
ENSG00000136122,0.4795541595679201
ENSG00000136286,0.5
ENSG00000136698,0.498515613384301
ENSG00000136897,0.5
ENSG00000136982,0.5
ENSG00000136999,0.2578531718672053
ENSG00000137077,0.5
ENSG00000137106,0.2144402956245196
ENSG00000137168,0.3726671458553665
ENSG00000137198,0.3616195373060606
ENSG00000137275,0.5
ENSG00000137819,0.4295331508505125
ENSG00000138107,0.03681075044738658
ENSG00000138315,0.5
ENSG00000138376,0.2976588512853145
ENSG00000138380,0.5
ENSG00000138435,0.5
ENSG00000138769,0.1393607644128795
ENSG00000138814,0.5
ENSG00000139192,0.4993003694368803
ENSG00000139209,0.5
ENSG00000139428,0.2479828244584185
ENSG00000139496,0.3980954526110505
ENSG00000139865,0.4501473940561221
ENSG00000140025,0.1718577877445682
ENSG00000140280,0.319122107214178
ENSG00000142694,0.5
ENSG00000143162,0.3793788218292694
ENSG00000143384,0.04982236858167061
ENSG00000143443,0.5
ENSG00000143476,0.1558259201863981
ENSG00000143515,0.1463805732015019
ENSG00000143627,0.3340788210248579
ENSG00000143772,0.5
ENSG00000143819,0.4997313811844351
ENSG00000144031,0.4720084734175528
ENSG00000144191,0.3022119897796245
ENSG00000144451,0.4998001222333382
ENSG00000144681,0.3888395562016191
ENSG00000145041,0.5
ENSG00000145284,0.4999173836558794
ENSG00000145386,0.5
ENSG00000145423,0.3681701900029243
ENSG00000145708,0.1936995702894602
ENSG00000145839,0.5
ENSG00000145911,0.2724305426599634
ENSG00000146090,0.3011943692278281
ENSG00000146477,0.1907837625340312
ENSG00000146535,0.09113049158814318
ENSG00000146828,0.5
ENSG00000146910,0.4826037958513246
ENSG00000148229,0.5
ENSG00000148795,0.5
ENSG00000148965,0.2646488467226782
ENSG00000150361,0.5
ENSG00000150630,0.5
ENSG00000150764,0.5
ENSG00000151617,0.5
ENSG00000151773,0.5
ENSG00000151876,0.3212610221506929
ENSG00000151917,0.1898605813901586
ENSG00000151962,0.2578324234091754
ENSG00000152127,0.1168584045345704
ENSG00000152219,0.3587836296607022
ENSG00000152422,0.2662626394519005
ENSG00000152611,0.5
ENSG00000152944,0.5
ENSG00000153898,0.5
ENSG00000153975,0.1999969527465357
ENSG00000154415,0.5
ENSG00000154478,0.5
ENSG00000154511,0.5
ENSG00000155087,0.2017711820560391
ENSG00000155530,0.5
ENSG00000156234,0.5
ENSG00000156466,0.2608525496804653
ENSG00000156869,0.5
ENSG00000157379,0.3683726278765151
ENSG00000157653,0.4465102916721594
ENSG00000158122,0.4242187292099551
ENSG00000158457,0.5
ENSG00000158816,0.5
ENSG00000158859,0.5
ENSG00000158864,0.292901423552736
ENSG00000161202,0.2731168731019273
ENSG00000162086,0.5
ENSG00000162415,0.5
ENSG00000162426,0.1139003383551103
ENSG00000162511,0.5
ENSG00000162517,0.2623861219275735
ENSG00000162592,0.36208236765032
ENSG00000162621,0.1880448142767986
ENSG00000162631,0.5
ENSG00000162636,0.4998846740134818
ENSG00000162891,0.2252040115679394
ENSG00000162931,0.2427798028609667
ENSG00000162971,0.3472851510936336
ENSG00000162981,0.2101865572062732
ENSG00000163050,0.3881621197042878
ENSG00000163170,0.5
ENSG00000163630,0.1231945413450057
ENSG00000163705,0.3626146897429467
ENSG00000163792,0.1690896611705687
ENSG00000163812,0.5
ENSG00000164010,0.5
ENSG00000164038,0.03826404056640897
ENSG00000164100,0.5
ENSG00000164430,0.5
ENSG00000164692,0.09095257889035635
ENSG00000164815,0.4131414219938483
ENSG00000164932,0.5
ENSG00000164975,0.5
ENSG00000164978,0.5
ENSG00000165478,0.5
ENSG00000165480,0.190600735939123
ENSG00000165660,0.5
ENSG00000165669,0.4802399584831346
ENSG00000166135,0.5
ENSG00000166333,0.5
ENSG00000166402,0.5
ENSG00000166484,0.5
ENSG00000166831,0.43729360387203
ENSG00000166924,0.3609661298800642
ENSG00000167768,0.2716414849067961
ENSG00000167800,0.1363785591866759
ENSG00000168152,0.4138885615596879
ENSG00000168386,0.5
ENSG00000168412,0.3519240077333144
ENSG00000168439,0.5
ENSG00000168538,0.5
ENSG00000168564,0.1510853879918073
ENSG00000168615,0.03554609372483331
ENSG00000168899,0.3777404030073143
ENSG00000169410,0.5
ENSG00000169427,0.5
ENSG00000169429,0.5
ENSG00000169519,0.4997492250852387
ENSG00000169762,0.1008981885906086
ENSG00000170419,0.06809360336622983
ENSG00000170801,0.4664955087850083
ENSG00000170819,0.09378119454445305
ENSG00000170903,0.3758719651637013
ENSG00000171243,0.3781147709678341
ENSG00000171495,0.2528464504481139
ENSG00000171502,0.4509412061875047
ENSG00000171564,0.5
ENSG00000171757,0.1086347912358723
ENSG00000172399,0.5
ENSG00000172425,0.5
ENSG00000172663,0.4575079472990649
ENSG00000172731,0.5
ENSG00000173113,0.5
ENSG00000173145,0.1887608563225779
ENSG00000173208,0.5
ENSG00000173597,0.2644383661806524
ENSG00000173705,0.2373274556387522
ENSG00000174243,0.5
ENSG00000174307,0.3595654373677027
ENSG00000174903,0.5
ENSG00000175279,0.4996742679760174
ENSG00000175356,0.5
ENSG00000175449,0.5
ENSG00000175513,0.5
ENSG00000175877,0.2651373983014533
ENSG00000176095,0.5
ENSG00000176542,0.5
ENSG00000177570,0.5
ENSG00000177614,0.4997827478367319
ENSG00000177875,0.1834069252632002
ENSG00000177888,0.2115442070274016
ENSG00000178804,0.5
ENSG00000178997,0.2539017512051279
ENSG00000179057,0.3007029855752796
ENSG00000179397,0.2553767023836138
ENSG00000179562,0.5
ENSG00000179580,0.2421482800400236
ENSG00000179988,0.5
ENSG00000180116,0.5
ENSG00000180432,0.3339441417369204
ENSG00000181220,0.5
ENSG00000181690,0.5
ENSG00000182054,0.4998026639972409
ENSG00000182134,0.5
ENSG00000182183,0.5
ENSG00000182447,0.1953791456085506
ENSG00000182704,0.2662042824309948
ENSG00000183185,0.5
ENSG00000183513,0.5
ENSG00000183908,0.5
ENSG00000183977,0.5
ENSG00000184209,0.5
ENSG00000184344,0.5
ENSG00000184357,0.3606629439726416
ENSG00000184887,0.5
ENSG00000185009,0.1958565696647511
ENSG00000185436,0.4948117534115959
ENSG00000185519,0.3669606130636534
ENSG00000186377,0.2606799256456965
ENSG00000186501,0.5
ENSG00000186795,0.5
ENSG00000186910,0.5
ENSG00000187801,0.09021181207115536
ENSG00000188610,0.5
ENSG00000188690,0.5
ENSG00000188729,0.3639729244197359
ENSG00000188730,0.5
ENSG00000188732,0.4261790278617207
ENSG00000188760,0.3361665894252849
ENSG00000188986,0.268336783120226
ENSG00000189007,0.2585423186817166
ENSG00000189180,0.4933311716241985
ENSG00000189227,0.5
ENSG00000196151,0.06896599287832617
ENSG00000196353,0.5
ENSG00000196968,0.1741637926216575
ENSG00000196981,0.5
ENSG00000197057,0.5
ENSG00000197587,0.2717521477150326
ENSG00000197763,0.09957573485231258
ENSG00000198218,0.2281824100216104
ENSG00000198252,0.2827930892695045
ENSG00000198431,0.4110438245871011
ENSG00000198663,0.5
ENSG00000198846,0.5
ENSG00000204020,0.5
ENSG00000204084,0.4896462655818816
ENSG00000204590,0.100884726753769
ENSG00000204671,0.5
ENSG00000205089,0.07851351554225294
ENSG00000205143,0.5
ENSG00000212126,0.4787497850758974
ENSG00000213064,0.5
ENSG00000213231,0.2803165838637716
ENSG00000213809,0.5
ENSG00000214595,0.4998414599558593
ENSG00000218739,0.5
ENSG00000224531,0.5
ENSG00000228474,0.4271403930260848
ENSG00000228570,0.5
ENSG00000234602,0.3845507384554087
ENSG00000249481,0.5
ENSG00000249581,0.5
ENSG00000261115,0.5
ENSG00000269113,0.2685895249498276
ENSG00000277893,0.5
