gene,null_set,p_baseline,p_realigned
ENSG00000000460,R7_parametric,0.5,0.0001056640664909847
ENSG00000007171,R7_parametric,0.5,0.5
ENSG00000013374,R7_parametric,0.5,0.5
ENSG00000018280,R7_parametric,0.5,0.5
ENSG00000019505,R7_parametric,0.1383745325178558,0.1508318599084491
ENSG00000030419,R7_parametric,0.5,0.03191203214139648
ENSG00000035403,R7_parametric,0.5,0.5
ENSG00000036549,R7_parametric,0.5,0.3139428498302351
ENSG00000050130,R7_parametric,0.5,0.002936506359775104
ENSG00000053328,R7_parametric,0.5,0.5
ENSG00000054116,R7_parametric,0.49963070226763,0.5
ENSG00000058804,R7_parametric,0.5,0.5
ENSG00000064886,R7_parametric,0.5,0.5
ENSG00000065135,R7_parametric,0.5,0.5
ENSG00000065243,R7_parametric,0.4392813774001819,
ENSG00000065357,R7_parametric,0.5,0
ENSG00000066294,R7_parametric,0.5,0.5
ENSG00000069956,R7_parametric,0.3700106358825093,0.461431201580486
ENSG00000070047,R7_parametric,0.05450651854960559,0.0007521427959498173
ENSG00000070087,R7_parametric,0.5,0.07408043252696239
ENSG00000070748,R7_parametric,0.4994806852394909,0.4999999893443602
ENSG00000072571,R7_parametric,0.3782090648865144,0.008203276859545916
ENSG00000073598,R7_parametric,0.5,0.5
ENSG00000074276,R7_parametric,0.5,0.4753771377450154
ENSG00000077152,R7_parametric,0.5,0.5
ENSG00000078295,R7_parametric,0.2691438523730095,0.5
ENSG00000079277,R7_parametric,0.498801818902263,0.2249860726625751
ENSG00000079393,R7_parametric,0.5,0.5
ENSG00000080166,R7_parametric,0.5,0.5
ENSG00000081800,R7_parametric,0.5,0.140233013249825
ENSG00000084110,R7_parametric,0.5,0.5
ENSG00000085871,R7_parametric,0.5,0.5
ENSG00000087116,R7_parametric,0.441417406471929,
ENSG00000089775,R7_parametric,0.3537711861740483,0.3580631063066614
ENSG00000090054,R7_parametric,0.4335326149156027,0.3606630539763171
ENSG00000092847,R7_parametric,0.2030291080043782,0.0406637416450879
ENSG00000095574,R7_parametric,0.5,0.5
ENSG00000096654,R7_parametric,0.5,0
ENSG00000099260,R7_parametric,0.5,0.2911933705858679
ENSG00000100504,R7_parametric,0.5,0
ENSG00000100626,R7_parametric,0.4517527983865852,0.5
ENSG00000100628,R7_parametric,0.4996168469821444,0.01681327488654133
ENSG00000100802,R7_parametric,0.5,0.5
ENSG00000100811,R7_parametric,0.5,0.5
ENSG00000100889,R7_parametric,0.5,0.5
ENSG00000100890,R7_parametric,0.5,0.5
ENSG00000102678,R7_parametric,0.5,0.5
ENSG00000104237,R7_parametric,0.5,0.5
