gene_id,phyloP_cds,phyloP_gene_body,phastCons_cds,phastCons_gene_body
ENSG00000000460,2.352540,0.163682,0.699041,0.111047
ENSG00000000971,0.669615,-0.030023,0.345588,0.060283
ENSG00000001084,4.900993,0.161884,0.925938,0.074517
ENSG00000001167,5.576814,0.451058,0.944741,0.123168
ENSG00000001561,3.078381,1.078740,0.722023,0.271717
ENSG00000002745,3.366487,0.695904,0.708429,0.234956
ENSG00000002822,2.762151,-0.225753,0.794456,0.047089
ENSG00000003056,3.171159,0.645967,0.804686,0.182868
ENSG00000003400,0.925839,0.184707,0.296743,0.116475
ENSG00000003436,1.305525,0.027648,0.428488,0.046438
ENSG00000003987,4.016699,0.087056,0.870574,0.067505
ENSG00000003989,4.003764,0.437813,0.765986,0.121293
ENSG00000004059,4.814159,1.025520,0.887952,0.250190
ENSG00000004142,4.808684,0.677514,0.909665,0.156949
ENSG00000004455,4.313269,0.214132,0.900082,0.084951
ENSG00000004700,3.489373,0.303375,0.802296,0.109476
ENSG00000004799,4.011203,0.658259,0.812249,0.194884
ENSG00000004846,2.478424,0.182090,0.644157,0.091715
ENSG00000004866,5.229937,0.233479,0.958616,0.123230
ENSG00000004948,2.973697,0.220199,0.666267,0.090461
ENSG00000005001,0.699436,-0.325086,0.316225,0.077001
ENSG00000005108,4.002718,0.145203,0.827692,0.088857
ENSG00000005156,4.100179,0.597954,0.822814,0.160837
ENSG00000005238,3.202088,1.769560,0.922805,0.522425
ENSG00000005249,4.375300,0.098415,0.919410,0.081394
ENSG00000005448,2.953653,0.959353,0.819957,0.277102
ENSG00000005469,3.450730,0.238525,0.823110,0.139936
ENSG00000005486,1.568500,0.130649,0.632836,0.117029
ENSG00000005700,3.709938,0.316900,0.901184,0.111677
ENSG00000005812,5.240182,0.568240,0.942603,0.136710
ENSG00000005981,3.678808,0.228748,0.832501,0.117592
ENSG00000006042,4.894028,0.339281,0.894578,0.111786
ENSG00000006128,3.123312,0.270875,0.954832,0.122329
ENSG00000006194,1.336015,0.396296,0.455142,0.177367
ENSG00000006377,4.264340,1.256980,0.915396,0.362899
ENSG00000006432,3.783247,0.214570,0.866895,0.094759
ENSG00000006453,3.062186,0.045030,0.766630,0.066898
ENSG00000006530,2.996645,0.059915,0.832570,0.077144
ENSG00000006555,2.436078,0.175020,0.771780,0.114106
ENSG00000006715,4.812031,0.173944,0.931069,0.089859
ENSG00000006831,4.625204,0.375729,0.892995,0.131822
ENSG00000007171,3.429336,0.204630,0.768951,0.096102
ENSG00000007216,3.004558,0.209808,0.669446,0.094658
ENSG00000007341,4.499219,0.381246,0.882860,0.172312
ENSG00000007402,4.126828,0.287526,0.896396,0.148781
ENSG00000007866,4.958793,0.526358,0.921946,0.170858
ENSG00000007908,1.354664,0.263799,0.383966,0.124475
ENSG00000007944,4.595296,0.431518,0.906849,0.146038
ENSG00000007968,2.908232,0.233874,0.710129,0.127736
ENSG00000008018,4.321623,0.069794,0.844010,0.053819
ENSG00000008083,4.874453,-0.027852,0.936386,0.076719
ENSG00000008118,3.365904,0.257238,0.747674,0.098295
ENSG00000008197,5.844797,0.406473,0.976696,0.138348
ENSG00000008256,4.787221,0.003101,0.881215,0.063024
ENSG00000008323,1.647701,0.211283,0.599794,0.128188
ENSG00000008394,2.650524,0.093005,0.731187,0.071201
ENSG00000008405,4.748006,0.223313,0.897890,0.119666
ENSG00000008516,1.030248,-0.099331,0.335104,0.069768
ENSG00000008952,5.097726,0.395297,0.947151,0.121985
ENSG00000009709,5.096236,0.157422,0.903017,0.126075
ENSG00000009724,1.890279,0.129216,0.503516,0.126978
ENSG00000009765,3.391719,0.096819,0.761690,0.084096
ENSG00000009780,5.061143,0.318450,0.956966,0.137197
ENSG00000009790,1.532729,0.133666,0.655820,0.113981
ENSG00000009844,4.187010,0.122493,0.912997,0.085633
ENSG00000009954,3.928719,0.243670,0.888078,0.101812
ENSG00000010017,4.355161,0.156423,0.815686,0.088370
ENSG00000010072,2.371673,0.245275,0.530759,0.120042
ENSG00000010165,3.454537,0.490907,0.816219,0.148623
ENSG00000010244,5.341123,0.537035,0.977748,0.162965
ENSG00000010256,3.468358,0.423744,0.777594,0.152197
