gene_id,gene_symbol,classification_v7,mapping_method
ENSG00000005108,THSD7A,regulation-driven,name+coord
ENSG00000005700,IBTK,neutral,name+coord
ENSG00000006128,TAC1,neutral,coord
ENSG00000006831,ADIPOR2,neutral,name
ENSG00000008323,PLEKHG6,neutral,name+coord
ENSG00000072415,PALS1,neutral,coord
ENSG00000078900,TP73,gene-driven,name+coord
ENSG00000090470,PDCD7,neutral,name+coord
ENSG00000097096,SYDE2,neutral,name+coord
ENSG00000105819,PMPCB,gene-driven,name+coord
ENSG00000105976,MET,neutral,name
ENSG00000108018,SORCS1,neutral,name+coord
ENSG00000109511,ANXA10,neutral,name+coord
ENSG00000110172,CHORDC1,gene-driven,name+coord
ENSG00000111186,WNT5B,gene-driven,name+coord
ENSG00000111875,ASF1A,neutral,name+coord
ENSG00000112773,TENT5A,neutral,coord
ENSG00000113845,TIMMDC1,neutral,coord
ENSG00000114251,WNT5A,neutral,name+coord
ENSG00000114279,FGF12,gene-driven,name+coord
ENSG00000114416,FXR1,neutral,name+coord
ENSG00000114650,SCAP,neutral,name+coord
ENSG00000114790,ARHGEF26,neutral,coord
ENSG00000115353,TACR1,gene-driven,name+coord
ENSG00000115380,EFEMP1,regulation-driven,name+coord
ENSG00000115592,PRKAG3,gene-driven,coord
ENSG00000115596,WNT6,neutral,name
ENSG00000115840,SLC25A12,neutral,name+coord
ENSG00000116117,PARD3B,regulation-driven,name+coord
ENSG00000116525,TRIM62,neutral,name+coord
ENSG00000117069,ST6GALNAC5,gene-driven (relaxed),name+coord
ENSG00000118402,ELOVL4,neutral,name+coord
ENSG00000132932,,regulation-driven,coord
ENSG00000133121,STARD13,regulation-driven,name+coord
ENSG00000134825,TMEM258,gene-driven,coord
ENSG00000135355,GJA10,neutral,name+coord
ENSG00000135925,WNT10A,neutral,name
ENSG00000136870,ZNF189,gene-driven (relaxed),coord
ENSG00000136881,BAAT,gene-driven,name
ENSG00000137251,TINAG,gene-driven,name+coord
ENSG00000137473,TTC29,neutral,name+coord
ENSG00000137767,SQOR,neutral,coord
ENSG00000138615,CILP,neutral,name+coord
ENSG00000140025,EFCAB11,regulation-driven,coord
ENSG00000140320,BAHD1,neutral,coord
ENSG00000142619,PADI3,neutral,name+coord
ENSG00000143473,,neutral,coord
ENSG00000143546,S100A8,neutral,name+coord
ENSG00000144191,CNGA3,regulation-driven,name+coord
ENSG00000144229,THSD7B,neutral,name+coord
ENSG00000144233,AMMECR1L,neutral,name+coord
ENSG00000144320,LNPK,regulation-driven,coord
ENSG00000144451,SPAG16,neutral,name+coord
ENSG00000144619,CNTN4,dual-driven,name+coord
ENSG00000145029,NICN1,neutral,coord
ENSG00000145041,DCAF1,regulation-driven,coord
ENSG00000145416,MARCHF1,neutral,coord
ENSG00000147905,ZCCHC7,neutral,name+coord
ENSG00000148123,PLPPR1,neutral,coord
ENSG00000149485,FADS1,neutral,name
ENSG00000150551,LYPD1,neutral,name+coord
ENSG00000150630,VEGFC,neutral,name+coord
ENSG00000150760,,neutral,coord
ENSG00000151967,SCHIP1,neutral,name+coord
ENSG00000152049,KCNE4,neutral,name+coord
ENSG00000152154,TMEM178A,neutral,coord
ENSG00000152266,PTH,neutral,name+coord
ENSG00000152822,GRM1,regulation-driven,name+coord
ENSG00000153064,BANK1,neutral,name+coord
ENSG00000153989,NUS1,neutral,name+coord
ENSG00000154678,PDE1C,neutral,name+coord
ENSG00000154928,EPHB1,regulation-driven,name+coord
ENSG00000156026,MCU,gene-driven,coord
ENSG00000158623,COPG2,regulation-driven,name+coord
ENSG00000159339,PADI4,neutral,name
ENSG00000160563,,gene-driven,coord
ENSG00000161040,,gene-driven,coord
ENSG00000162599,,gene-driven,coord
ENSG00000169826,,neutral,coord
ENSG00000169836,,neutral,coord
ENSG00000173406,DAB1,regulation-driven,name+coord
ENSG00000174332,GLIS1,regulation-driven,name+coord
ENSG00000174453,VWC2L,neutral,coord
ENSG00000174473,GALNTL6,regulation-driven,name+coord
ENSG00000175161,CADM2,regulation-driven,coord
ENSG00000176697,BDNF,neutral,name+coord
ENSG00000179476,C14orf28,neutral,name+coord
ENSG00000182168,UNC5C,neutral,name+coord
ENSG00000182348,ZNF804B,neutral,name+coord
ENSG00000182771,GRID1,gene-driven,name+coord
ENSG00000183166,CALN1,gene-driven,name+coord
ENSG00000183775,KCTD16,neutral,name+coord
ENSG00000183840,GPR39,neutral,name+coord
ENSG00000185652,NTF3,neutral,name+coord
ENSG00000185774,KCNIP4,neutral,name+coord
ENSG00000185942,NKAIN3,neutral,name+coord
ENSG00000186350,RXRA,neutral,name+coord
ENSG00000188783,PRELP,neutral,name+coord
ENSG00000196220,,regulation-driven,coord
ENSG00000196482,ESRRG,regulation-driven,name+coord
ENSG00000198478,SH3BGRL2,neutral,name+coord
ENSG00000198589,LRBA,gene-driven,name+coord
ENSG00000198785,GRIN3A,neutral,name+coord
ENSG00000203780,FANK1,neutral,name+coord
ENSG00000204979,MS4A13,neutral,name+coord
ENSG00000224531,SMIM13,neutral,coord
ENSG00000233276,GPX1,neutral,name
ENSG00000254772,EEF1G,neutral,name
ENSG00000256043,CTSO,neutral,name+coord
ENSG00000257743,MGAM2,neutral,coord
ENSG00000259956,RBM15B,neutral,name
ENSG00000269964,MEI4,neutral,coord
