ID,chr_hg38,start_hg38,end_hg38,log2_D1,p.adj_D1,log2_D3,p.adj_D3,active_both
HAR0002,chr1,3012056.0,3012516.0,0.595,0.00191872622478386,0.193,0.0511240850247723,False
HAR0003,chr1,3173190.0,3173325.0,0.141,0.0126780849858357,-0.085,0.835046134130713,False
HAR0005,chr1,7250645.0,7250765.0,0.0655,0.00870163599182004,-0.035500000000000004,0.0733986400339992,False
HAR0008,chr1,10528873.0,10529210.0,0.019500000000000003,0.040034135364376,-0.11249999999999999,0.164272497483503,False
HAR0009,chr1,10713034.0,10713476.0,0.155,0.0122471833429728,0.391,0.0338105923602141,True
HAR0012,chr1,19361591.0,19362161.0,0.14350000000000002,0.00206826842105263,0.14650000000000002,0.446880205215904,False
HAR0013,chr1,20386867.0,20387046.0,0.476,0.00158657903225806,0.757,0.00790706094482509,True
HAR0014,chr1,23434526.0,23434621.0,0.654,0.00191872622478386,0.46,0.0369163519771999,True
HAR0017,chr1,30349980.0,30350125.0,0.054,0.0442809595202399,0.138,0.36347044960116,False
HAR0037,chr1,53526846.0,53526895.0,0.4775,0.00162139726962457,0.505,0.00451368891118916,True
HAR0043,chr1,57253781.0,57254184.0,-0.059,0.00175263597430406,0.004,0.00417342315789473,False
HAR0057,chr1,64550171.0,64550467.0,-0.114,0.00437350077041602,0.0655,0.00916403467822607,False
HAR0064,chr1,73896041.0,73896178.0,0.09650000000000002,0.010170417721519,0.044999999999999984,0.0116988846267336,True
HAR0069,chr1,79020600.0,79020939.0,0.02600000000000001,0.016490057658561,-0.1875,0.0269445045408678,False
HAR0078,chr1,81203339.0,81203468.0,-0.22949999999999998,0.010116987607245,0.031,0.0276379161676647,False
HAR0097,chr1,88179747.0,88179947.0,0.027500000000000004,0.030192770152716,0.3225,0.0203333212176284,True
HAR0120,chr1,106749998.0,106750288.0,0.1955,0.00530167469332121,0.077,0.0196458406264394,True
HAR0122,chr1,108717938.0,108718228.0,-0.040499999999999994,0.000602645384615385,0.052,0.00893808338937457,False
HAR0129,chr1,145215629.0,145215867.0,0.577,0.0211201068090788,0.309,0.878824866685377,False
HAR0136,chr1,148219438.0,148220272.0,-0.0815,0.138082362611555,0.259,0.00842473170731707,False
HAR0139,chr1,158175321.0,158175467.0,-0.0635,0.020514540528336,0.16249999999999998,0.0266207390862944,False
HAR0142,chr1,164381001.0,164381258.0,-0.08,0.00180031352459016,0.071,0.0131156082589286,False
HAR0152,chr1,177040098.0,177040366.0,-0.321,0.00063943828125,0.18550000000000003,0.0169510099009901,False
HAR0156,chr1,177895781.0,177896346.0,0.11850000000000001,0.0234377608142494,-0.08,0.0880685185185185,False
HAR0157,chr1,178394460.0,178394756.0,-0.106,0.0409371164066518,0.14550000000000002,0.000897742666666667,False
HAR0159,chr1,183777185.0,183777335.0,0.5105000000000001,0.000940552361396304,0.4085,0.00189916342412451,True
HAR0167,chr1,200314907.0,200315510.0,0.0825,0.00923033222591362,0.251,0.025606585767174,True
HAR0178,chr1,209561450.0,209561778.0,-0.025500000000000002,0.00177427848101265,0.17550000000000002,0.000859726086956522,False
HAR0180,chr1,210262673.0,210262903.0,0.313,0.00122795513748191,0.2905,0.0371045503021685,True
HAR0188,chr1,216712618.0,216713204.0,0.004,0.00110148174474959,-0.3075,0.00294197749834546,False
HAR0192,chr1,217770770.0,217771348.0,0.1,0.00451895687061183,0.115,0.0233329606801275,True
HAR0198,chr1,224711113.0,224711156.0,0.128,0.0156679289026275,0.2595,0.0111797649186257,True
HAR0201,chr1,231539221.0,231539554.0,-0.238,0.0103847872340426,0.052,0.0448224175095341,False
HAR0205,chr1,238334160.0,238334410.0,0.049,0.0688640807498198,0.212,0.0151240648705205,False
HAR0209,chr1,243476286.0,243476360.0,-0.27699999999999997,0.0358920754716981,0.1985,0.0143277017637627,False
HAR0222,chr10,6730096.0,6730258.0,0.115,0.0402314206705842,0.168,0.0761203584430132,False
HAR0226,chr10,7220016.0,7220307.0,0.11499999999999999,0.00548361212661613,0.049999999999999996,0.021062033444816,True
HAR0231,chr10,8504571.0,8505091.0,-0.112,0.0139881479481641,0.121,0.0257601273623665,False
HAR0232,chr10,8534184.0,8534558.0,0.29750000000000004,0.00116781422087745,0.8065,0.00487905358851674,True
HAR0237,chr10,10432275.0,10432538.0,0.204,0.0396445988190344,0.348,0.125693342981187,False
HAR0241,chr10,14191547.0,14191782.0,0.3825,0.000565844075829384,0.853,0.00308456996148908,True
HAR0245,chr10,16663308.0,16663525.0,0.1595,0.000645994852941176,0.3025,0.00192575311004784,True
HAR0250,chr10,24353431.0,24353661.0,0.054,0.00838994413407821,0.211,0.0166201196410768,True
HAR0254,chr10,30361089.0,30361317.0,0.184,0.0218992010478062,0.266,0.0358920754716981,True
HAR0260,chr10,45090951.0,45091079.0,0.104,0.0223478264642082,0.272,0.0186881192334989,True
HAR0261,chr10,47181660.0,47181010.0,0.093,0.0366945960406635,-0.002,0.251773675281908,False
HAR0267,chr10,68251143.0,68251598.0,-0.177,0.00211808666100254,0.055,0.00505061257035647,False
HAR0268,chr10,68253555.0,68253811.0,-0.20900000000000002,0.000408540508474576,0.02949999999999997,0.000645994852941176,False
HAR0269,chr10,71353923.0,71354113.0,0.163,0.00456809940357852,0.318,0.00110148174474959,True
HAR0280,chr10,76250622.0,76251192.0,3.443,4.843305e-05,3.501,0.000303773181818182,True
HAR0282,chr10,78574390.0,78574693.0,0.109,0.0111797649186257,0.125,0.00857876118375774,True
HAR0283,chr10,78663843.0,78664013.0,0.0345,0.00601729189416211,0.13,0.0100885004775549,True
HAR0291,chr10,96513991.0,96514086.0,0.126,0.0139664557988646,0.6775,0.00639711967545638,True
HAR0297,chr10,105122130.0,105122185.0,-0.14100000000000001,0.0170246036058286,0.2025,0.00861857731958763,False
HAR0308,chr10,114915381.0,114915711.0,-0.097,0.00141425984455958,0.097,0.00229743961352657,False
HAR0313,chr10,117748091.0,117748310.0,0.4745,0.00061135775,0.37,0.00117257657657657,True
HAR0320,chr10,121305146.0,121305396.0,0.028,0.0039883868852459,-0.042,0.660572190882757,False
HAR0323,chr10,122154705.0,122155085.0,0.041,0.00266635368421052,0.496,0.00534515989159891,True
HAR0324,chr10,123396541.0,123396881.0,0.17350000000000002,0.000933126778242678,0.133,0.00439626202661207,True
HAR0325,chr10,123514171.0,123514349.0,0.0315,0.0336639125602075,-0.071,0.532640032613127,False
HAR0330,chr10,129045906.0,129046131.0,0.133,0.0031776120906801,0.008,0.0431537220635187,True
HAR0334,chr10,129434613.0,129434808.0,0.03599999999999999,0.0190894840525328,0.025999999999999995,0.641103761249135,False
HAR0337,chr10,130817116.0,130817366.0,0.259,0.00528195717539863,0.221,0.0663366388767003,False
HAR0339,chr10,132657846.0,132658553.0,0.2065,0.00185277231695085,0.10250000000000001,0.0168276223602484,True
HAR0343,chr11,7414705.0,7415041.0,0.846,0.00100978171428571,0.928,0.00102665423728813,True
HAR0355,chr11,17765373.0,17765683.0,0.1605,0.0010572238267148,0.4325,0.00250678096676737,True
