gene_id,gene_symbol,cds_length,classification_v7,busted_p,busted_lrt,bh_fdr,bh_fdr_sig,storey_q,storey_sig,relax_K,relax_p,relax_fdr_sig,has_relax_active,relax_intensified,relax_relaxed,has_selectome,n_hars,has_doan_campra,tau,brain_tau,phyloP_cds,phyloP_gene,phastCons_cds,phastCons_gene,nc_conservation,gds_p_pct_resid,gds_lrt_pct_resid,gds_relax_pct,gds_selectome,gds_v7,rds_doan,rds_tau,rds_nc,rds_brain,rds_v7,classification_loo_campra,classification_loo_tau,rds_v7_no_brain,classification_loo_brain
ENSG00000000460,FIRRM,228420,neutral,0.5,-0.0009912359673762694,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,True,0,False,0.786029554736761,0.0,2.35254,0.163682,0.699041,0.111047,-2.1888579999999997,0.023321,0.019501,0.500000,1.000000,0.264013,0.000000,0.520708,0.350824,0.000000,0.217883,neutral,neutral,0.272354,neutral
ENSG00000000971,CFH,36990,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.7997537402523366,0.292,0.669615,-0.030023,0.345588,0.060283,-0.699638,0.502614,0.397668,0.500000,0.000000,0.395215,0.000000,0.535585,0.100121,0.996180,0.358162,neutral,neutral,0.198658,neutral
ENSG00000001084,GCLC,105990,neutral,0.4947548645349308,0.0210913633563905,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.5409294421128447,0.0,4.900993,0.161884,0.925938,0.074517,-4.739109,0.152996,0.113792,0.500000,0.000000,0.187686,0.000000,0.245678,0.930639,0.000000,0.294079,regulation-driven,neutral,0.367599,regulation-driven
ENSG00000001167,NFYA,45220,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.7268987523775664,0.0,5.576814,0.451058,0.944741,0.123168,-5.125756,0.427021,0.336952,0.500000,0.000000,0.350543,0.000000,0.451950,0.974869,0.000000,0.356705,neutral,neutral,0.445881,neutral
ENSG00000001561,ENPP4,18920,neutral,0.5,-0.001453042103094049,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.6782585402524816,0.0,3.078381,1.07874,0.722023,0.271717,-1.9996409999999998,0.699035,0.573985,0.500000,0.000000,0.516858,0.000000,0.400483,0.314435,0.000000,0.178729,neutral,neutral,0.223412,neutral
ENSG00000002745,WNT16,33960,neutral,0.5,-0.001411340987033327,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.923871424360564,0.0,3.366487,0.695904,0.708429,0.234956,-2.6705829999999997,0.529152,0.421190,0.500000,0.000000,0.411560,0.000000,0.726176,0.467230,0.000000,0.298351,neutral,neutral,0.372939,neutral
ENSG00000002822,MAD1L1,155650,neutral,2.541983650239388e-07,28.98400745910476,1.0589469578132928e-06,True,1.058947e-06,True,0.8865965565835443,0.7862096047883412,False,True,False,False,False,1,True,0.6476707366512602,0.0,2.762151,-0.225753,0.794456,0.047089,-2.987904,0.138319,0.538601,0.443298,0.000000,0.298652,1.000000,0.368114,0.545034,0.000000,0.528287,neutral,neutral,0.660359,neutral
ENSG00000003056,M6PR,49880,gene-driven,4.965699518244548e-09,36.85512895496504,2.299756927723313e-08,True,2.299757e-08,True,0.8727820664884636,0.4578945534800967,False,True,False,False,False,0,False,0.3967050651123699,0.0,3.171159,0.645967,0.804686,0.182868,-2.5251919999999997,0.541013,0.787093,0.436391,0.000000,0.512761,0.000000,0.072376,0.430840,0.000000,0.125804,gene-driven,gene-driven,0.157255,gene-driven
ENSG00000003400,CASP10,165080,neutral,0.004070869650312392,9.621502897098253,0.01267115496912005,True,1.267115e-02,True,0.7042374610413651,0.2632703659534958,False,True,False,False,False,0,False,0.810374457848122,0.0,0.925839,0.184707,0.296743,0.116475,-0.7411319999999999,0.079212,0.161037,0.352119,0.000000,0.146459,0.000000,0.548854,0.106353,0.000000,0.163802,neutral,neutral,0.204752,neutral
ENSG00000003436,TFPI,67570,gene-driven,3.006842717034885e-07,28.64811574691703,1.2452985574131157e-06,True,1.245299e-06,True,3.692454685987354e-12,0.456579416419488,False,True,False,False,False,0,False,0.8233576714991293,0.0,1.305525,0.027648,0.428488,0.046438,-1.2778770000000002,0.402493,0.707479,0.005000,0.000000,0.354116,0.000000,0.565943,0.184158,0.000000,0.187525,neutral,gene-driven,0.234407,neutral
ENSG00000003987,MTMR7,83110,gene-driven,0.0,91.24487068315648,0.0,True,0.000000e+00,True,1.147748105297188,0.624014736375939,False,True,False,False,False,0,False,0.8555222232556434,0.0,4.016699,0.087056,0.870574,0.067505,-3.929643,0.943104,0.896261,0.549702,0.000000,0.708905,0.000000,0.612988,0.772216,0.000000,0.346301,gene-driven,gene-driven,0.432876,gene-driven
ENSG00000003989,SLC7A2,145710,regulation-driven,0.08443424931562504,3.557269962599094,0.2268913863295078,False,2.268914e-01,False,1.0,1.0,False,False,False,False,False,1,False,0.8182028195504599,0.136,4.003764,0.437813,0.765986,0.121293,-3.565951,0.088460,0.099517,0.500000,0.000000,0.160816,0.000000,0.559509,0.687977,0.991355,0.510143,regulation-driven,regulation-driven,0.389839,regulation-driven
ENSG00000004059,ARF5,22840,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.37933944774665757,0.0,4.814159,1.02552,0.887952,0.25019,-3.788639,0.644351,0.522919,0.500000,0.000000,0.482398,0.000000,0.052875,0.737837,0.000000,0.197678,neutral,neutral,0.247097,neutral
ENSG00000004142,POLDIP2,33732,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.550632413604449,0.0,4.808684,0.677514,0.909665,0.156949,-4.131170000000001,0.531162,0.422598,0.500000,0.000000,0.412686,0.000000,0.254121,0.815842,0.000000,0.267491,neutral,neutral,0.334363,neutral
ENSG00000004455,AK2,61440,neutral,0.5,0.0,0.5,False,5.001005e-01,False,1.0,1.0,False,False,False,False,False,0,False,0.49663728974420757,0.0,4.313269,0.214132,0.900082,0.084951,-4.099137,0.315641,0.241657,0.500000,0.000000,0.282971,0.000000,0.188983,0.809811,0.000000,0.249698,neutral,neutral,0.312123,neutral
