p_value,lrt,evidence_ratio,n_sites,n_sequences,gene_id,bh_fdr,fdr_significant,p_significant
0.5,-0.0009912359673762694,,7383,10,ENSG00000000460,0.5,False,False
0.5,0.0,,1233,10,ENSG00000000971,0.5,False,False
0.4947548645349308,0.0210913633563905,,3432,10,ENSG00000001084,0.5,False,False
0.5,0.0,,1499,10,ENSG00000001167,0.5,False,False
0.5,-0.001453042103094049,,584,10,ENSG00000001561,0.5,False,False
0.5,-0.001411340987033327,,1111,10,ENSG00000002745,0.5,False,False
2.541983650239388e-07,28.98400745910476,,5156,10,ENSG00000002822,1.0589469578132928e-06,True,True
4.965699518244548e-09,36.85512895496504,,1622,10,ENSG00000003056,2.299756927723313e-08,True,True
0.004070869650312392,9.621502897098253,,5320,10,ENSG00000003400,0.01267115496912005,True,True
3.006842717034885e-07,28.64811574691703,,2197,10,ENSG00000003436,1.2452985574131157e-06,True,True
0.0,91.24487068315648,,2663,10,ENSG00000003987,0.0,True,True
0.08443424931562504,3.557269962599094,,4756,10,ENSG00000003989,0.2268913863295078,False,False
0.5,0.0,,754,10,ENSG00000004059,0.5,False,False
0.5,0.0,,1239,9,ENSG00000004142,0.5,False,False
0.5,0.0,,2010,10,ENSG00000004455,0.5,False,False
0.0,120.5000386212632,,3630,10,ENSG00000004700,0.0,True,True
0.4981286149058203,0.007499583756725769,,1414,10,ENSG00000004799,0.5,False,False
0.5,0.0,,3227,10,ENSG00000004846,0.5,False,False
0.5,0.0,,8110,10,ENSG00000004866,0.5,False,False
5.076963849326432e-10,41.41598066042206,,2526,10,ENSG00000004948,2.548090534270111e-09,True,True
0.0,120.6541920354575,,1983,9,ENSG00000005001,0.0,True,True
0.01733016381061681,6.724319084722083,,5957,10,ENSG00000005108,0.05097589284092727,False,True
4.558578110297473e-05,18.60553505495773,,8802,9,ENSG00000005156,0.00016312494619150815,True,True
0.0,123.0010826875223,,4682,10,ENSG00000005238,0.0,True,True
0.2661225449776938,1.261302400554996,,1521,10,ENSG00000005249,0.5,False,False
0.5,0.0,,1163,10,ENSG00000005448,0.5,False,False
0.0001609895158603547,16.08204826694418,,2299,10,ENSG00000005469,0.0005576336015942927,True,True
4.136380127306438e-10,41.82576537939894,,941,10,ENSG00000005486,2.099423954410431e-09,True,True
0.3899200391142489,0.4973328164342092,,6684,10,ENSG00000005700,0.5,False,False
0.2563481468866049,1.336143258020456,,957,10,ENSG00000005812,0.5,False,False
0.06742145234731078,4.007289694225619,,1310,10,ENSG00000005981,0.18519017512082686,False,False
0.0,121.3923631843754,,1234,9,ENSG00000006042,0.0,True,True
0.1991199847325009,1.841401033918373,,1310,10,ENSG00000006128,0.481723153725418,False,False
0.09037071292348708,3.421375710728171,,4063,9,ENSG00000006194,0.2416687774631316,False,False
0.001552785708437088,11.54911509876183,,685,10,ENSG00000006377,0.005002303182490981,True,True
0.5,-0.0004345992492744699,,5774,10,ENSG00000006432,0.5,False,False
0.4556590952356183,0.1857263333222363,,1740,10,ENSG00000006453,0.5,False,False
0.0,105.4836735229401,,4333,10,ENSG00000006530,0.0,True,True
0.5,-0.008569735349738039,,1491,10,ENSG00000006555,0.5,False,False
